node_id,node_type,path,granularity,domain_id,subdomain_id,blueprint_id,belongs_to,owner,change_policy,impact_level,modification_permission,file_header_score,tags,architecture_layer,design_maturity,deployment_lifecycle,trust_zone,license,drive_direction,type_specific_data,last_verified,node_name,file_path,build_status,can_build,gate_reason,hard_boundary_ref,consumed_interfaces,blueprint_id_invalid,blueprint_path,content_hash
18,module,src/zephyr/cross_asset/,module,D_CROSS_ASSET,D_CROSS_ASSET,MOD-CROSS_ASSET,D-CROSS_ASSET,D-CROSS_ASSET,evolving,M,ai_modifiable,0,"['module', 'D-CROSS_ASSET', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,跨资产域,"",planned,1,"",,,0,,
15,module,src/zephyr/digital_twin/,module,D_DIGITAL_TWIN,D_DIGITAL_TWIN,MOD-DIGITAL_TWIN,D-DIGITAL_TWIN,D-DIGITAL_TWIN,evolving,M,ai_modifiable,0,"['module', 'D-DIGITAL_TWIN', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,数字孪生域,"",planned,1,"",,,0,,
17,module,src/zephyr/pf_alloc/,module,D_PF_ALLOC,D_PF_ALLOC,MOD-PF_ALLOC,D-PF_ALLOC,D-PF_ALLOC,evolving,M,ai_modifiable,0,"['module', 'D-PF_ALLOC', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,组合分配域,"",planned,1,"",,,0,,
10,module,src/zephyr/simulation/,file,D_SIMULATION,D_SIMULATION,MOD-SIMULATION,D-SIMULATION,D-SIMULATION,evolving,M,ai_modifiable,0,"['module', 'D-SIMULATION', 'design', 'L2_domain']",L2_domain,design,stable,trusted_core,Internal,bottom_up,,,仿真核心域,"",planned,1,"",,,0,,
311064,config,config/auto_fix_cron.yaml,file,D_GOVERNANCE,"","","","",stable,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [], ""build_status"": ""generated""}",2026-07-04T02:02:13.755191,"",config/auto_fix_cron.yaml,generated,1,"","","",0,,2b3d10fac292d5717eb894582f6d5f208d31cb318059188c7bd9639ae49e48cd
311065,config,tests/fixtures/g_trae_055_mock.yaml,file,D_AUDITTEST,D_AUDITTEST,"","","",stable,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [], ""build_status"": ""generated""}",2026-07-04T02:02:13.755191,"",tests/fixtures/g_trae_055_mock.yaml,generated,1,"","","",0,,05df42c0bfb3bffaedfcb4d872f50bb8a5a2c6538c1535d3365f08c766414c54
311066,config,config/budget_policy.yaml,file,D_GOVERNANCE,"",MOD-INF-024,MOD-INF-024,D-GOVERNANCE,evolving,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-024""], ""build_status"": ""generated""}",2026-07-04T02:02:13.755191,"",config/budget_policy.yaml,generated,1,"","","",0,,7ef75c2f15537c046de38ba93e3de187dfb3f0d838a504b70d3da1df654dffa0
311067,config,config/capabilities.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.755191,"",config/capabilities.yaml,generated,1,"","","",0,,070954f7915be4be6106584ef7797a7d231afa469447a991878cc0213699954f
311068,config,config/capacity_params.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-005"", ""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.756703,"",config/capacity_params.yaml,generated,1,"","","",0,,ec5cf74bbabea4be57025056ef7622e638e15c13e7be5611a7692625d3cc2e70
311069,config,config/blueprint_routing.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-025"", ""GOV-AI-002"", ""PS-STD-005"", ""MOD-INF-022"", ""MOD-INF-015"", ""MOD-INF-037"", ""MOD-INF-020"", ""MOD-INF-019"", ""MOD-INF-011"", ""MOD-INF-023"", ""MOD-INF-030"", ""MOD-INF-002"", ""MOD-INF-005"", ""MOD-INF-018"", ""MOD-INF-024"", ""MOD-KB-001"", ""MOD-INF-017"", ""MOD-INF-021"", ""MOD-INF-026""], ""build_status"": ""generated""}",2026-07-04T02:02:13.756703,"",config/blueprint_routing.yaml,generated,1,"","","",0,,90874bf5498a87e7b3588db598372dd5fd8d2b3f491e8ffdb14da947448e5bfe
311070,config,config/kb_parameters.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-KB-001"", ""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.756703,"",config/kb_parameters.yaml,generated,1,"","","",0,,d96cdd57fb00f884b4de00c4deab14ac075d986ccdcfe748d94de0555d27059c
311071,config,config/model_pricing.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.756703,"",config/model_pricing.yaml,generated,1,"","","",0,,dcf13e01fe496cb64dae028589f6b8ee40d30fbc6c37a0fe998ca3ba479e44ff
311072,config,config/flags.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-015"", ""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.756703,"",config/flags.yaml,generated,1,"","","",0,,4e8b1ab5fc18010613b92ff36a29f9275cc0017c48d62da3a3063b8365ea7175
311073,config,config/rbac_roles.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""GOV-AI-001"", ""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.756703,"",config/rbac_roles.yaml,generated,1,"","","",0,,66bb64963b9e9d60d55c11e4696042c4de4fa204695e84aa97aa71e652ce67db
311074,config,config/risk_params.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.758215,"",config/risk_params.yaml,generated,1,"","","",0,,112f241fec0132a0df6cbfb2538fdbf523780e5a5fad07cc73be9782e6902d45
311075,config,config/session_state_machine.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002"", ""CT-003""], ""build_status"": ""generated""}",2026-07-04T02:02:13.758215,"",config/session_state_machine.yaml,generated,1,"","","",0,,98f980715b9bb7f05fb093b0663a836718ab51322cd0ad215376ef04fa151c0f
311076,config,config/resource_optimization.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.758215,"",config/resource_optimization.yaml,generated,1,"","","",0,,370effe772b99cdd257d2a039b4707f3dfac93af2d42858be775fa904dcef5cc
311077,config,config/nav_table_mapping.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""GOV-AI-002"", ""PS-STD-002"", ""GOV-AI-004"", ""PS-STD-011"", ""PS-STD-012"", ""GOV-DOC-005"", ""GOV-MOD-001"", ""GOV-AI-008"", ""PS-STD-004"", ""GOV-AI-003"", ""PS-STD-000"", ""GOV-DOC-009"", ""GOV-DOC-002"", ""GOV-DOC-010"", ""MOD-INF-002"", ""PS-STD-003"", ""GOV-CMP-002"", ""GOV-MOD-003"", ""PS-STD-009"", ""GOV-ARCH-001"", ""GOV-DOC-006"", ""GOV-ARCH-002"", ""GOV-MOD-004""], ""build_status"": ""generated""}",2026-07-04T02:02:13.758215,"",config/nav_table_mapping.yaml,generated,1,"","","",0,,af44e6a5a62437b538d9f74f6bef7e55d9a65d23aa693967710ce3f129c9d141
311078,config,config/context_rules.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""CT-012"", ""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.758215,"",config/context_rules.yaml,generated,1,"","","",0,,0bf36042fe4e06ce7daf9a3b86db98b7760819d22c3b1f169d6bffe9c326c6d9
311079,config,config/trigger_router.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""CT-005"", ""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.758215,"",config/trigger_router.yaml,generated,1,"","","",0,,bbbceaa1e2eb5d084d3e9bd032825e29d4328b47cc71f3e50ec437245ed840c1
311080,config,config/infra/grafana/dashboards/provider.yml,file,D_GOVERNANCE,"","","","",stable,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [], ""build_status"": ""generated""}",2026-07-04T02:02:13.758215,"",config/infra/grafana/dashboards/provider.yml,generated,1,"","","",0,,b9076733762fa91c6e6b3b170bb761a5742e875367e16fdeaa6ed73829b352fc
311081,config,config/infra/grafana/datasources/prometheus.yml,file,D_GOVERNANCE,"","","","",stable,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [], ""build_status"": ""generated""}",2026-07-04T02:02:13.759726,"",config/infra/grafana/datasources/prometheus.yml,generated,1,"","","",0,,60a40849aa283d0f42f8465482a48a60bab71da519625522ea37ceaacd85710a
311082,config,config/infra/prometheus/prometheus.yml,file,D_GOVERNANCE,"","","","",stable,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [], ""build_status"": ""generated""}",2026-07-04T02:02:13.759726,"",config/infra/prometheus/prometheus.yml,generated,1,"","","",0,,9ec3e9465e2c2a5bfa19f8515b57699bc3766aa224fd78bb4e5734688f3b56c2
311083,config,config/runtime/burn_rate_acceleration.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.759726,"",config/runtime/burn_rate_acceleration.yaml,generated,1,"","","",0,,5642ed6d3e70e9890ad6a0f50f4d19058b910a49dc5de98c0afccb817c7b55e4
311084,config,config/runtime/kill_switch_state.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.760234,"",config/runtime/kill_switch_state.yaml,generated,1,"","","",0,,4d5b887089ab1ab459181a33fc795abd0b4a093f693b08564d82cb3106d907bd
311085,config,config/runtime/script_retirement_state.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.760234,"",config/runtime/script_retirement_state.yaml,generated,1,"","","",0,,2083055a4ad3ce00deceb421bac891e3017c00cdfc511e2c18c29acbd455926f
311087,config,docs/03_modules/_cross_layer/database/business_data_categories.yaml,file,D_GOV_DOCS,"","","","",stable,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [], ""build_status"": ""generated""}",2026-07-04T02:02:13.760742,"",docs/03_modules/_cross_layer/database/business_data_categories.yaml,generated,1,"","","",0,,0425062553cf051478606937ea059335586a8f5b2908d92bb8577264bb2e6504
311088,config,docs/03_modules/_domain_infrastructure_operations/agent_to_agent_protocol/arbitration_rules.yaml,file,D_GOVERNANCE,D_GOVERNANCE-REGISTRY_MANAGEMENT,MOD-INF-025,MOD-INF-025,"",evolving,L,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-025""], ""build_status"": ""generated""}",2026-07-04T02:02:13.760742,"",docs/03_modules/_domain_infrastructure_operations/agent_to_agent_protocol/arbitration_rules.yaml,generated,1,"","","",0,,dd021364629ce1cc78c6ea307a44e79b9b3f04943cb030e93dcd3a3e815224e5
311089,config,config/runtime/error_budget_state.yaml,file,D_GOVERNANCE,"",MOD-INF-002,MOD-INF-002,D-GOVERNANCE,evolving,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-002""], ""build_status"": ""generated""}",2026-07-04T02:02:13.760742,"",config/runtime/error_budget_state.yaml,generated,1,"","","",0,,44e775795408d7f5581b39443c3b1a5186f4a7706d7a3d0d65c45aeb7844c17a
311090,config,docs/03_modules/_domain_infrastructure_operations/agent_to_agent_protocol/trigger_config.yaml,file,D_GOVERNANCE,D_GOVERNANCE-REGISTRY_MANAGEMENT,MOD-INF-025,MOD-INF-025,"",evolving,L,ai_modifiable,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-025""], ""build_status"": ""generated""}",2026-07-04T02:02:13.760742,"",docs/03_modules/_domain_infrastructure_operations/agent_to_agent_protocol/trigger_config.yaml,generated,1,"","","",0,,1b5907fb9879c449c34b73f268c4cfd28354e67618060d9af46b802d4f5fc635
311091,config,docs/01_policies_and_standards/rules/trae_001_file_operation_security.yaml,file,D_GOVERNANCE,D_GOVERNANCE-RULE_ENFORCEMENT,MOD-GOV-DOCS,D-GOV_DOCS,D-GOV_DOCS,stable,M,human_gated,0,[],L2_domain,production,stable,trusted_core,Internal,bottom_up,"{""yaml_references"": [""MOD-INF-005""], ""build_status"": ""generated""}",2026-07-04T02:02:13.761746,"",docs/01_policies_and_standards/rules/trae_001_file_operation_security.yaml,generated,1,"","","",0,,673389c4d1eb8a3700a1224490f1f820ef8ab90093efa4a950bb38a8e75be6a3
