candidate_id,sector,members,fin_coverage,rev_yoy_med,profit_yoy_med,gross_margin_med,net_margin_med,cust_top5_med,hhi_med,downstream_breadth,supply_pressure,growth_z,margin_z,barrier_z,choke_z,total_z,three_high_flags,hypothesis_zh,birth_channel,birth_batch,birth_source
CAND-a88aa0bf9d7b,锂电专用设备,8.0,1.0,35.504999999999995,14.55125,33.6121,6.31015,40.660000000000004,1740.8452200000002,0.0,0.0,1.8247795656647365,1.0970239202877168,4.371600003180525,0.6234730917898742,2.0392844689244565,高增长+高利润+高壁垒+咽喉,做多[锂电专用设备]环节（产业链三高共振候选：高增长+高利润+高壁垒+咽喉）——高增长：营收YoY中位 35.5%/净利YoY中位 14.6%；高壁垒：前五客户集中 40.7%/客户HHI 1741；高利润：毛利率 33.6%/净利率 6.3%；图谱咽喉：成员产品暂无供给网证据（不参与咽喉加分）；成员 8 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-f9702f7d72a8,黄金,10.0,1.0,23.97035,47.4568,21.7083,7.0305,64.54,4165.4116,7.054421768707483,1.9965986394557824,2.3489736403717005,0.6362013108006527,4.371600003180525,0.0073228931791101265,1.9581069992426265,高增长+高利润+高壁垒,做多[黄金]环节（产业链三高共振候选：高增长+高利润+高壁垒）——高增长：营收YoY中位 24.0%/净利YoY中位 47.5%；高壁垒：前五客户集中 64.5%/客户HHI 4165；高利润：毛利率 21.7%/净利率 7.0%；图谱咽喉：产品供给 7 个下游环节、替代供给源 2 个；成员 10 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-90475b62428f,铁路运输,6.0,1.0,6.03465,3.9506499999999996,45.8189,9.27935,55.990001,3065.7218,0.0,0.0,0.29085115841455556,2.0837564962057913,4.371600003180525,0.6234730917898742,1.8257890907289207,高利润+高壁垒+咽喉,做多[铁路运输]环节（产业链三高共振候选：高利润+高壁垒+咽喉）——高增长：营收YoY中位 6.0%/净利YoY中位 4.0%；高壁垒：前五客户集中 56.0%/客户HHI 3066；高利润：毛利率 45.8%/净利率 9.3%；图谱咽喉：成员产品暂无供给网证据（不参与咽喉加分）；成员 6 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-6c9fedffa1a6,水力发电,11.0,1.0,6.0774,7.30955,61.6685,35.4771,77.71,6069.094,4.133333333333334,2.4,0.3618711892348858,2.7580260520993587,4.371600003180525,-0.5902464631930593,1.7729185779518248,高利润+高壁垒,做多[水力发电]环节（产业链三高共振候选：高利润+高壁垒）——高增长：营收YoY中位 6.1%/净利YoY中位 7.3%；高壁垒：前五客户集中 77.7%/客户HHI 6069；高利润：毛利率 61.7%/净利率 35.5%；图谱咽喉：产品供给 4 个下游环节、替代供给源 2 个；成员 11 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-ceea86f5ca9c,航空运输,8.0,1.0,8.7181,114.5027,10.82,4.572749999999999,36.515,2492.40715,0.0,0.0,1.8557675007136554,-0.21750099036945136,4.371600003180525,0.6234730917898742,1.71994962177484,高增长+高壁垒+咽喉,做多[航空运输]环节（产业链三高共振候选：高增长+高壁垒+咽喉）——高增长：营收YoY中位 8.7%/净利YoY中位 114.5%；高壁垒：前五客户集中 36.5%/客户HHI 2492；高利润：毛利率 10.8%/净利率 4.6%；图谱咽喉：成员产品暂无供给网证据（不参与咽喉加分）；成员 8 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-e8fc95fe5b98,其他黑色家电,6.0,1.0,35.57585,0.5241,0.0,2.62825,38.8,1524.1889999999999,9.0,1.0,1.5398825294625755,-0.996812663185719,4.371600003180525,0.9099004051035292,1.48764167485818,高增长+高壁垒+咽喉,做多[其他黑色家电]环节（产业链三高共振候选：高增长+高壁垒+咽喉）——高增长：营收YoY中位 35.6%/净利YoY中位 0.5%；高壁垒：前五客户集中 38.8%/客户HHI 1524；高利润：毛利率 0.0%/净利率 2.6%；图谱咽喉：产品供给 9 个下游环节、替代供给源 1 个；成员 6 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-a3a74be3a7cc,激光设备,9.0,1.0,35.4452,108.6305,35.49525,8.5135,13.7,187.68999,0.0,0.0,2.9986713678260415,1.4912706504423545,-0.00911835406155831,0.6234730917898742,1.3948341028009863,高增长+高利润+咽喉,做多[激光设备]环节（产业链三高共振候选：高增长+高利润+咽喉）——高增长：营收YoY中位 35.4%/净利YoY中位 108.6%；高壁垒：前五客户集中 13.7%/客户HHI 188；高利润：毛利率 35.5%/净利率 8.5%；图谱咽喉：成员产品暂无供给网证据（不参与咽喉加分）；成员 9 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-e611b7cda691,数字芯片设计,22.0,1.0,30.37225,61.5179,51.70525000000001,13.300249999999998,16.565,274.729835,8.0,4.5,2.778691043430657,2.7361852028467943,0.41703312400501963,-1.6250400274252295,1.2969038892571045,高增长+高利润,做多[数字芯片设计]环节（产业链三高共振候选：高增长+高利润）——高增长：营收YoY中位 30.4%/净利YoY中位 61.5%；高壁垒：前五客户集中 16.6%/客户HHI 275；高利润：毛利率 51.7%/净利率 13.3%；图谱咽喉：产品供给 8 个下游环节、替代供给源 4 个；成员 22 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-13a341f1bfa3,模拟芯片设计,13.0,1.0,28.9336,75.8029,35.3586,8.2476,13.899999999999999,193.25409000000002,1.0,1.0,2.9986713678260415,1.447961006423813,0.019585950930676988,0.03914692101083961,1.2743175338886028,高增长+高利润,做多[模拟芯片设计]环节（产业链三高共振候选：高增长+高利润）——高增长：营收YoY中位 28.9%/净利YoY中位 75.8%；高壁垒：前五客户集中 13.9%/客户HHI 193；高利润：毛利率 35.4%/净利率 8.2%；图谱咽喉：产品供给 1 个下游环节、替代供给源 1 个；成员 13 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-6df9a8c44824,其他化学原料,5.0,1.0,20.4708,497.7413,0.0,4.3956,32.795,1515.4626950000002,9.0,5.5,2.6253772230758123,-0.7517306001601958,4.232342217534444,-2.00141509131707,1.2574830530028915,高增长+高壁垒,做多[其他化学原料]环节（产业链三高共振候选：高增长+高壁垒）——高增长：营收YoY中位 20.5%/净利YoY中位 497.7%；高壁垒：前五客户集中 32.8%/客户HHI 1515；高利润：毛利率 0.0%/净利率 4.4%；图谱咽喉：产品供给 9 个下游环节、替代供给源 6 个；成员 5 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
CAND-799998b02cb9,铅锌,12.0,1.0,35.717349999999996,71.1945,0.9998,10.855149999999998,22.15,490.6225,4.375,1.9375,2.9752266661704034,0.1911229444027082,1.342057729981763,-0.24335116191001394,1.227192936065236,高增长+高壁垒,做多[铅锌]环节（产业链三高共振候选：高增长+高壁垒）——高增长：营收YoY中位 35.7%/净利YoY中位 71.2%；高壁垒：前五客户集中 22.1%/客户HHI 491；高利润：毛利率 1.0%/净利率 10.9%；图谱咽喉：产品供给 4 个下游环节、替代供给源 2 个；成员 12 只（财务覆盖 100%）,D,E1D-20260914-043752,ig_fact(belongs_to_sector+produces+supplies_to) + ig_company_metric + c3_fundamental.financial_indicator
