因子ID,THS代码,因子名称,类别,频度,数据来源
FAC_0001,ths_stock_short_name_stock,Stock Short Name,其他,年频,THS_BD
FAC_0002,ths_stock_short_name_quote_client_stock,Stock Short Name Quote Client,其他,年频,THS_BD
FAC_0003,ths_en_short_name_stock,En Short Name,其他,年频,THS_BD
FAC_0004,ths_phonetic_short_name_stock,Phonetic Short Name,其他,年频,THS_BD
FAC_0005,ths_sec_name_used_before_stock,Sec Name Used Before,其他,年频,THS_BD
FAC_0006,ths_stock_code_stock,Stock Code,其他,年频,THS_BD
FAC_0007,ths_thscode_stock,Thscode,其他,年频,THS_BD
FAC_0008,ths_isin_code_stock,Isin Code,其他,年频,THS_BD
FAC_0009,ths_sedol_stock,Sedol,其他,年频,THS_BD
FAC_0010,ths_corp_bshare_short_name_stock,Corp Bshare Short Name,股份变动,年频,THS_BD
FAC_0011,ths_corp_bshare_code_stock,Corp Bshare Code,股份变动,年频,THS_BD
FAC_0012,ths_corp_hshare_short_name_stock,Corp Hshare Short Name,股份变动,年频,THS_BD
FAC_0013,ths_corp_hshare_code_stock,Corp Hshare Code,股份变动,年频,THS_BD
FAC_0014,ths_us_ticker_stock,Us Ticker,其他,年频,THS_BD
FAC_0015,ths_us_stock_code_stock,Us Code,其他,年频,THS_BD
FAC_0016,ths_stock_varieties_stock,Stock Varieties,其他,年频,THS_BD
FAC_0017,ths_ipo_date_stock,Ipo Date,上市发行,年频,THS_BD
FAC_0018,ths_backdoor_listing_date_stock,Backdoor Listing Date,上市发行,年频,THS_BD
FAC_0019,ths_listing_exchange_stock,Listing Exchange,上市发行,年频,THS_BD
FAC_0020,ths_listedsector_stock,Listedsector,上市发行,年频,THS_BD
FAC_0021,ths_listed_status_stock,Listed Status,上市发行,年频,THS_BD
FAC_0022,ths_reg_company_ipo_standard_stock,Reg Company Ipo Standard,上市发行,年频,THS_BD
FAC_0023,ths_issue_system_stock,Issue System,上市发行,年频,THS_BD
FAC_0024,ths_trade_currency_stock,Trade Currency,其他,年频,THS_BD
FAC_0025,ths_special_treatment_time_stock,Special Treatment Time,其他,年频,THS_BD
FAC_0026,ths_delisting_strart_date_stock,Delisting Strart Date,上市发行,年频,THS_BD
FAC_0027,ths_delist_date_stock,Delist Date,上市发行,年频,THS_BD
FAC_0028,ths_the_concept_stock,The Concept,其他,年频,THS_BD
FAC_0029,ths_is_risk_warning_board_stock,Is Risk Warning Board,其他,年频,THS_BD
FAC_0030,ths_is_important_index_constituent_stock,Is Important Index Constituent,其他,年频,THS_BD
FAC_0031,ths_index_weight_stock,Index Weight,其他,年频,THS_BD
FAC_0032,ths_is_mt_ss_underlying_stock,Is Mt Ss Underlying,其他,年频,THS_BD
FAC_0033,ths_is_shhk_buy_underlying_stock,Is Shhk Buy Underlying,其他,年频,THS_BD
FAC_0034,ths_is_szhk_buy_underlying_stock,Is Szhk Buy Underlying,其他,年频,THS_BD
FAC_0035,ths_is_subnew_stock_stock,Is Subnew,其他,年频,THS_BD
FAC_0036,ths_corp_cb_stock,Corp Cb,其他,年频,THS_BD
FAC_0037,ths_ashare_mm_num_stock,Ashare Mm Num,股份变动,年频,THS_BD
FAC_0038,ths_ashare_mm_detail_stock,Ashare Mm Detail,股份变动,年频,THS_BD
FAC_0039,ths_ashare_mm_sd_stock,Ashare Mm Sd,股份变动,年频,THS_BD
FAC_0040,ths_ashare_mm_on_debut_stock,Ashare Mm On Debut,股份变动,年频,THS_BD
FAC_0041,ths_corp_cn_name_stock,Corp Cn Name,其他,年频,THS_BD
FAC_0042,ths_corp_name_en_stock,Corp Name En,其他,年频,THS_BD
FAC_0043,ths_established_date_stock,Established Date,其他,年频,THS_BD
FAC_0044,ths_business_reg_num_stock,Business Reg Num,员工信息,年频,THS_BD
FAC_0045,ths_unified_social_credit_code_stock,Unified Social Credit Code,其他,年频,THS_BD
FAC_0046,ths_reg_capital_stock,Reg Capital,资产负债表,年频,THS_BD
FAC_0047,ths_currency_registered_capital_stock,Currency Registered Capital,资产负债表,年频,THS_BD
FAC_0048,ths_controlling_holder_stock,Controlling Holder,股东权益,年频,THS_BD
FAC_0049,ths_controlling_holder_held_ratio_stock,Controlling Holder Held Ratio,股东权益,年频,THS_BD
FAC_0050,ths_actual_controller_stock,Actual Controller,其他,年频,THS_BD
FAC_0051,ths_actual_controller_held_ratio_stock,Actual Controller Held Ratio,其他,年频,THS_BD
FAC_0052,ths_actual_controller_type_stock,Actual Controller Type,其他,年频,THS_BD
FAC_0053,ths_corp_nature_stock,Corp Nature,其他,年频,THS_BD
FAC_0054,ths_issuer_corp_nature_stock,Issuer Corp Nature,上市发行,年频,THS_BD
FAC_0055,ths_company_saclle_type_stock,Company Saclle Type,其他,年频,THS_BD
FAC_0056,ths_legal_representative_stock,Legal Representative,其他,年频,THS_BD
FAC_0057,ths_operating_scope_stock,Operating Scope,其他,年频,THS_BD
FAC_0058,ths_main_businuess_stock,Main Businuess,其他,年频,THS_BD
FAC_0059,ths_mo_product_name_stock,Mo Product Name,其他,年频,THS_BD
FAC_0060,ths_mo_product_type_stock,Mo Product Type,其他,年频,THS_BD
FAC_0061,ths_opponent_company_stock,Opponent Company,其他,年频,THS_BD
FAC_0062,ths_comparing_company_stock,Comparing Company,其他,年频,THS_BD
FAC_0063,ths_the_high_tech_park_stock,The High Tech Park,其他,年频,THS_BD
FAC_0064,ths_the_alc_industry_stock,The Alc Industry,行业分类,年频,THS_BD
FAC_0065,ths_the_alc_industry_code_stock,The Alc Industry Code,行业分类,年频,THS_BD
FAC_0066,ths_the_new_csrc_industry_stock,The New Csrc Industry,行业分类,年频,THS_BD
FAC_0067,ths_the_new_csrc_industry_code_stock,The New Csrc Industry Code,行业分类,年频,THS_BD
FAC_0068,ths_the_csrc_industry_stock,The Csrc Industry,行业分类,年频,THS_BD
FAC_0069,ths_the_csrc_industry_code_stock,The Csrc Industry Code,行业分类,年频,THS_BD
FAC_0070,ths_csrc_district_stock,Csrc District,其他,年频,THS_BD
FAC_0071,ths_the_ths_industry_stock,The Industry,行业分类,年频,THS_BD
FAC_0072,ths_the_ths_industry_code_stock,The Industry Code,行业分类,年频,THS_BD
FAC_0073,ths_royalflush_industry_index_code_stock,Royalflush Industry Index Code,行业分类,年频,THS_BD
FAC_0074,ths_the_sw_industry_stock,The Sw Industry,行业分类,年频,THS_BD
FAC_0075,ths_the_sw_industry_code_stock,The Sw Industry Code,行业分类,年频,THS_BD
FAC_0076,ths_china_securities_industry_stock,China Securities Industry,行业分类,年频,THS_BD
FAC_0077,ths_china_securities_indus_code_stock,China Securities Indus Code,其他,年频,THS_BD
FAC_0078,ths_yangtze_industry_stock,Yangtze Industry,行业分类,年频,THS_BD
FAC_0079,ths_yangtze_industry_code_stock,Yangtze Industry Code,行业分类,年频,THS_BD
FAC_0080,ths_cj_industry_index_code_stock,Cj Industry Index Code,行业分类,年频,THS_BD
FAC_0081,ths_the_sw_industry_index_code_stock,The Sw Industry Index Code,行业分类,年频,THS_BD
FAC_0082,ths_the_sw_industry_2014_stock,The Sw Industry 2014,行业分类,年频,THS_BD
FAC_0083,ths_the_sw_industry_code_2014_stock,The Sw Industry Code 2014,行业分类,年频,THS_BD
FAC_0084,ths_sw_industry_index_code_2014_stock,Sw Industry Index Code 2014,行业分类,年频,THS_BD
FAC_0085,ths_the_hrfg_industry_stock,The Hrfg Industry,行业分类,年频,THS_BD
FAC_0086,ths_the_hrfg_industry_code_stock,The Hrfg Industry Code,行业分类,年频,THS_BD
FAC_0087,ths_the_citic_industry_stock,The Citic Industry,行业分类,年频,THS_BD
FAC_0088,ths_the_citic_industry_code_stock,The Citic Industry Code,行业分类,年频,THS_BD
FAC_0089,ths_the_citic_industry_index_code_stock,The Citic Industry Index Code,行业分类,年频,THS_BD
FAC_0090,ths_the_national_eco_industry_stock,The National Eco Industry,行业分类,年频,THS_BD
FAC_0091,ths_the_national_eco_industry_code_stock,The National Eco Industry Code,行业分类,年频,THS_BD
FAC_0092,ths_strategy_emerg_ind_clas_stock,Strategy Emerg Ind Clas,其他,年频,THS_BD
FAC_0093,ths_strategy_emerg_ind_clas_code_stock,Strategy Emerg Ind Clas Code,其他,年频,THS_BD
FAC_0094,ths_the_amac_index_stock,The Amac Index,其他,年频,THS_BD
FAC_0095,ths_the_amac_code_stock,The Amac Code,其他,年频,THS_BD
FAC_0096,ths_the_ths_concept_index_stock,The Concept Index,其他,年频,THS_BD
FAC_0097,ths_the_ths_concept_index_code_stock,The Concept Index Code,其他,年频,THS_BD
FAC_0098,ths_is_listing_stock,Is Listing,上市发行,年频,THS_BD
FAC_0099,ths_is_issue_cb_stock,Is Issue Cb,上市发行,年频,THS_BD
FAC_0100,ths_is_srdi_stock,Is Srdi,其他,年频,THS_BD
FAC_0101,ths_ygzs_new_stock,Ygzs New,其他,年频,THS_BD
FAC_0102,ths_province_stock,Province,其他,年频,THS_BD
FAC_0103,ths_prefecture_level_city_stock,Prefecture Level City,其他,年频,THS_BD
FAC_0104,ths_county_level_city_stock,County Level City,其他,年频,THS_BD
FAC_0105,ths_reg_address_stock,Reg Address,其他,年频,THS_BD
FAC_0106,ths_office_address_stock,Office Address,其他,年频,THS_BD
FAC_0107,ths_zip_code_stock,Zip Code,其他,年频,THS_BD
FAC_0108,ths_corp_tel_stock,Corp Tel,其他,年频,THS_BD
FAC_0109,ths_corp_fax_stock,Corp Fax,其他,年频,THS_BD
FAC_0110,ths_corp_email_stock,Corp Email,其他,年频,THS_BD
FAC_0111,ths_corp_issue_sec_list_stock,Corp Issue Sec List,上市发行,年频,THS_BD
FAC_0112,ths_corp_website_stock,Corp Website,其他,年频,THS_BD
FAC_0113,ths_corp_profile_stock,Corp Profile,其他,年频,THS_BD
FAC_0114,ths_info_discloser_stock,Info Discloser,其他,年频,THS_BD
FAC_0115,ths_corp_info_disclosure_news_stock,Corp Info Disclosure News,其他,年频,THS_BD
FAC_0116,ths_corp_info_disclosure_website_stock,Corp Info Disclosure Website,其他,年频,THS_BD
FAC_0117,ths_audit_office_stock,Audit Office,其他,年频,THS_BD
FAC_0118,ths_charged_accountant_stock,Charged Accountant,其他,年频,THS_BD
FAC_0119,ths_legal_counsel_stock,Legal Counsel,其他,年频,THS_BD
FAC_0120,ths_charged_lawyer_stock,Charged Lawyer,其他,年频,THS_BD
FAC_0121,ths_charged_evaluator_stock,Charged Evaluator,其他,年频,THS_BD
FAC_0122,ths_asset_evaluate_org_stock,Asset Evaluate Org,资产负债表,年频,THS_BD
FAC_0123,ths_credit_rating_org_stock,Credit Rating Org,其他,年频,THS_BD
FAC_0124,ths_latest_subject_rating_stock,Latest Subject Rating,其他,年频,THS_BD
FAC_0125,ths_his_subject_rating_stock,His Subject Rating,其他,年频,THS_BD
FAC_0126,ths_lc_info_disclosure_evaluation_stock,Lc Info Disclosure Evaluation,其他,年频,THS_BD
FAC_0127,ths_regulatory_evaluation_c_stock,Regulatory Evaluation C,其他,年频,THS_BD
FAC_0128,ths_info_banktype_stock,Info Banktype,其他,年频,THS_BD
FAC_0129,ths_chairman_current_stock,Chairman Current,高管信息,年频,THS_BD
FAC_0130,ths_chairman_his_stock,Chairman His,高管信息,年频,THS_BD
FAC_0131,ths_vice_chairman_current_stock,Vice Chairman Current,高管信息,年频,THS_BD
FAC_0132,ths_vice_chairman_his_stock,Vice Chairman His,高管信息,年频,THS_BD
FAC_0133,ths_independent_director_current_stock,Independent Director Current,高管信息,年频,THS_BD
FAC_0134,ths_independent_director_his_stock,Independent Director His,高管信息,年频,THS_BD
FAC_0135,ths_director_current_stock,Director Current,高管信息,年频,THS_BD
FAC_0136,ths_director_his_stock,Director His,高管信息,年频,THS_BD
FAC_0137,ths_chief_supervisor_current_stock,Chief Supervisor Current,高管信息,年频,THS_BD
