symbol,name,industry_l1,industry_l2,tier,final,contrarian_ratio,net_inflow_yi,persist_ticks,coverage,window_ret,ret_20,dist_high60,sec_score
601991,大唐发电,公用事业,电力,强共振-结构弱,257.798,229.749,3.4349,120.0,0.584,3.685,-29.44,71.034,1.6369
001896,豫能控股,公用事业,电力,强共振-结构弱,161.54600000000002,133.497,1.9959,80.0,0.584,4.5,-29.673,72.206,1.6369
600021,上海电力,公用事业,电力,强共振-结构弱,154.851,126.802,1.8958,120.0,0.584,3.02,-9.417,47.418,1.6369
600900,长江电力,公用事业,电力,中等共振,149.913,106.864,3.0256,16.0,0.584,0.985,4.989,2.787,1.6369
601211,国泰海通,非银金融,证券Ⅱ,强共振-结构弱,133.301,111.377,1.6652,60.0,0.595,0.743,8.092,12.022,1.0024
601016,节能风电,公用事业,电力,强共振-结构弱,115.81,87.761,1.3121,80.0,0.584,3.349,-7.895,68.286,1.6369
601166,兴业银行,银行,股份制银行Ⅱ,强共振,115.666,71.853,1.0743,40.0,0.833,0.557,2.483,5.183,1.2153
601939,建设银行,银行,国有大型银行Ⅱ,强共振,114.806,70.993,1.0614,40.0,0.833,1.172,2.419,5.512,1.2153
601318,中国平安,非银金融,保险Ⅱ,中等共振,112.12700000000001,83.741,2.9996,15.0,0.595,0.71,2.673,17.081,1.6486
601898,中煤能源,煤炭,煤炭开采,强共振-结构弱,111.598,79.009,1.1813,140.0,0.576,1.103,-7.111,51.675,2.1069
600674,川投能源,公用事业,电力,强共振,110.541,67.492,1.0091,120.0,0.584,0.758,10.342,0.887,1.6369
600188,兖矿能源,煤炭,煤炭开采,强共振-结构弱,102.336,69.747,1.0428,120.0,0.576,0.935,-2.477,47.09,2.1069
601985,中国核电,公用事业,电力,强共振-结构弱,99.749,71.7,1.072,80.0,0.584,0.559,-3.618,6.94,1.6369
601398,工商银行,银行,国有大型银行Ⅱ,强共振,80.352,36.539,0.5463,60.0,0.833,0.656,5.726,2.774,1.2153
601658,邮储银行,银行,国有大型银行Ⅱ,强共振,78.087,34.274,0.7751,21.0,0.833,0.39,4.733,3.536,1.2153
601288,农业银行,银行,国有大型银行Ⅱ,强共振-结构弱,76.66499999999999,47.852,0.7154,40.0,0.833,1.705,0.314,12.05,1.2153
601229,上海银行,银行,城商行Ⅱ,中等共振,76.04599999999999,32.233,0.8985,13.0,0.833,0.763,2.715,7.379,1.2153
002142,宁波银行,银行,城商行Ⅱ,强共振,73.974,30.161,0.4509,80.0,0.833,0.876,2.794,7.08,1.2153
601336,新华保险,非银金融,保险Ⅱ,强共振,73.87899999999999,30.493,0.4559,60.0,0.595,0.279,9.123,6.943,1.6486
600011,华能国际,公用事业,电力,强共振-结构弱,72.637,44.588,0.6666,80.0,0.584,0.987,-9.424,41.04,1.6369
000600,建投能源,公用事业,电力,强共振-结构弱,68.606,40.557,0.6064,100.0,0.584,4.801,-16.904,59.191,1.6369
600157,永泰能源,公用事业,电力,中等共振,66.539,38.49,0.5755,20.0,0.584,0.0,-6.707,24.837,1.6369
601328,交通银行,银行,国有大型银行Ⅱ,强共振,64.969,21.156,0.3163,40.0,0.833,0.723,2.246,4.978,1.2153
601988,中国银行,银行,国有大型银行Ⅱ,强共振,63.367999999999995,19.555,0.2924,60.0,0.833,0.668,3.114,5.537,1.2153
600886,国投电力,公用事业,电力,中等共振,60.525,17.476,0.4477,11.0,0.584,0.812,12.93,-0.068,1.6369
600036,招商银行,银行,股份制银行Ⅱ,中等共振,58.037000000000006,14.224,0.6125,11.0,0.833,0.13,2.04,5.602,1.2153
601128,常熟银行,银行,农商行Ⅱ,强共振,57.528000000000006,12.623,0.1887,40.0,0.833,0.797,-0.162,8.348,1.3245
603129,春风动力,汽车,摩托车及其他,中等共振,55.898999999999994,26.503,0.3962,10.0,0.149,3.444,21.622,4.46,1.1416
601860,紫金银行,银行,农商行Ⅱ,中等共振,55.68000000000001,10.775,0.1611,19.0,0.833,1.154,1.173,4.655,1.3245
600015,华夏银行,银行,股份制银行Ⅱ,强共振,54.464,10.651,0.1592,80.0,0.833,0.434,4.223,5.21,1.2153
600025,华能水电,公用事业,电力,强共振,53.574999999999996,10.526,0.1574,27.0,0.584,0.4,8.132,2.134,1.6369
601818,光大银行,银行,股份制银行Ⅱ,强共振,53.480999999999995,9.668,0.1446,40.0,0.833,0.32,1.623,3.195,1.2153
601577,长沙银行,银行,城商行Ⅱ,强共振,52.494,8.681,0.1298,100.0,0.833,0.871,2.183,6.838,1.2153
000791,甘肃能源,公用事业,电力,强共振-结构弱,52.028,23.979,0.3585,100.0,0.584,1.3,-13.737,47.233,1.6369
002958,青农商行,银行,农商行Ⅱ,强共振,51.461,6.556,0.098,40.0,0.833,0.993,6.025,5.355,1.3245
601001,晋控煤业,煤炭,煤炭开采,强共振-结构弱,51.405,18.816,0.2813,160.0,0.576,1.663,-7.445,36.338,2.1069
603323,苏农银行,银行,农商行Ⅱ,强共振,51.019000000000005,6.114,0.0914,60.0,0.833,0.937,2.171,5.913,1.3245
000601,韶能股份,公用事业,电力,强共振-结构弱,50.808,22.759,0.3403,80.0,0.584,2.219,-1.967,52.623,1.6369
000966,长源电力,公用事业,电力,强共振-结构弱,50.300999999999995,22.252,0.3327,100.0,0.584,1.833,-3.125,33.871,1.6369
605011,杭州热电,公用事业,电力,强共振-结构弱,49.946,21.897,0.3274,80.0,0.584,2.984,8.26,28.517,1.6369
601665,齐鲁银行,银行,城商行Ⅱ,强共振,49.55199999999999,5.739,0.0858,60.0,0.833,0.817,0.165,7.414,1.2153
601601,中国太保,非银金融,保险Ⅱ,中等共振,49.274,20.888,1.0019,13.0,0.595,1.005,-0.767,29.277,1.6486
002966,苏州银行,银行,城商行Ⅱ,强共振,49.153000000000006,5.34,0.0798,60.0,0.833,1.256,6.069,8.706,1.2153
002948,青岛银行,银行,城商行Ⅱ,强共振,48.226,4.413,0.066,40.0,0.833,1.235,5.234,7.282,1.2153
601916,浙商银行,银行,股份制银行Ⅱ,强共振,48.116,4.303,0.0802,21.0,0.833,0.699,-1.748,6.05,1.2153
000543,皖能电力,公用事业,电力,强共振-结构弱,48.014,19.965,0.2985,100.0,0.584,1.783,-4.116,31.211,1.6369
002128,电投能源,煤炭,煤炭开采,强共振-结构弱,47.57299999999999,14.984,0.224,60.0,0.576,0.076,4.015,30.442,2.1069
000690,宝新能源,公用事业,电力,强共振-结构弱,46.9,18.851,0.2818,100.0,0.584,1.253,-9.533,37.634,1.6369
000591,太阳能,公用事业,电力,强共振-结构弱,46.275,18.226,0.2725,60.0,0.584,1.559,-7.338,47.059,1.6369
600000,浦发银行,银行,股份制银行Ⅱ,强共振-结构弱,46.07600000000001,17.263,0.2581,40.0,0.833,0.78,-2.42,11.725,1.2153
001227,兰州银行,银行,城商行Ⅱ,中等共振,45.331,1.518,0.0227,20.0,0.833,0.465,2.908,5.194,1.2153
000537,绿发电力,公用事业,电力,强共振-结构弱,44.522,16.473,0.2463,120.0,0.584,1.849,-6.274,55.288,1.6369
600901,江苏金租,非银金融,多元金融,强共振,44.083,7.159,0.107,40.0,0.595,0.614,6.942,9.119,1.0024
002608,江苏国信,公用事业,电力,强共振-结构弱,44.046,15.997,0.2392,40.0,0.584,1.103,-15.329,57.426,1.6369
600575,淮河能源,公用事业,电力,强共振-结构弱,43.766,15.717,0.235,100.0,0.584,1.238,-13.427,38.928,1.6369
600101,明星电力,公用事业,电力,强共振-结构弱,43.708,15.659,0.2341,51.0,0.584,2.331,-2.417,32.193,1.6369
002310,东方新能,公用事业,电力,强共振-结构弱,43.658,15.609,0.2334,40.0,0.584,2.119,2.146,55.462,1.6369
300335,迪森股份,公用事业,电力,强共振-结构弱,43.562,15.513,0.2319,100.0,0.584,5.525,2.697,37.523,1.6369
601108,财通证券,非银金融,证券Ⅱ,强共振,43.286,6.362,0.0951,80.0,0.595,0.465,13.83,8.762,1.0024
000001,平安银行,银行,股份制银行Ⅱ,强共振,43.149,-0.664,-0.0099,40.0,0.833,0.275,2.471,4.36,1.2153
601888,中国中免,商贸零售,旅游零售Ⅱ,中等共振,43.038,23.526,1.0205,11.0,0.343,0.33,-4.392,30.17,1.2652
600095,湘财股份,非银金融,证券Ⅱ,强共振-结构弱,42.83,20.906,0.3126,60.0,0.595,1.661,12.274,11.968,1.0024
002807,江阴银行,银行,农商行Ⅱ,中等共振,42.565,-2.34,-0.035,20.0,0.833,0.504,0.51,8.376,1.3245
000722,湖南发展,公用事业,电力,强共振-结构弱,42.525,14.476,0.2164,100.0,0.584,1.633,-3.691,28.778,1.6369
600509,天富能源,公用事业,电力,强共振-结构弱,42.024,13.975,0.2089,29.0,0.584,1.915,-12.576,57.542,1.6369
603693,江苏新能,公用事业,电力,强共振-结构弱,41.669,13.62,0.2036,120.0,0.584,2.6,-14.423,71.132,1.6369
601963,重庆银行,银行,城商行Ⅱ,强共振-结构弱,41.308,12.495,0.1868,60.0,0.833,2.557,-2.857,17.837,1.2153
002500,山西证券,非银金融,证券Ⅱ,强共振,41.153999999999996,4.23,0.0632,40.0,0.595,0.186,6.6,6.942,1.0024
600918,中泰证券,非银金融,证券Ⅱ,中等共振,40.986,4.062,0.08,13.0,0.595,0.176,9.942,8.156,1.0024
002936,郑州银行,银行,城商行Ⅱ,强共振,40.542,-3.271,-0.0489,40.0,0.833,0.559,2.339,5.714,1.2153
601918,新集能源,煤炭,煤炭开采,强共振-结构弱,40.370999999999995,7.782,0.1163,100.0,0.576,0.78,10.662,23.327,2.1069
600546,山煤国际,煤炭,煤炭开采,强共振-结构弱,40.03,7.441,0.1112,60.0,0.576,1.694,-4.062,33.192,2.1069
600396,华电辽能,公用事业,电力,强共振-结构弱,39.466,11.417,0.1707,80.0,0.584,0.242,-28.877,97.768,1.6369
600016,民生银行,银行,股份制银行Ⅱ,中等共振,39.442,-4.371,-0.0653,20.0,0.833,0.285,0.875,7.514,1.2153
601236,红塔证券,非银金融,证券Ⅱ,强共振,39.358999999999995,2.435,0.0364,40.0,0.595,0.282,5.09,8.832,1.0024
601699,潞安环能,煤炭,煤炭开采,强共振-结构弱,39.355000000000004,6.766,0.1012,60.0,0.576,0.263,-13.128,36.281,2.1069
688331,荣昌生物,医药生物,生物制品,中等共振,39.237,21.108,0.3156,12.0,0.337,-0.666,1.336,36.023,1.1389
603198,迎驾贡酒,食品饮料,白酒Ⅱ,中等共振,39.106,11.987,0.1792,14.0,0.443,1.46,4.826,17.728,1.8259
600123,兰花科创,煤炭,煤炭开采,强共振-结构弱,38.788,6.199,0.0927,60.0,0.576,0.945,1.818,21.753,2.1069
600809,山西汾酒,食品饮料,白酒Ⅱ,中等共振,38.547,11.428,0.246,13.0,0.443,0.576,2.613,26.419,1.8259
