draft	line	ctx	term	class	bm_hits
治理架构.md	71	box	ZephyrAlpha	EXCL_GENERIC	0
治理架构.md	80	box	YAML	COVERED	12
治理架构.md	89	box	immutable	COVERED	2
治理架构.md	90	box	GATE-01	EXCL_XREF	0
治理架构.md	98	box	KS/Wasserstein	EXCL_DOMAIN	0
治理架构.md	98	box	PELT	EXCL_DOMAIN	0
治理架构.md	105	box	Agentic	COVERED	3
治理架构.md	105	box	Hard-Gate	EXCL_DOMAIN	0
治理架构.md	105	box	Agent	COVERED	150
治理架构.md	105	box	Challenge	COVERED	6
治理架构.md	122	box	HB-GOV-01	COVERED	1
治理架构.md	123	box	Kill	COVERED	135
治理架构.md	124	box	B-001	COVERED	1
治理架构.md	124	box	B-003	COVERED	1
治理架构.md	124	box	B-002	COVERED	1
治理架构.md	124	box	B-004	COVERED	1
治理架构.md	129	box	Phase0	EXCL_DOMAIN	0
治理架构.md	129	box	Phase1	COVERED	6
治理架构.md	129	box	Phase2	COVERED	3
治理架构.md	130	box	Phase3	COVERED	3
治理架构.md	130	box	Phase4	COVERED	1
治理架构.md	130	box	Phase5	EXCL_DOMAIN	0
治理架构.md	273	box	Governance	COVERED	20
治理架构.md	273	box	Flow	COVERED	261
治理架构.md	273	box	Panorama	COVERED	13
治理架构.md	282	box	Draft	COVERED	1
治理架构.md	282	box	Review	COVERED	16
治理架构.md	282	box	Publish	COVERED	8
治理架构.md	282	box	Active	COVERED	26
治理架构.md	282	box	Retire	COVERED	4
治理架构.md	309	box	immu	COVERED	2
治理架构.md	310	box	gated	EXCL_DOMAIN	0
治理架构.md	310	box	table	COVERED	413
治理架构.md	316	box	GATE-07	EXCL_XREF	0
治理架构.md	394	box	Hard	COVERED	47
治理架构.md	400	box	Factory	COVERED	9
治理架构.md	421	box	Runtime	COVERED	2
治理架构.md	421	box	Policy	COVERED	6
治理架构.md	438	heading	Dynamic	COVERED	2
治理架构.md	438	heading	Signal	COVERED	189
治理架构.md	438	heading	Weighting	COVERED	4
治理架构.md	438	heading	via	EXCL_GENERIC	0
治理架构.md	438	heading	Bayesian	COVERED	3
治理架构.md	438	heading	Model	COVERED	131
治理架构.md	438	heading	Averaging	COVERED	1
治理架构.md	669	heading	Performance	COVERED	20
治理架构.md	669	heading	Attribution	COVERED	23
治理架构.md	669	heading	Strategy	COVERED	81
治理架构.md	669	heading	Degradation	COVERED	10
治理架构.md	669	heading	Detection	COVERED	63
治理架构.md	1595	heading	D-AUTONOMY	EXCL_XREF	0
治理架构.md	1637	heading	FPGA	EXCL_DOMAIN	0
治理架构.md	1637	heading	SZP	EXCL_DOMAIN	0
治理架构.md	1637	heading	RES	COVERED	1011
安全架构.md	81	box	ZephyrAlpha	EXCL_GENERIC	0
安全架构.md	91	box	Trader/Admin/System	EXCL_DOMAIN	0
安全架构.md	93	box	RBAC	COVERED	1
安全架构.md	101	box	HB-SEC-02	COVERED	1
安全架构.md	101	box	LLM	EXCL_GENERIC	0
安全架构.md	104	box	Credential	EXCL_DOMAIN	0
安全架构.md	104	box	Guard	COVERED	1
安全架构.md	107	box	HB-SEC-01	COVERED	1
安全架构.md	108	box	TLS	EXCL_DOMAIN	0
安全架构.md	112	box	AM/HG/IM	EXCL_DOMAIN	0
安全架构.md	112	box	AWS	EXCL_DOMAIN	0
安全架构.md	112	box	Scope	EXCL_DOMAIN	0
安全架构.md	113	box	Shamir	EXCL_DOMAIN	0
安全架构.md	114	box	SHA	COVERED	162
安全架构.md	115	box	MCP	COVERED	8
安全架构.md	115	box	Triple	EXCL_DOMAIN	0
安全架构.md	115	box	Gate	COVERED	45
安全架构.md	115	box	KILLSWITCH	COVERED	12
安全架构.md	120	box	SEC-01	COVERED	1
安全架构.md	122	box	TEE	EXCL_DOMAIN	0
安全架构.md	122	box	FHE	EXCL_DOMAIN	0
安全架构.md	122	box	MPC	COVERED	1
安全架构.md	122	box	Scope4	EXCL_DOMAIN	0
安全架构.md	123	box	WASM	COVERED	4
安全架构.md	123	box	mTLS	EXCL_DOMAIN	0
安全架构.md	123	box	AML	COVERED	23
安全架构.md	125	box	Act	COVERED	298
安全架构.md	125	box	NIST	COVERED	2
安全架构.md	125	box	CSF	EXCL_DOMAIN	0
安全架构.md	125	box	KILLSWITCH.md	EXCL_DOMAIN	0
安全架构.md	125	box	SEC	COVERED	79
安全架构.md	141	box	Trader	COVERED	9
安全架构.md	177	box	high	COVERED	1
安全架构.md	177	box	critical	COVERED	4
安全架构.md	190	box	HB-SEC-12	COVERED	1
安全架构.md	193	box	HB-SEC-08	COVERED	1
安全架构.md	194	box	Gate1	EXCL_DOMAIN	0
安全架构.md	194	box	Gate2	EXCL_DOMAIN	0
安全架构.md	194	box	Gate3	EXCL_DOMAIN	0
安全架构.md	198	box	Agent	COVERED	150
安全架构.md	198	box	ABAC	EXCL_DOMAIN	0
安全架构.md	231	box	WHO	EXCL_DOMAIN	0
安全架构.md	231	box	WHAT	COVERED	12
安全架构.md	231	box	WHEN	EXCL_DOMAIN	0
安全架构.md	231	box	WHERE	EXCL_DOMAIN	0
安全架构.md	231	box	WHY	COVERED	11
安全架构.md	231	box	RESULT	COVERED	105
安全架构.md	234	box	SIEM	EXCL_DOMAIN	0
安全架构.md	1257	heading	PQC	EXCL_DOMAIN	0
安全架构.md	1933	heading	Ethical	EXCL_DOMAIN	0
安全架构.md	1933	heading	Wall	COVERED	4
安全架构.md	2061	heading	Coordinated	COVERED	1
安全架构.md	2061	heading	Trading	COVERED	94
安全架构.md	2061	heading	Detection	COVERED	63
安全架构.md	2061	heading	Model	COVERED	131
安全架构.md	2115	heading	Information	COVERED	8
安全架构.md	2115	heading	Asymmetry	COVERED	1
安全架构.md	2115	heading	Period	COVERED	12
安全架构.md	2115	heading	Manipulation	COVERED	1
安全架构.md	2296	heading	OPEN-01	EXCL_DOMAIN	0
安全架构.md	2320	heading	OPEN-02	EXCL_DOMAIN	0
安全架构.md	2335	heading	OPEN-03	EXCL_DOMAIN	0
安全架构.md	2356	heading	OPEN-04	EXCL_DOMAIN	0
安全架构.md	2377	heading	OPEN-05	EXCL_DOMAIN	0
安全架构.md	2399	heading	OPEN-06	EXCL_DOMAIN	0
安全架构.md	2422	heading	OPEN-07	EXCL_DOMAIN	0
安全架构.md	2443	heading	OPEN-08	EXCL_DOMAIN	0
安全架构.md	2469	heading	OPEN-09	EXCL_DOMAIN	0
安全架构.md	2486	heading	OPEN-10	EXCL_DOMAIN	0
安全架构.md	2506	heading	OPEN-11	EXCL_DOMAIN	0
安全架构.md	2506	heading	TEE/FHE/FL/MPC	EXCL_DOMAIN	0
安全架构.md	2524	heading	OPEN-12	EXCL_DOMAIN	0
运维架构.md	76	box	Unified	COVERED	3
运维架构.md	76	box	Operations	EXCL_DOMAIN	0
运维架构.md	76	box	Architecture	COVERED	53
运维架构.md	80	box	NSSM	EXCL_DOMAIN	0
运维架构.md	81	box	pri	COVERED	526
运维架构.md	86	box	Hot	COVERED	18
运维架构.md	88	box	GPU	EXCL_GENERIC	0
运维架构.md	88	box	Redis	EXCL_GENERIC	0
运维架构.md	94	box	Warm	COVERED	1
运维架构.md	102	box	Cold	COVERED	1
运维架构.md	104	box	iFind	COVERED	19
运维架构.md	104	box	QPS	COVERED	12
运维架构.md	111	box	Prom	COVERED	3
运维架构.md	112	box	RED	COVERED	93
运维架构.md	112	box	USE	COVERED	17
运维架构.md	112	box	SLO	EXCL_GENERIC	0
运维架构.md	113	box	AOF	EXCL_DOMAIN	0
运维架构.md	113	box	RTO	EXCL_DOMAIN	0
运维架构.md	113	box	RPO	COVERED	19
运维架构.md	129	box	Detect	COVERED	92
运维架构.md	129	box	Diagnose	COVERED	7
运维架构.md	130	box	Remediate	EXCL_DOMAIN	0
运维架构.md	130	box	TNR	EXCL_DOMAIN	0
运维架构.md	130	box	Learn	COVERED	19
运维架构.md	134	box	Yes	COVERED	15
运维架构.md	175	box	MPS	COVERED	1
运维架构.md	175	box	eBPF	EXCL_DOMAIN	0
运维架构.md	176	box	Run	COVERED	23
运维架构.md	176	box	WinSW	EXCL_DOMAIN	0
运维架构.md	414	heading	Memory	COVERED	2
运维架构.md	414	heading	Swap	COVERED	4
运维架构.md	431	heading	Multi-Process	EXCL_DOMAIN	0
运维架构.md	431	heading	Service	COVERED	31
运维架构.md	508	heading	Post-Entry	COVERED	1
