bucket	draft	line	term
EXCL_BENCHMARK	学习系统架构.md	141	QuantaAlpha
EXCL_BENCHMARK	学习系统架构.md	142	Hubble
EXCL_BENCHMARK	学习系统架构.md	142	UBS/Celestial
EXCL_BENCHMARK	学习系统架构.md	143	Microsoft
EXCL_BENCHMARK	学习系统架构.md	143	ICAIF
EXCL_BENCHMARK	学习系统架构.md	144	MSRA
EXCL_BENCHMARK	学习系统架构.md	144	ICLR
EXCL_BENCHMARK	学习系统架构.md	145	Nof1
EXCL_BENCHMARK	学习系统架构.md	146	CogAlpha
EXCL_BENCHMARK	学习系统架构.md	147	FactorMiner
EXCL_BENCHMARK	学习系统架构.md	147	Wang
EXCL_BENCHMARK	学习系统架构.md	148	FinRL-X
EXCL_BENCHMARK	学习系统架构.md	148	AI4Finance
EXCL_BENCHMARK	学习系统架构.md	149	Dnalyaw
EXCL_BENCHMARK	学习系统架构.md	149	Rust/Go
EXCL_BENCHMARK	学习系统架构.md	2216	FinRL-X/Dnalyaw
EXCL_BENCHMARK	学习系统架构.md	2248	AltStreet
EXCL_BENCHMARK	学习系统架构.md	2283	MVP
EXCL_BENCHMARK	学习系统架构.md	2765	HKU/China
EXCL_BENCHMARK	学习系统架构.md	2765	Mobile
EXCL_BENCHMARK	学习系统架构.md	2765	Apr
EXCL_BENCHMARK	学习系统架构.md	2767	Foundation
EXCL_BENCHMARK	学习系统架构.md	2805	XAI
EXCL_REG	风险架构.md	84	BCBS
EXCL_REG	风险架构.md	103	Merton
EXCL_REG	风险架构.md	104	IFRS
EXCL_REG	风险架构.md	104	ECL
EXCL_REG	风险架构.md	120	Millennium
EXCL_REG	风险架构.md	145	Principal
EXCL_REG	风险架构.md	150	Named
EXCL_REG	风险架构.md	151	Accountability
EXCL_REG	风险架构.md	178	ESRB
EXCL_REG	风险架构.md	191	IMDA/CSA/CISA
EXCL_REG	风险架构.md	192	Treasury/FSB
EXCL_REG	风险架构.md	204	Resolution
EXCL_REG	风险架构.md	245	RWC/SA-BCP
EXCL_REG	风险架构.md	1568	Guarantee
EXCL_REG	数据架构.md	129	BCBS
EXCL_IMPL	交易决策架构.md	414	Server
EXCL_IMPL	数据架构.md	108	zalpha
EXCL_IMPL	数据架构.md	109	HSTR
EXCL_IMPL	数据架构.md	117	HSET
EXCL_IMPL	数据架构.md	141	AES-256-GCM
EXCL_IMPL	数据架构.md	148	CI/CD
EXCL_IMPL	集成架构.md	88	APIs
EXCL_IMPL	集成架构.md	104	Gateway
EXCL_IMPL	集成架构.md	135	SemVer
EXCL_IMPL	集成架构.md	136	Deprecating
EXCL_IMPL	集成架构.md	147	Client-Host-Server
EXCL_IMPL	集成架构.md	149	TAE
EXCL_IMPL	集成架构.md	170	contextvars
EXCL_IMPL	集成架构.md	170	structlog
EXCL_IMPL	集成架构.md	190	Notification
EXCL_IMPL	集成架构.md	259	Server
EXCL_IMPL	集成架构.md	297	CL-01
EXCL_IMPL	集成架构.md	298	GitOps
EXCL_IMPL	集成架构.md	299	RTO
EXCL_IMPL	集成架构.md	914	Agent-to-Agent
EXCL_FRAGMENT	交易决策架构.md	336	🆕v7.0 轨道2模型:端到端DL
EXCL_FRAGMENT	交易决策架构.md	339	🆕v8.0 分层Agent指挥链
EXCL_FRAGMENT	交易决策架构.md	1015	#### 🆕v4.1 突破成败信号详解
EXCL_FRAGMENT	交易决策架构.md	1207	触发模型重训练
EXCL_FRAGMENT	交易决策架构.md	1210	两者均未就绪时使用降级模式
EXCL_FRAGMENT	交易决策架构.md	1228	| ML模型调度 | ❌ 无
EXCL_FRAGMENT	交易决策架构.md	1379	密度预测的因子侧支撑
EXCL_FRAGMENT	交易决策架构.md	3337	🆕密度预测增强后信号输出升级:
EXCL_FRAGMENT	交易决策架构.md	3400	🆕收益率条件密度预测注入点
EXCL_FRAGMENT	交易决策架构.md	3412	### §4.5 🆕收益率条件密度预测模型
EXCL_FRAGMENT	交易决策架构.md	3467	### §4.5.1 🆕密度预测专业机构实践增强
EXCL_FRAGMENT	交易决策架构.md	4461	🆕8态与收益率条件密度预测的融合
EXCL_FRAGMENT	交易决策架构.md	4591	🆕收益率条件密度预测输出联动
EXCL_FRAGMENT	交易决策架构.md	4911	消费知识图谱图结构输出关系嵌入增强密度预测
EXCL_FRAGMENT	交易决策架构.md	5072	> 🆕v3.6: 新增盘中即时反应决策引擎
EXCL_FRAGMENT	交易决策架构.md	5072	+ RL增强
EXCL_FRAGMENT	交易决策架构.md	5072	+ 自动策略发现
EXCL_FRAGMENT	交易决策架构.md	5224	Phase 1前方案/密度预测降级备选
EXCL_FRAGMENT	交易决策架构.md	5224	Phase 1起仅当密度预测不可用时使用
EXCL_FRAGMENT	交易决策架构.md	5485	未就绪降级模式: 不使用8态预测约束评分调整
EXCL_FRAGMENT	交易决策架构.md	5528	含降级模式详见§14.2
EXCL_FRAGMENT	交易决策架构.md	5924	偏度/峰度预测偏差→特征工程调整
EXCL_FRAGMENT	交易决策架构.md	5989	🆕v3.4增强: 分布参数纳入决策路径
EXCL_FRAGMENT	交易决策架构.md	6059	🆕密度预测模型的回测验证标准
EXCL_FRAGMENT	交易决策架构.md	6090	🆕收益率条件密度预测模型
EXCL_FRAGMENT	交易决策架构.md	6204	🆕收益率条件密度预测评分增强
EXCL_FRAGMENT	交易决策架构.md	6222	消费§4.5.1-B3事件驱动密度预测输出
EXCL_FRAGMENT	交易决策架构.md	6600	| L3策略决策层
EXCL_FRAGMENT	交易决策架构.md	6603	| L4风控执行层
EXCL_FRAGMENT	交易决策架构.md	8287	| 🆕增强
EXCL_FRAGMENT	交易决策架构.md	8335	3-5 Agent投票→选最优因子组合→策略生成
EXCL_FRAGMENT	交易决策架构.md	8336	因子↔策略双向评估→策略参数联合优化
EXCL_FRAGMENT	交易决策架构.md	8381	注：此指标衡量执行层面滑点拟合度
