panel,signal,fwd,window,regime,metric,value,ic_mean,ic_ir,ic_t,n_obs,n_days,pct_pos,power,note
auction,auc_gap,eod,"FULL(2026-07..09,17d)",high_only(2026-07..09),xsec_ic,-0.1733066229840333,-0.1733066229840333,-1.4821381124151236,-6.1110119892411365,,17,0.0588235294117647,LOW,17 full-snapshot days; gap/vratio/imb from 09:25 final auction snapshot
auction,auc_gap,t1,"FULL(2026-07..09,17d)",high_only(2026-07..09),xsec_ic,0.0026679161257505,0.0026679161257505,0.0177120430763107,0.0730286244491191,,17,0.4705882352941176,LOW,17 full-snapshot days; gap/vratio/imb from 09:25 final auction snapshot
auction,auc_imb,eod,"FULL(2026-07..09,17d)",high_only(2026-07..09),xsec_ic,0.0376709511806949,0.0376709511806949,1.205359360942825,4.96982396199427,,17,0.8823529411764706,LOW,17 full-snapshot days; gap/vratio/imb from 09:25 final auction snapshot
auction,auc_imb,t1,"FULL(2026-07..09,17d)",high_only(2026-07..09),xsec_ic,-0.0123645937888043,-0.0123645937888043,-0.3184181779258163,-1.3128717807048584,,17,0.4117647058823529,LOW,17 full-snapshot days; gap/vratio/imb from 09:25 final auction snapshot
auction,auc_vratio,eod,"FULL(2026-07..09,17d)",high_only(2026-07..09),xsec_ic,-0.0329118019895866,-0.0329118019895866,-0.3438253739617339,-1.417628333611721,,17,0.2941176470588235,LOW,17 full-snapshot days; gap/vratio/imb from 09:25 final auction snapshot
auction,auc_vratio,t1,"FULL(2026-07..09,17d)",high_only(2026-07..09),xsec_ic,-0.0790609568284515,-0.0790609568284515,-0.9461891075666152,-3.901237632306065,,17,0.1176470588235294,LOW,17 full-snapshot days; gap/vratio/imb from 09:25 final auction snapshot
news,news_buzz,f1,FULL(2026-02..09),high_only(2026-02..09),xsec_ic,0.0157645260810473,0.0157645260810473,0.1519427952563261,1.4334254636001205,,89,0.5869565217391305,LOW,"night window (d 18:00 -> d+1 08:00), decision at d+1; intra = d+1 open->close"
news,news_buzz,f5,FULL(2026-02..09),high_only(2026-02..09),xsec_ic,-0.0220784965250647,-0.0220784965250647,-0.1972801532231862,-1.8611372432367748,,89,0.391304347826087,LOW,"night window (d 18:00 -> d+1 08:00), decision at d+1; intra = d+1 open->close"
news,news_buzz,intra,FULL(2026-02..09),high_only(2026-02..09),xsec_ic,0.0630753823894465,0.0630753823894465,0.4628095357362193,4.3661364278713695,,89,0.6413043478260869,LOW,"night window (d 18:00 -> d+1 08:00), decision at d+1; intra = d+1 open->close"
news,news_sent,f1,FULL(2026-02..09),high_only(2026-02..09),xsec_ic,-0.0204619548441451,-0.0204619548441451,-0.1293462520228621,-1.2406456657471878,,92,0.4239130434782608,LOW,"night window (d 18:00 -> d+1 08:00), decision at d+1; intra = d+1 open->close"
