panel,factor_key,origin,formula_note,bucket,horizon,window,note,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,n_days_bucket
A_stock_indicator,f_exp_bp,价值-BP,1/pb,neutral,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03661,0.15385,0.238,6.697,792,0.5505,867.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,overall,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03855,0.15572,0.2476,8.189,1094,0.5512,
A_stock_indicator,f_exp_bp,价值-BP,1/pb,risk_off,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.06895,0.17445,0.3952,4.937,156,0.5833,181.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,risk_on,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.01659,0.14005,0.1185,1.431,146,0.5205,166.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,neutral,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04529,0.16298,0.2779,7.82,792,0.5417,867.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,overall,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04835,0.16206,0.2983,9.867,1094,0.5631,
A_stock_indicator,f_exp_bp,价值-BP,1/pb,risk_off,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.09548,0.17764,0.5375,6.713,156,0.6603,181.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,risk_on,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.01456,0.12547,0.1161,1.403,146,0.5753,166.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,neutral,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.05897,0.16651,0.3541,9.966,792,0.5644,867.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,overall,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.06098,0.16862,0.3617,11.962,1094,0.585,
A_stock_indicator,f_exp_bp,价值-BP,1/pb,risk_off,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.11742,0.17193,0.683,8.53,156,0.7564,181.0
A_stock_indicator,f_exp_bp,价值-BP,1/pb,risk_on,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.01162,0.15987,0.0727,0.878,146,0.5137,166.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,neutral,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03124,0.13599,0.2297,6.464,792,0.5859,867.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,overall,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03039,0.13857,0.2193,7.254,1094,0.5704,
A_stock_indicator,f_exp_dp,股息率,dividend_yield,risk_off,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04695,0.16219,0.2895,3.615,156,0.5449,181.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,risk_on,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.00811,0.12224,0.0663,0.802,146,0.5137,166.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,neutral,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03805,0.14201,0.268,7.541,792,0.572,867.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,overall,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03879,0.14216,0.2728,9.024,1094,0.5686,
A_stock_indicator,f_exp_dp,股息率,dividend_yield,risk_off,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.07053,0.1631,0.4324,5.401,156,0.609,181.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,risk_on,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.00884,0.10906,0.0811,0.98,146,0.5068,166.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,neutral,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04813,0.1511,0.3185,8.964,792,0.5707,867.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,overall,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04812,0.15145,0.3177,10.508,1094,0.5887,
A_stock_indicator,f_exp_dp,股息率,dividend_yield,risk_off,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.07663,0.15316,0.5003,6.249,156,0.7051,181.0
A_stock_indicator,f_exp_dp,股息率,dividend_yield,risk_on,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.01756,0.14645,0.1199,1.449,146,0.5616,166.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",neutral,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02582,0.12835,0.2012,5.662,792,0.5694,867.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",overall,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02595,0.13012,0.1994,6.595,1094,0.5612,
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",risk_off,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04211,0.15298,0.2753,3.438,156,0.5641,181.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",risk_on,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.00936,0.11039,0.0848,1.024,146,0.5137,166.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",neutral,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02953,0.13291,0.2222,6.252,792,0.5808,867.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",overall,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.032,0.13204,0.2424,8.016,1094,0.5841,
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",risk_off,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.0635,0.14941,0.425,5.308,156,0.6538,181.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",risk_on,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.01176,0.09837,0.1195,1.444,146,0.5274,166.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",neutral,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03478,0.14336,0.2426,6.828,792,0.5846,867.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",overall,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03828,0.14212,0.2694,8.91,1094,0.5923,
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",risk_off,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.06803,0.1324,0.5138,6.418,156,0.6923,181.0
A_stock_indicator,f_exp_ep,FCT-EXP-001 同族口径,"1/pe(估值锚代理,stock_indicator 11.5年)",risk_on,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02549,0.14214,0.1793,2.167,146,0.5274,166.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,neutral,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02655,0.12329,0.2154,6.061,792,0.5682,867.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,overall,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02657,0.12476,0.2129,7.043,1094,0.553,
A_stock_indicator,f_exp_sp,价值-SP,1/ps,risk_off,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.05055,0.13957,0.3622,4.523,156,0.5513,181.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,risk_on,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.00101,0.11095,0.0091,0.11,146,0.4726,166.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,neutral,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03404,0.13103,0.2598,7.311,792,0.5518,867.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,overall,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03489,0.12985,0.2687,8.888,1094,0.5576,
A_stock_indicator,f_exp_sp,价值-SP,1/ps,risk_off,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.07198,0.13661,0.5269,6.58,156,0.6667,181.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,risk_on,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,-9e-05,0.1038,-0.0009,-0.01,146,0.4726,166.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,neutral,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04534,0.1345,0.3371,9.488,792,0.5707,867.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,overall,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04478,0.13518,0.3313,10.957,1094,0.5841,
A_stock_indicator,f_exp_sp,价值-SP,1/ps,risk_off,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.08765,0.12798,0.6849,8.554,156,0.7756,181.0
A_stock_indicator,f_exp_sp,价值-SP,1/ps,risk_on,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,-0.00407,0.13101,-0.0311,-0.376,146,0.4521,166.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),neutral,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.01927,0.14818,0.1301,3.66,792,0.5644,867.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),overall,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.01892,0.14416,0.1313,4.341,1094,0.5622,
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),risk_off,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03779,0.14363,0.2631,3.286,156,0.5897,181.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),risk_on,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,-0.00315,0.11809,-0.0267,-0.322,146,0.5205,166.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),neutral,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02632,0.14894,0.1767,4.972,792,0.572,867.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),overall,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02523,0.14656,0.1722,5.695,1094,0.5667,
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),risk_off,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03952,0.15375,0.257,3.21,156,0.5385,181.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),risk_on,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.0041,0.12231,0.0335,0.405,146,0.5685,166.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),neutral,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04215,0.16314,0.2584,7.272,792,0.6086,867.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),overall,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03647,0.15454,0.236,7.805,1094,0.5941,
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),risk_off,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.04485,0.1266,0.3543,4.425,156,0.5897,181.0
A_stock_indicator,f_lm_neglogcmv,规模-流通市值,-log(circ_mv),risk_on,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,-0.00335,0.12594,-0.0266,-0.321,146,0.5205,166.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),neutral,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.02828,0.15571,0.1816,5.112,792,0.5859,867.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),overall,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.0285,0.15192,0.1876,6.205,1094,0.585,
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),risk_off,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.05319,0.14533,0.3659,4.571,156,0.6346,181.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),risk_on,5,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.00332,0.13358,0.0249,0.301,146,0.5274,166.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),neutral,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03946,0.15823,0.2494,7.019,792,0.6124,867.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),overall,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.03854,0.15631,0.2465,8.154,1094,0.6188,
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),risk_off,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.06135,0.15406,0.3982,4.974,156,0.6859,181.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),risk_on,10,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.00913,0.14417,0.0633,0.765,146,0.5822,166.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),neutral,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.06051,0.17187,0.352,9.908,792,0.6705,867.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),overall,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.05456,0.1657,0.3292,10.89,1094,0.6654,
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),risk_off,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,0.07778,0.13549,0.5741,7.17,156,0.7692,181.0
A_stock_indicator,f_size_neglogtmv,FCT-LIQ-053 大市值偏好(反向),-log(total_mv),risk_on,20,2019-01-01~2023-12-31,IS 与 F2 对齐；size/liquidity 为风格代理探针,-0.00255,0.14876,-0.0171,-0.207,146,0.5274,166.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",neutral,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00211,0.05828,-0.0363,-1.021,792,0.4684,867.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",overall,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00017,0.05973,0.0028,0.091,1094,0.4899,
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",risk_off,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00711,0.06668,0.1066,1.332,156,0.5513,181.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",risk_on,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00511,0.05921,0.0864,1.044,146,0.5411,166.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",neutral,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00095,0.06017,-0.0158,-0.443,792,0.4861,867.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",overall,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00081,0.06037,0.0134,0.443,1094,0.4936,
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",risk_off,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00802,0.06943,0.1155,1.443,156,0.5128,181.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",risk_on,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00263,0.04988,0.0527,0.637,146,0.5137,166.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",neutral,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00302,0.06361,-0.0475,-1.338,792,0.4848,867.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",overall,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.0013,0.06215,-0.0209,-0.691,1094,0.4899,
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",risk_off,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.01044,0.06808,0.1533,1.915,156,0.5192,181.0
B1_consensus_plain_counts,f_exp003_rating_breadth,FCT-EXP-003 修正广度代理,"(n_buy+n_add)/n_orgs,计数类真实",risk_on,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00448,0.04373,-0.1024,-1.238,146,0.4863,166.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",neutral,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00329,0.10834,0.0304,0.855,792,0.4773,867.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",overall,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00023,0.10696,-0.0021,-0.07,1094,0.4634,
