entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-FQ-004,ROE季度同比差,quality,f_fq004_roeq_yoy_chg,1,fundamental,代理=roe_q-上年同期 roe_q（原式 4*np_q/equity 近似）,5,0.01353,0.2047,6.772,1094,0.5978,0.02711,0.5144,6.216,166.0,-0.00057,-0.0079,-0.099,181.0,0.01381,0.2075,5.838,867.0
FCT-FQ-004,ROE季度同比差,quality,f_fq004_roeq_yoy_chg,1,fundamental,代理=roe_q-上年同期 roe_q（原式 4*np_q/equity 近似）,10,0.01584,0.2218,7.335,1094,0.606,0.03857,0.805,9.727,166.0,-0.00429,-0.0549,-0.686,181.0,0.01562,0.2153,6.06,867.0
FCT-FQ-004,ROE季度同比差,quality,f_fq004_roeq_yoy_chg,1,fundamental,代理=roe_q-上年同期 roe_q（原式 4*np_q/equity 近似）,20,0.019,0.251,8.303,1094,0.5905,0.04835,0.8261,9.981,166.0,0.00503,0.0723,0.903,181.0,0.01635,0.2086,5.872,867.0
FCT-GR-001,营收同比,momentum,f_gr001_rev_yoy,1,fundamental,revenue_yoy（announce_date PIT）,5,0.00232,0.0277,0.917,1094,0.5165,0.01195,0.1553,1.877,166.0,-0.01054,-0.1126,-1.406,181.0,0.00308,0.0372,1.048,867.0
FCT-GR-001,营收同比,momentum,f_gr001_rev_yoy,1,fundamental,revenue_yoy（announce_date PIT）,10,0.00134,0.0149,0.492,1094,0.5128,0.02236,0.2671,3.227,166.0,-0.01977,-0.2017,-2.519,181.0,0.00162,0.0183,0.515,867.0
FCT-GR-001,营收同比,momentum,f_gr001_rev_yoy,1,fundamental,revenue_yoy（announce_date PIT）,20,0.00025,0.0026,0.086,1094,0.4881,0.0367,0.4037,4.878,166.0,-0.02774,-0.2894,-3.614,181.0,-0.00095,-0.0097,-0.272,867.0
FCT-GR-002,净利环比,momentum,f_gr002_np_yoy,1,fundamental,"代理=net_profit_yoy（原式 qoq,偏离登记）",5,0.00672,0.0835,2.762,1094,0.5402,0.0188,0.2895,3.498,166.0,-0.00739,-0.0805,-1.005,181.0,0.00727,0.0905,2.547,867.0
FCT-GR-002,净利环比,momentum,f_gr002_np_yoy,1,fundamental,"代理=net_profit_yoy（原式 qoq,偏离登记）",10,0.00643,0.0742,2.456,1094,0.5366,0.0277,0.444,5.365,166.0,-0.01305,-0.137,-1.711,181.0,0.00634,0.0722,2.033,867.0
FCT-GR-002,净利环比,momentum,f_gr002_np_yoy,1,fundamental,"代理=net_profit_yoy（原式 qoq,偏离登记）",20,0.00646,0.069,2.283,1094,0.5055,0.04075,0.5352,6.467,166.0,-0.01291,-0.1509,-1.885,181.0,0.00395,0.0409,1.152,867.0
FCT-LIQ-024,底部量能节奏,liquidity,f_liq024_neg_vol_dryup,1,kline,-(5日量/60日量)（缩量代理）,5,0.04317,0.4147,13.717,1094,0.6572,0.0358,0.368,4.446,166.0,0.06763,0.52,6.495,181.0,0.03971,0.4015,11.299,867.0
FCT-LIQ-024,底部量能节奏,liquidity,f_liq024_neg_vol_dryup,1,kline,-(5日量/60日量)（缩量代理）,10,0.04372,0.4269,14.12,1094,0.6782,0.03541,0.3337,4.032,166.0,0.06766,0.5271,6.583,181.0,0.04054,0.4258,11.982,867.0
FCT-LIQ-024,底部量能节奏,liquidity,f_liq024_neg_vol_dryup,1,kline,-(5日量/60日量)（缩量代理）,20,0.04806,0.4564,15.095,1094,0.6664,0.03097,0.2778,3.357,166.0,0.06595,0.5609,7.006,181.0,0.04769,0.4717,13.275,867.0
FCT-LIQ-025,地量,liquidity,f_liq025_neg_diliang,1,kline,-(量/120日最大量)（地量=低分位）,5,0.05822,0.5794,19.165,1094,0.7358,0.03718,0.4384,5.298,166.0,0.08857,0.7375,9.211,181.0,0.05612,0.5746,16.171,867.0
FCT-LIQ-025,地量,liquidity,f_liq025_neg_diliang,1,kline,-(量/120日最大量)（地量=低分位）,10,0.06128,0.6008,19.871,1094,0.7486,0.02485,0.2754,3.328,166.0,0.09484,0.7721,9.644,181.0,0.06139,0.6311,17.76,867.0
FCT-LIQ-025,地量,liquidity,f_liq025_neg_diliang,1,kline,-(量/120日最大量)（地量=低分位）,20,0.06921,0.6331,20.941,1094,0.7468,0.02061,0.1998,2.414,166.0,0.09715,0.8347,10.426,181.0,0.07267,0.6834,19.233,867.0
FCT-LIQ-029,天量换手筹码出尽,liquidity,f_liq029_tov_spike,-1,kline,换手/250日最大换手（dir=-1）,5,,,,0,,,,,166.0,,,,181.0,,,,867.0
FCT-LIQ-029,天量换手筹码出尽,liquidity,f_liq029_tov_spike,-1,kline,换手/250日最大换手（dir=-1）,10,,,,0,,,,,166.0,,,,181.0,,,,867.0
FCT-LIQ-029,天量换手筹码出尽,liquidity,f_liq029_tov_spike,-1,kline,换手/250日最大换手（dir=-1）,20,,,,0,,,,,166.0,,,,181.0,,,,867.0
FCT-LIQ-030,换手率分位/活跃度,liquidity,f_liq030_tov_ratio5,1,kline,换手/5日均换手,5,-0.0353,-0.2075,-2.366,130,0.4538,-0.0848,-0.3521,-1.535,166.0,,,,181.0,-0.02683,-0.1734,-1.827,867.0
FCT-LIQ-030,换手率分位/活跃度,liquidity,f_liq030_tov_ratio5,1,kline,换手/5日均换手,10,-0.00829,-0.0447,-0.482,116,0.4741,-0.05653,-0.2368,-1.032,166.0,,,,181.0,0.00116,0.0067,0.066,867.0
FCT-LIQ-030,换手率分位/活跃度,liquidity,f_liq030_tov_ratio5,1,kline,换手/5日均换手,20,-0.00212,-0.0095,-0.087,85,0.4706,-0.06361,-0.2335,-0.963,166.0,,,,181.0,0.01325,0.0631,0.521,867.0
FCT-LIQ-031,立桩量,liquidity,f_liq031_pillar,1,kline,阳线实体%×5日量比,5,-0.03373,-0.3374,-11.158,1094,0.3592,-0.03411,-0.3869,-4.675,166.0,-0.03076,-0.2713,-3.388,181.0,-0.03424,-0.3447,-9.702,867.0
FCT-LIQ-031,立桩量,liquidity,f_liq031_pillar,1,kline,阳线实体%×5日量比,10,-0.03165,-0.3226,-10.669,1094,0.3702,-0.02637,-0.2848,-3.441,166.0,-0.03327,-0.3127,-3.906,181.0,-0.0323,-0.3313,-9.324,867.0
FCT-LIQ-031,立桩量,liquidity,f_liq031_pillar,1,kline,阳线实体%×5日量比,20,-0.03078,-0.3191,-10.556,1094,0.3638,-0.02701,-0.2706,-3.269,166.0,-0.03231,-0.3098,-3.87,181.0,-0.03118,-0.3306,-9.304,867.0
