factor,h,window,grp,n_days,ic_mean,ic_std,ic_ir,t_stat,avg_n,pos_share,avg_base_width,prior_coverage
ac,5,IS,total,690,-0.012324825420812795,0.10922226177663004,-0.11284169747389265,-2.964108904083108,4597.814492753623,0.4623188405797101,4673.527536231884,none
ac,5,IS,LOW,280,-0.011462143344306983,0.1043638510297414,-0.1098286737334034,-1.8377852215998323,4675.289285714286,0.475,4738.15,none
ac,5,IS,MID,253,0.005265358521779023,0.1089590916142406,0.048324177852184465,0.768643102985812,4554.04347826087,0.5533596837944664,4656.881422924901,none
ac,5,IS,HIGH,157,-0.04220933191060488,0.11237933040998647,-0.3755969336764618,-4.706216089831,4530.178343949045,0.2929936305732484,4585.101910828025,none
ac,5,OOS,total,654,-0.016010029622687466,0.15194442488800106,-0.10536766738554924,-2.6946120028675216,5174.567278287462,0.44036697247706424,5348.909785932722,none
ac,5,OOS,LOW,167,-0.031808025937893045,0.11358855334700337,-0.28002844477402783,-3.6187650228203054,5123.976047904192,0.32934131736526945,5329.209580838324,none
ac,5,OOS,MID,249,-0.01236066032885851,0.12987242157692083,-0.09517540505347041,-1.501842559673266,5112.128514056225,0.4819277108433735,5359.44578313253,none
ac,5,OOS,HIGH,238,-0.00874291857026763,0.19152450552759867,-0.04564908571977896,-0.7042397946994412,5275.390756302521,0.47478991596638653,5351.710084033613,none
ac,10,IS,total,690,-0.011447144787572378,0.10980252562171583,-0.10425210825304056,-2.7384788536504248,4524.94347826087,0.4623188405797101,4673.527536231884,none
ac,10,IS,LOW,280,-0.006572945668931931,0.09753752075944983,-0.06738889421992118,-1.1276318805228254,4614.132142857143,0.4785714285714286,4738.15,none
ac,10,IS,MID,253,-0.013523963818916967,0.11118866314142768,-0.1216307799448493,-1.934655989417257,4460.462450592885,0.4782608695652174,4656.881422924901,none
ac,10,IS,HIGH,157,-0.016793262865847185,0.12722436434401393,-0.1319972235855571,-1.6539204709974424,4469.789808917198,0.40764331210191085,4585.101910828025,none
ac,10,OOS,total,649,-0.02156902394963126,0.14025610668475805,-0.15378313614615124,-3.917698964054251,5108.187981510016,0.4714946070878274,5348.050847457627,none
ac,10,OOS,LOW,167,-0.042815921704097266,0.10305676554180616,-0.4154595914106046,-5.3689211430115185,4928.934131736527,0.3532934131736527,5329.209580838324,none
ac,10,OOS,MID,244,-0.015968856247829954,0.12516951772961743,-0.12757783634131098,-1.9928295098751925,5141.672131147541,0.5040983606557377,5357.377049180328,none
ac,10,OOS,HIGH,238,-0.012401834849814851,0.17276667169738577,-0.07178372268198595,-1.1074253367230023,5199.638655462185,0.5210084033613446,5351.710084033613,none
ac,20,IS,total,690,-0.012086411165148882,0.10706921409485712,-0.11288409340934381,-2.9652225542016453,4380.234782608695,0.4623188405797101,4673.527536231884,none
ac,20,IS,LOW,280,-0.010028405837648899,0.09768918952484892,-0.10265624974908817,-1.7177676127792159,4489.439285714286,0.45357142857142857,4738.15,none
