col,prior_coverage,norm_class,window,bucket,horizon,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,median_xsec_n
garman_klass_20,none,PX2,IS,overall,5,0.03573,0.17026,0.2099,5.584,708,0.5523,4581
garman_klass_20,none,PX2,IS,overall,10,0.05197,0.17152,0.303,8.062,708,0.6144,4581
garman_klass_20,none,PX2,IS,overall,20,0.06997,0.1689,0.4143,11.023,708,0.6511,4581
garman_klass_20,none,PX2,IS,vol_high,5,0.05762,0.176,0.3274,4.179,163,0.6074,4581
garman_klass_20,none,PX2,IS,vol_high,10,0.07879,0.18457,0.4269,5.45,163,0.6687,4581
garman_klass_20,none,PX2,IS,vol_high,20,0.06841,0.18755,0.3647,4.657,163,0.5828,4581
garman_klass_20,none,PX2,IS,vol_low,5,0.01021,0.16436,0.0621,1.024,272,0.4816,4581
garman_klass_20,none,PX2,IS,vol_low,10,0.03433,0.16328,0.2102,3.467,272,0.5956,4581
garman_klass_20,none,PX2,IS,vol_low,20,0.06746,0.14969,0.4507,7.432,272,0.7022,4581
garman_klass_20,none,PX2,IS,vol_mid,5,0.0481,0.16998,0.2829,4.675,273,0.5897,4581
garman_klass_20,none,PX2,IS,vol_mid,10,0.05353,0.16992,0.315,5.205,273,0.6007,4581
garman_klass_20,none,PX2,IS,vol_mid,20,0.07341,0.17565,0.4179,6.905,273,0.641,4581
garman_klass_20,none,PX2,OOS,overall,5,0.01357,0.17751,0.0764,1.941,645,0.538,4581
garman_klass_20,none,PX2,OOS,overall,10,0.01657,0.18899,0.0877,2.227,645,0.5442,4581
garman_klass_20,none,PX2,OOS,overall,20,0.01605,0.19285,0.0832,2.104,639,0.5352,4581
garman_klass_20,none,PX2,OOS,vol_high,5,0.02267,0.20435,0.111,1.712,238,0.5588,4581
garman_klass_20,none,PX2,OOS,vol_high,10,0.0316,0.21589,0.1464,2.258,238,0.5504,4581
garman_klass_20,none,PX2,OOS,vol_high,20,0.05681,0.2158,0.2632,4.044,236,0.6441,4581
garman_klass_20,none,PX2,OOS,vol_low,5,-0.00185,0.17672,-0.0105,-0.134,164,0.4756,4581
garman_klass_20,none,PX2,OOS,vol_low,10,-0.01786,0.193,-0.0926,-1.185,164,0.4451,4581
