rank_h10_is,column_name,prior_coverage,f_entry_id,factor_nature,horizon,window,bucket,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,n_days_bucket,top10_pool
1,parkinson_20,none,,vol_est,5,IS,overall,-0.08814,0.15761,-0.5592,-14.879,708,0.298,,y
1,parkinson_20,none,,vol_est,5,IS,vol_high,-0.10188,0.15143,-0.6728,-8.616,164,0.2561,164.0,y
1,parkinson_20,none,,vol_est,5,IS,vol_low,-0.0868,0.16321,-0.5318,-8.771,272,0.2978,274.0,y
1,parkinson_20,none,,vol_est,5,IS,vol_mid,-0.08118,0.15561,-0.5217,-8.604,272,0.3235,289.0,y
1,parkinson_20,none,,vol_est,5,OOS,overall,-0.06994,0.23265,-0.3006,-7.635,645,0.3612,,y
1,parkinson_20,none,,vol_est,5,OOS,vol_high,-0.04093,0.29196,-0.1402,-2.186,243,0.428,243.0,y
1,parkinson_20,none,,vol_est,5,OOS,vol_low,-0.10251,0.16932,-0.6054,-7.753,164,0.2561,168.0,y
1,parkinson_20,none,,vol_est,5,OOS,vol_mid,-0.0771,0.19664,-0.3921,-6.049,238,0.3655,248.0,y
1,parkinson_20,none,,vol_est,10,IS,overall,-0.10364,0.1618,-0.6405,-17.043,708,0.2768,,y
1,parkinson_20,none,,vol_est,10,IS,vol_high,-0.13313,0.14127,-0.9423,-12.068,164,0.1646,164.0,y
1,parkinson_20,none,,vol_est,10,IS,vol_low,-0.10773,0.15652,-0.6883,-11.351,272,0.2831,274.0,y
1,parkinson_20,none,,vol_est,10,IS,vol_mid,-0.08178,0.17543,-0.4662,-7.688,272,0.3382,289.0,y
1,parkinson_20,none,,vol_est,10,OOS,overall,-0.0737,0.23218,-0.3174,-8.061,645,0.3597,,y
1,parkinson_20,none,,vol_est,10,OOS,vol_high,-0.03329,0.29279,-0.1137,-1.772,243,0.5103,243.0,y
1,parkinson_20,none,,vol_est,10,OOS,vol_low,-0.09106,0.16113,-0.5651,-7.237,164,0.2317,168.0,y
1,parkinson_20,none,,vol_est,10,OOS,vol_mid,-0.10299,0.19583,-0.5259,-8.113,238,0.2941,248.0,y
1,parkinson_20,none,,vol_est,20,IS,overall,-0.12553,0.16984,-0.7391,-19.666,708,0.2528,,y
1,parkinson_20,none,,vol_est,20,IS,vol_high,-0.15544,0.13192,-1.1783,-15.09,164,0.0976,164.0,y
1,parkinson_20,none,,vol_est,20,IS,vol_low,-0.14517,0.16955,-0.8562,-14.121,272,0.2279,274.0,y
1,parkinson_20,none,,vol_est,20,IS,vol_mid,-0.08786,0.18355,-0.4787,-7.895,272,0.3713,289.0,y
1,parkinson_20,none,,vol_est,20,OOS,overall,-0.08121,0.23288,-0.3487,-8.815,639,0.3318,,y
1,parkinson_20,none,,vol_est,20,OOS,vol_high,-0.07693,0.28455,-0.2704,-4.197,241,0.4025,243.0,y
1,parkinson_20,none,,vol_est,20,OOS,vol_low,-0.06296,0.16581,-0.3797,-4.863,164,0.2683,168.0,y
1,parkinson_20,none,,vol_est,20,OOS,vol_mid,-0.09841,0.21288,-0.4623,-7.072,234,0.3034,248.0,y
2,yang_zhang_20,none,,vol_est,5,IS,overall,-0.08001,0.14756,-0.5422,-14.417,707,0.3069,,y
2,yang_zhang_20,none,,vol_est,5,IS,vol_high,-0.0873,0.14232,-0.6134,-7.855,164,0.2744,164.0,y
2,yang_zhang_20,none,,vol_est,5,IS,vol_low,-0.08384,0.15561,-0.5388,-8.885,272,0.3015,274.0,y
2,yang_zhang_20,none,,vol_est,5,IS,vol_mid,-0.07176,0.14244,-0.5038,-8.293,271,0.3321,289.0,y
2,yang_zhang_20,none,,vol_est,5,OOS,overall,-0.0675,0.22658,-0.2979,-7.566,645,0.355,,y
2,yang_zhang_20,none,,vol_est,5,OOS,vol_high,-0.03851,0.28665,-0.1344,-2.094,243,0.4403,243.0,y
2,yang_zhang_20,none,,vol_est,5,OOS,vol_low,-0.1046,0.15569,-0.6718,-8.604,164,0.2134,168.0,y
2,yang_zhang_20,none,,vol_est,5,OOS,vol_mid,-0.07152,0.1926,-0.3713,-5.729,238,0.3655,248.0,y
2,yang_zhang_20,none,,vol_est,10,IS,overall,-0.09439,0.14955,-0.6311,-16.782,707,0.29,,y
2,yang_zhang_20,none,,vol_est,10,IS,vol_high,-0.11471,0.13368,-0.8581,-10.99,164,0.1951,164.0,y
2,yang_zhang_20,none,,vol_est,10,IS,vol_low,-0.10392,0.14616,-0.7111,-11.727,272,0.2831,274.0,y
2,yang_zhang_20,none,,vol_est,10,IS,vol_mid,-0.07251,0.15946,-0.4547,-7.486,271,0.3542,289.0,y
2,yang_zhang_20,none,,vol_est,10,OOS,overall,-0.07049,0.22288,-0.3163,-8.033,645,0.3566,,y
2,yang_zhang_20,none,,vol_est,10,OOS,vol_high,-0.02845,0.28066,-0.1014,-1.58,243,0.5021,243.0,y
2,yang_zhang_20,none,,vol_est,10,OOS,vol_low,-0.09347,0.14902,-0.6272,-8.032,164,0.2195,168.0,y
2,yang_zhang_20,none,,vol_est,10,OOS,vol_mid,-0.0976,0.19069,-0.5118,-7.896,238,0.3025,248.0,y
2,yang_zhang_20,none,,vol_est,20,IS,overall,-0.11364,0.15647,-0.7263,-19.311,707,0.2574,,y
2,yang_zhang_20,none,,vol_est,20,IS,vol_high,-0.13554,0.12222,-1.109,-14.202,164,0.1159,164.0,y
2,yang_zhang_20,none,,vol_est,20,IS,vol_low,-0.1368,0.15834,-0.864,-14.249,272,0.2316,274.0,y
2,yang_zhang_20,none,,vol_est,20,IS,vol_mid,-0.07714,0.16635,-0.4638,-7.634,271,0.369,289.0,y
2,yang_zhang_20,none,,vol_est,20,OOS,overall,-0.0786,0.22397,-0.3509,-8.871,639,0.3427,,y
2,yang_zhang_20,none,,vol_est,20,OOS,vol_high,-0.07048,0.27131,-0.2598,-4.033,241,0.4066,243.0,y
2,yang_zhang_20,none,,vol_est,20,OOS,vol_low,-0.06689,0.1556,-0.4299,-5.506,164,0.2683,168.0,y
2,yang_zhang_20,none,,vol_est,20,OOS,vol_mid,-0.09516,0.21014,-0.4528,-6.927,234,0.3291,248.0,y
3,rogers_satchell_20,none,,vol_est,5,IS,overall,-0.07965,0.14969,-0.5321,-14.158,708,0.3093,,y
3,rogers_satchell_20,none,,vol_est,5,IS,vol_high,-0.08613,0.14352,-0.6001,-7.685,164,0.2805,164.0,y
3,rogers_satchell_20,none,,vol_est,5,IS,vol_low,-0.08192,0.15643,-0.5237,-8.637,272,0.3125,274.0,y
3,rogers_satchell_20,none,,vol_est,5,IS,vol_mid,-0.07347,0.14672,-0.5008,-8.259,272,0.3235,289.0,y
3,rogers_satchell_20,none,,vol_est,5,OOS,overall,-0.07024,0.22087,-0.318,-8.076,645,0.3519,,y
3,rogers_satchell_20,none,,vol_est,5,OOS,vol_high,-0.04494,0.27493,-0.1635,-2.548,243,0.4239,243.0,y
3,rogers_satchell_20,none,,vol_est,5,OOS,vol_low,-0.1034,0.15962,-0.6478,-8.296,164,0.2134,168.0,y
3,rogers_satchell_20,none,,vol_est,5,OOS,vol_mid,-0.07321,0.19086,-0.3836,-5.918,238,0.3739,248.0,y
3,rogers_satchell_20,none,,vol_est,10,IS,overall,-0.09384,0.1529,-0.6137,-16.331,708,0.2994,,y
3,rogers_satchell_20,none,,vol_est,10,IS,vol_high,-0.11409,0.13567,-0.841,-10.77,164,0.2134,164.0,y
3,rogers_satchell_20,none,,vol_est,10,IS,vol_low,-0.10166,0.1481,-0.6864,-11.32,272,0.2794,274.0,y
3,rogers_satchell_20,none,,vol_est,10,IS,vol_mid,-0.07382,0.16516,-0.447,-7.372,272,0.3713,289.0,y
3,rogers_satchell_20,none,,vol_est,10,OOS,overall,-0.07365,0.21963,-0.3353,-8.517,645,0.3535,,y
3,rogers_satchell_20,none,,vol_est,10,OOS,vol_high,-0.03718,0.27415,-0.1356,-2.114,243,0.4897,243.0,y
3,rogers_satchell_20,none,,vol_est,10,OOS,vol_low,-0.09099,0.15129,-0.6015,-7.702,164,0.2195,168.0,y
3,rogers_satchell_20,none,,vol_est,10,OOS,vol_mid,-0.09894,0.19071,-0.5188,-8.004,238,0.3067,248.0,y
3,rogers_satchell_20,none,,vol_est,20,IS,overall,-0.11339,0.1596,-0.7105,-18.904,708,0.2641,,y
3,rogers_satchell_20,none,,vol_est,20,IS,vol_high,-0.13432,0.12409,-1.0825,-13.862,164,0.1341,164.0,y
3,rogers_satchell_20,none,,vol_est,20,IS,vol_low,-0.13407,0.16185,-0.8284,-13.662,272,0.2463,274.0,y
3,rogers_satchell_20,none,,vol_est,20,IS,vol_mid,-0.08009,0.17084,-0.4688,-7.731,272,0.3603,289.0,y
3,rogers_satchell_20,none,,vol_est,20,OOS,overall,-0.08132,0.22023,-0.3692,-9.334,639,0.3396,,y
3,rogers_satchell_20,none,,vol_est,20,OOS,vol_high,-0.0793,0.26333,-0.3011,-4.675,241,0.4025,243.0,y
3,rogers_satchell_20,none,,vol_est,20,OOS,vol_low,-0.0645,0.15773,-0.4089,-5.236,164,0.2744,168.0,y
3,rogers_satchell_20,none,,vol_est,20,OOS,vol_mid,-0.09519,0.20877,-0.456,-6.975,234,0.3205,248.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,overall,-0.04843,0.10838,-0.4468,-12.039,726,0.3402,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,vol_high,-0.04947,0.09858,-0.5019,-6.427,164,0.3415,164.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,vol_low,-0.04955,0.10983,-0.4512,-7.455,273,0.3297,274.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,IS,vol_mid,-0.04677,0.11258,-0.4154,-7.062,289,0.3495,289.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,overall,-0.03298,0.12385,-0.2663,-6.81,654,0.3716,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,vol_high,-0.02625,0.14522,-0.1808,-2.818,243,0.3951,243.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,vol_low,-0.03493,0.09314,-0.375,-4.802,164,0.3537,168.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,5,OOS,vol_mid,-0.0383,0.11895,-0.322,-5.061,247,0.3603,248.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,overall,-0.05971,0.10356,-0.5766,-15.535,726,0.2837,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,vol_high,-0.06717,0.09255,-0.7258,-9.295,164,0.25,164.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,vol_low,-0.05944,0.09988,-0.5952,-9.834,273,0.2454,274.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,IS,vol_mid,-0.05572,0.11261,-0.4948,-8.412,289,0.3391,289.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,overall,-0.03519,0.12226,-0.2879,-7.333,649,0.3867,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,vol_high,-0.02402,0.14539,-0.1652,-2.576,243,0.4568,243.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,vol_low,-0.02944,0.08521,-0.3455,-4.424,164,0.3537,168.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,10,OOS,vol_mid,-0.05031,0.11694,-0.4302,-6.693,242,0.3388,248.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,overall,-0.07403,0.10152,-0.7292,-19.648,726,0.2438,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,vol_high,-0.08563,0.08727,-0.9812,-12.565,164,0.1402,164.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,vol_low,-0.07416,0.10372,-0.715,-11.814,273,0.2747,274.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,IS,vol_mid,-0.06732,0.10655,-0.6318,-10.741,289,0.2734,289.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,overall,-0.04071,0.11923,-0.3415,-8.632,639,0.3599,,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,vol_high,-0.04158,0.13565,-0.3065,-4.758,241,0.3817,243.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,vol_low,-0.02226,0.08919,-0.2496,-3.197,164,0.3476,168.0,y
4,pvi,l1_pending,IND-VOLUME-013 PVI,cum_integral,20,OOS,vol_mid,-0.05276,0.1184,-0.4456,-6.816,234,0.3462,248.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,overall,-0.03904,0.09942,-0.3926,-10.579,726,0.3512,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,vol_high,-0.03678,0.08907,-0.4129,-5.287,164,0.3537,164.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,vol_low,-0.03752,0.09863,-0.3804,-6.285,273,0.3553,274.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,IS,vol_mid,-0.04175,0.1058,-0.3946,-6.709,289,0.346,289.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,overall,-0.03359,0.10834,-0.31,-7.928,654,0.3639,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,vol_high,-0.04445,0.11576,-0.384,-5.986,243,0.3333,243.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,vol_low,-0.01878,0.10027,-0.1873,-2.398,164,0.4085,168.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,5,OOS,vol_mid,-0.03274,0.10512,-0.3114,-4.894,247,0.3644,248.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,IS,overall,-0.04954,0.09283,-0.5336,-14.378,726,0.2934,,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,IS,vol_high,-0.05065,0.07532,-0.6725,-8.612,164,0.2195,164.0,y
5,pvt,l1_pending,IND-VOLUME-006 PVT,cum_integral,10,IS,vol_low,-0.04625,0.09629,-0.4803,-7.936,273,0.3223,274.0,y
