entry_id,entry_name,name,direction,n_events,n5,mean5,med5,win5,std5,ex5,t5,cons5,nyears5,n10,mean10,med10,win10,std10,ex10,t10,cons10,nyears10,n20,mean20,med20,win20,std20,ex20,t20,cons20,nyears20,score,insufficient_power_10,direction_of_edge_10,rank,bdi_neutral_n10,bdi_risk_off_n10,bdi_risk_on_n10,dom_r1_n10,dom_r2_n10,dom_r3_n10,dom_r4_n10,volb_vol_high_n10,volb_vol_low_n10,volb_vol_mid_n10,bdi_neutral_ex10,bdi_risk_off_ex10,bdi_risk_on_ex10,dom_r1_ex10,dom_r2_ex10,dom_r3_ex10,dom_r4_ex10,volb_vol_high_ex10,volb_vol_low_ex10,volb_vol_mid_ex10,prev20_mean,prev20_med,prev20_n,prev20_ex,bl_prev20_mean,data_defect
PAT-CANDLE-077,Tower Bottom,塔形底,向上,290015,288961,0.0396566042852561,0.0263157894736842,0.730752592910462,0.0794617868266426,0.0378701196096373,250.91639006629543,1.0,6,287664,0.0394038426602012,0.026189956558791,0.6549550864897936,0.1128086783164967,0.0360033121798947,167.69855850192516,1.0,6,284404,0.0431546378089591,0.0236970729390422,0.589267380205623,0.1629269201272288,0.0362585570927185,116.29859831869666,1.0,6,167.69855850192516,False,pos,1,238786,37282,11596,53975,83706,46211,103772,207201,40734,39729,0.0380028711960252,0.0244526598573104,0.0309307557192333,0.0357037141619064,0.034495554659192,0.0452774811006669,0.0331785263406881,0.0360832082012647,0.0467508197446935,0.0243939953936651,0.0025329825576444493,-0.009246153846153904,285047,-0.004363098158596122,0.006896080716240571,
PAT-CHART-004,Double Bottom,双底,向上,575266,573079,0.0246981357103785,0.0165779778960295,0.6454415534332962,0.0706011321971126,0.0229116510347597,233.53092838097365,1.0,6,570677,0.0257177886361015,0.0158597662771284,0.59546468492685,0.10280508075134,0.022317258155795,156.35337458495167,1.0,6,564427,0.0293628929083437,0.0127931769722813,0.5501933819608205,0.1506405280331615,0.0224668121921032,107.02154591202144,1.0,6,156.35337458495167,False,pos,2,429843,104540,36294,70698,317450,119217,63312,225684,77847,267146,0.0224548824301232,0.0233355847326428,0.0175358655635145,0.0090769744176022,0.0258274014126651,0.013138007724741,0.0368964421705863,0.0216724769463693,0.0130172668336181,0.0255378559573624,-0.01700734164688677,-0.02098579944748702,574195,-0.02390342236312734,0.006896080716240571,
PAT-CANDLE-014,Marubozu,CDLMARUBOZU,向上,136709,136193,0.0091545211756394,0.0010626992561106,0.5042109359511869,0.092720586908604,0.0073680365000206,29.11285839146055,1.0,6,135757,0.0115188813251663,0.0033670033670032,0.5153030782943052,0.1221495455195898,0.0081183508448599,24.28428010560018,1.0,6,134429,0.0156404646485103,0.0012368583797155,0.5025775688281546,0.1707817575141899,0.0087443839322698,18.60800894068517,1.0,6,24.28428010560018,False,pos,3,106716,21751,7290,18602,40469,56358,20328,49542,46863,39352,0.0081558324838948,0.0133537231787649,-0.0085306287138257,-0.00680967621495,-0.0024185210810096,0.0159408243260687,0.0211555470730547,0.0036285401244301,0.0155273719945101,0.0050106801299152,0.04950902824972111,0.018436580265748237,135378,0.042612947533480536,0.006896080716240571,
PAT-CANDLE-063,A-Share Limit-Up Flat,一字涨停板,向上,6067,6054,0.0932035633382779,0.0265632603406325,0.5515361744301288,0.2746135901099377,0.091417078662659,25.90063129178632,1.0,6,6033,0.0955919035881163,-0.0068807339449541,0.4831758660699486,0.3842307305372138,0.0921913731078098,18.635815467491483,1.0,6,5974,0.0907287720830384,-0.0296134365227873,0.4454301975225979,0.4804560874154938,0.0838326913667978,13.485610070099971,1.0,6,18.635815467491483,False,pos,4,5061,593,379,788,1985,1648,1612,3173,1376,1484,0.0943650689498919,0.0938965239827842,0.0598248325347901,0.1225556917089635,0.0755255745023223,0.1295537395218126,0.0596802047814336,0.0819681846184214,0.1410510714297776,0.0687264865303987,0.3746633145260633,0.29587155963302747,5455,0.3677672338098227,0.006896080716240571,
PAT-CANDLE-019,Belt Hold,CDLBELTHOLD,向上,478735,476491,0.00438322864654,-0.0016181229773462,0.4821182351817767,0.0835752083624195,0.0025967439709212,20.7995342648524,0.8333333333333334,6,474991,0.0063702749869055,-0.0015898251192368,0.4881987237652924,0.1146913492480018,0.0029697445065991,17.27675101711328,1.0,6,470000,0.0104829861207249,-0.0046302996194457,0.4806787234042553,0.1653422839782104,0.0035869054044844,14.401731594517557,1.0,6,17.27675101711328,False,pos,5,247799,177257,49935,116094,172332,111730,74835,215329,85483,174179,0.0042320671909868,-5.484389693580271e-05,0.0080775670006263,0.0101668244199101,0.0021282039812948,-0.0018067970945246,0.0007280728956399,0.0053656087617096,-0.0027198430550335,0.0027713387804915,0.043680986972615014,0.021251475796930208,474230,0.03678490625637444,0.006896080716240571,
PAT-CANDLE-009,Shooting Star,CDLSHOOTINGSTAR,向下,46128,45864,0.0110585480029145,0.0029101495302367,0.5202337345194488,0.0856966124202365,0.0092720633272957,23.104374687669825,0.8333333333333334,6,45785,0.013850257455265,0.0032358399814074,0.514622693021732,0.117992764919931,0.0104497269749585,18.89258860469648,0.8333333333333334,6,45404,0.0236022373567546,0.0046123985790289,0.5144480662496697,0.1719225591120941,0.016706156640514,20.644543050036894,0.8333333333333334,6,12.595059069797651,False,pos,6,36359,4069,5357,6745,12441,20285,6314,17003,15469,13313,0.0107514791360079,-0.0023535699541328,0.0179403825940061,0.0241301990375474,0.0117040135902889,0.0076115881432269,0.0025692679719123,0.0179759894238189,0.0030890755346545,0.0094483066229999,0.009387470670254531,-0.009223029625489043,45671,0.00249138995401396,0.006896080716240571,
PAT-CANDLE-024,Doji Star,CDLDOJISTAR,向下,51789,51610,0.007863248363475,0.0,0.495931021119938,0.0962700493922575,0.0060767636878562,14.303066053418318,1.0,6,51445,0.0100594277520909,0.0009398496240602,0.5026144426086111,0.1240580380892011,0.0066588972717845,12.136896780724587,1.0,6,50947,0.0178496625955052,0.0002551020408163,0.5003631224605963,0.1792194763251803,0.0109535818792646,13.753177784529084,1.0,6,12.136896780724587,False,pos,7,33784,5179,12482,9338,14344,14868,12895,23123,12774,15548,0.002615017245176,0.0183161569693991,0.0129184072398642,0.0036590534513771,0.005507818203702,0.0115213593615146,0.0044636543577968,0.0051472248124359,0.0133156324285404,0.0034395649336069,0.06380944836271579,0.0289735099337749,51511,0.05691336764647522,0.006896080716240571,
PAT-CANDLE-015,Closing Marubozu,CDLCLOSINGMARUBOZU,向下,508128,506078,0.002382691221289,0.0,0.4926216907275163,0.0778323356685549,0.0005962065456702,5.249720828251981,0.5,6,503917,0.0061821383329611,-0.0009001782531194,0.4916047682455642,0.1095075188184608,0.0027816078526546,17.3677478357488,0.8333333333333334,6,501264,0.011549249589747,-0.0025251256281407,0.488066168725462,0.1537376391873998,0.0046531688735064,20.60125576260273,1.0,6,11.578498557165869,False,pos,8,246640,114846,142431,58484,216133,121588,107712,204744,96389,202784,-0.0007841514119045,0.001018944329722,0.0107171420371292,0.0102905798139053,0.0010046205136573,-0.0039527724017259,0.0099110429052276,0.0107533702289395,0.0004138068127633,-0.0041603373794661,-0.029506281854127448,-0.037859007832898195,501627,-0.03640236257036802,0.006896080716240571,
PAT-CANDLE-015,Closing Marubozu,CDLCLOSINGMARUBOZU,向上,379712,378157,0.0065722285272994,-0.0016891891891891,0.4809748332041982,0.0943623436781218,0.0047857438516806,30.59112708265307,0.8333333333333334,6,376895,0.0068818826268624,-0.0006743088334456,0.4917709176295785,0.1215106004183228,0.0034813521465559,17.187185519893365,0.8333333333333334,6,373352,0.0109092782153506,-0.0042820004060009,0.4819125115172812,0.169484348040649,0.00401319749911,14.118109243061356,0.8333333333333334,6,11.458123679928912,False,pos,9,190648,81033,105214,53898,155548,77763,89686,174620,63081,139194,0.0056976113044605,-0.0038408953157457,0.0054280766015324,0.0117909275093116,0.002230727833886,-0.0071129223284245,0.0098344832348855,0.0118244637695177,-0.0032688134905855,-0.003960879071966,0.05313941439690071,0.021947582580682745,376818,0.04624333368066014,0.006896080716240571,
PAT-CANDLE-042,Advance Block,CDLADVANCEBLOCK,向下,36328,36195,0.0062105173506697,0.0003940594059406,0.5010084265782566,0.0758117349873981,0.0044240326750509,11.06983630415081,0.8333333333333334,6,36122,0.0094657343250169,0.0037928854788787,0.5197386634184153,0.1033711741987324,0.0060652038447105,11.116687677268818,1.0,6,35717,0.0171460895612723,0.0070677451971687,0.5266679732340342,0.151227284603547,0.0102500088450317,12.77099470329491,1.0,6,11.116687677268818,False,pos,10,18895,16035,1192,9775,11689,9748,4910,15871,7206,13045,0.0055315720568456,0.0057442957130093,0.020623034051305,0.0183105573199943,0.0055946512428733,-5.997476879176112e-06,-0.0053416324413031,0.0102811367743247,-0.0012293819892762,0.0049458764277153,0.041391982706493996,0.02693125442948263,36209,0.03449590199025342,0.006896080716240571,
