cell,card,name,direction,trade_sign,window,is_main_window,n_events_total,n_positions,n_clusters,mean_excess_bp_day,ann_ex_sharpe,t_iid,t_nw,pos_years,n_years,yearly_mean_bp,boot_p_one,boot_p_two,survive_conv_tier,survive_4733_tier,med_trade_net_bp,trade_win_rate,top1pct_contribution,verdict,failed_gates
card01_tower_bottom_up,exam_card_01_tower_bottom.md,塔形底,向上,1,5,False,290015,288308,1218,66.625,6.207,13.94,16.36,6,6,2021:66.0(n=81);2022:68.9(n=242);2023:52.9(n=242);2024:74.8(n=242);2025:61.9(n=243);2026:78.1(n=173),0.0,0.0,True,True,241.03,0.716,0.1299,,
card01_tower_bottom_up,exam_card_01_tower_bottom.md,塔形底,向上,1,10,True,290015,287231,1213,30.691,2.89,6.49,8.42,6,6,2021:27.0(n=81);2022:32.6(n=242);2023:24.2(n=242);2024:32.0(n=242);2025:32.1(n=243);2026:34.9(n=173),0.0,0.0,True,True,239.4,0.644,0.1653,PASS,-
card01_tower_bottom_up,exam_card_01_tower_bottom.md,塔形底,向上,1,20,False,290015,283816,1203,14.1,1.344,3.02,3.79,6,6,2021:9.4(n=81);2022:16.0(n=242);2023:8.9(n=242);2024:17.2(n=242);2025:16.8(n=243);2026:12.7(n=173),0.0,0.0,True,True,211.81,0.5805,0.2187,,
card02_double_bottom_up,exam_card_02_double_bottom.md,双底,向上,1,5,False,575266,571479,1211,35.471,3.311,7.44,8.98,6,6,2021:29.6(n=81);2022:38.9(n=242);2023:27.6(n=242);2024:40.9(n=242);2025:33.6(n=243);2026:39.4(n=173),0.0,0.0,True,True,123.2,0.6139,0.1958,,
card02_double_bottom_up,exam_card_02_double_bottom.md,双底,向上,1,10,True,575266,569355,1206,15.011,1.423,3.2,4.15,6,6,2021:11.9(n=81);2022:16.1(n=242);2023:12.2(n=242);2024:16.0(n=242);2025:17.7(n=243);2026:13.6(n=173),0.0,0.0,True,True,116.42,0.5728,0.2551,PASS,-
card02_double_bottom_up,exam_card_02_double_bottom.md,双底,向上,1,20,False,575266,563093,1196,6.565,0.626,1.41,1.77,6,6,2021:3.5(n=81);2022:8.3(n=242);2023:2.8(n=242);2024:9.6(n=242);2025:10.0(n=243);2026:1.8(n=173),0.0,0.0,True,True,82.76,0.5337,0.3218,,
card03_tower_top_short,exam_card_03_tower_top.md,塔形顶,向下,-1,5,False,359009,358078,1218,60.895,4.973,11.17,8.07,6,6,2021:52.7(n=81);2022:77.5(n=242);2023:50.9(n=242);2024:68.5(n=242);2025:35.5(n=243);2026:80.6(n=173),0.0,0.0,True,True,296.68,0.7608,0.0801,,
card03_tower_top_short,exam_card_03_tower_top.md,塔形顶,向下,-1,10,True,359009,355123,1213,26.846,2.368,5.32,3.54,6,6,2021:15.9(n=81);2022:43.0(n=242);2023:25.4(n=242);2024:27.8(n=242);2025:2.7(n=243);2026:44.0(n=173),0.0,0.0,True,True,326.25,0.6852,0.1097,PASS,-
card03_tower_top_short,exam_card_03_tower_top.md,塔形顶,向下,-1,20,False,359009,352479,1203,10.071,0.923,2.07,1.31,4,6,2021:-2.5(n=81);2022:25.5(n=242);2023:13.7(n=242);2024:8.9(n=242);2025:-14.4(n=243);2026:25.2(n=173),0.0,0.0,True,True,368.22,0.6417,0.1444,,
card04_marubozu_up,exam_card_04_marubozu.md,CDLMARUBOZU,向上,1,5,False,136709,135548,1207,-21.651,-2.138,-4.8,-6.63,0,6,2021:-7.7(n=81);2022:-17.6(n=242);2023:-21.1(n=242);2024:-33.1(n=242);2025:-19.5(n=243);2026:-21.8(n=173),1.0,0.0,False,False,-26.79,0.4768,2.4842,,
