strategy_id,bucket,n_days,day_share,mean_daily_net,net_sharpe_bucketed,win_rate
FACT-4db4c41e,LOW,154,0.3821,0.00208755,1.9532,0.5584
FACT-4db4c41e,MID,117,0.2903,0.00067354,0.6691,0.4359
FACT-4db4c41e,HIGH,132,0.3275,0.00428778,2.6783,0.5076
CAND-8d000bf3ccc3,LOW,146,0.3623,0.00248641,2.3291,0.4589
CAND-8d000bf3ccc3,MID,111,0.2754,-0.00104465,-1.6491,0.3514
CAND-8d000bf3ccc3,HIGH,132,0.3275,0.00276596,2.6607,0.5076
FACT-4f749668,LOW,154,0.3821,0.00127338,1.2325,0.526
FACT-4f749668,MID,117,0.2903,0.00018889,0.1869,0.4872
FACT-4f749668,HIGH,132,0.3275,0.00437870,2.8503,0.5
FACT-4228020a,LOW,154,0.3821,0.00117145,1.1534,0.5325
FACT-4228020a,MID,117,0.2903,-0.00002205,-0.0216,0.4444
FACT-4228020a,HIGH,132,0.3275,0.00420814,2.7417,0.5227
FACT-e831084c,LOW,154,0.3821,0.00076142,0.7763,0.4675
FACT-e831084c,MID,117,0.2903,-0.00002597,-0.0242,0.4359
FACT-e831084c,HIGH,132,0.3275,0.00474112,2.7746,0.5227
FACT-e293e217,LOW,154,0.3821,0.00027321,0.2744,0.526
FACT-e293e217,MID,117,0.2903,0.00015867,0.1713,0.4615
FACT-e293e217,HIGH,132,0.3275,0.00462110,3.0306,0.5379
FACT-4b200528,LOW,154,0.3821,0.00108473,0.9537,0.5584
FACT-4b200528,MID,117,0.2903,0.00052019,0.4522,0.4359
FACT-4b200528,HIGH,132,0.3275,0.00381430,2.1620,0.4773
CAND-c4ec6332c07f,LOW,154,0.3821,0.00037701,1.0348,0.3766
CAND-c4ec6332c07f,MID,117,0.2903,0.00027690,0.6903,0.2991
CAND-c4ec6332c07f,HIGH,132,0.3275,0.00068480,1.7642,0.1894
CAND-e3da6fa71af1,LOW,154,0.3821,0.00000000,nan,0.0
CAND-e3da6fa71af1,MID,117,0.2903,0.00034927,0.8236,0.094
CAND-e3da6fa71af1,HIGH,132,0.3275,0.00136874,1.6154,0.1894
CAND-eaddc3f9db4e,LOW,154,0.3821,0.00054083,1.3902,0.3701
CAND-eaddc3f9db4e,MID,117,0.2903,0.00003862,0.1060,0.1453
CAND-eaddc3f9db4e,HIGH,132,0.3275,0.00120207,1.3241,0.2197
CAND-4440d07f973f,LOW,146,0.3623,0.00063019,0.4767,0.226
CAND-4440d07f973f,MID,111,0.2754,0.00119640,0.9442,0.1441
CAND-4440d07f973f,HIGH,132,0.3275,0.00207482,1.3761,0.1439
CAND-d06cab686cef,LOW,154,0.3821,0.00053520,1.4012,0.3571
CAND-d06cab686cef,MID,117,0.2903,0.00007709,0.2073,0.1538
CAND-d06cab686cef,HIGH,132,0.3275,0.00101038,1.1245,0.2121
CAND-29eb91dbaf60,LOW,154,0.3821,0.00015813,0.3336,0.3182
CAND-29eb91dbaf60,MID,117,0.2903,0.00004690,0.0937,0.3504
CAND-29eb91dbaf60,HIGH,132,0.3275,0.00111768,2.2653,0.3712
CAND-a4543012b464,LOW,154,0.3821,0.00505296,2.7200,0.4545
CAND-a4543012b464,MID,117,0.2903,-0.00114622,-0.7320,0.3761
CAND-a4543012b464,HIGH,132,0.3275,-0.00225034,-1.5352,0.2348
CAND-e2e7f033d97c,LOW,154,0.3821,-0.00208367,-1.8819,0.1883
CAND-e2e7f033d97c,MID,117,0.2903,0.00272253,1.3939,0.2137
CAND-e2e7f033d97c,HIGH,132,0.3275,0.00207758,0.9199,0.2879
CAND-bd42540f86e4,LOW,154,0.3821,-0.00067412,-0.9420,0.4675
CAND-bd42540f86e4,MID,117,0.2903,-0.00054023,-0.7508,0.4274
CAND-bd42540f86e4,HIGH,132,0.3275,0.00179495,1.5798,0.5227
CAND-6a6ec8869ddb,LOW,146,0.3623,-0.00170453,-1.1032,0.5068
CAND-6a6ec8869ddb,MID,111,0.2754,-0.00135037,-1.0040,0.4505
CAND-6a6ec8869ddb,HIGH,132,0.3275,0.00382411,1.6703,0.5227
POOLED-17E,LOW,154,0.3821,0.00072293,1.1207,0.513
POOLED-17E,MID,117,0.2903,0.00013261,0.2113,0.453
POOLED-17E,HIGH,132,0.3275,0.00245423,2.4842,0.5379
