trade_date,sensor_score,fwd_ret_1d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,fwd_ret_1d_lag1,fwd_ret_5d_lag1,fwd_ret_10d_lag1,fwd_ret_20d_lag1,window
1991-03-18,-2,-0.003929,-0.020768,-0.031914,-0.047631,-0.004508,-0.020931,-0.024231,-0.047335,exam
1991-03-19,-2,-0.004508,-0.020931,-0.024231,-0.047335,-0.004367,-0.02054,-0.015769,-0.046579,exam
1991-03-20,-2,-0.004367,-0.02054,-0.015769,-0.046579,-0.004061,-0.020387,-0.011371,-0.046053,exam
1991-03-21,-2,-0.004061,-0.020387,-0.011371,-0.046053,-0.004078,-0.019817,-0.008808,-0.04518,exam
1991-03-22,-2,-0.004078,-0.019817,-0.008808,-0.04518,-0.004094,-0.011382,-0.008434,-0.044956,exam
1991-03-25,-2,-0.004094,-0.011382,-0.008434,-0.044956,-0.004111,-0.003371,-0.008222,-0.044647,exam
1991-03-26,-2,-0.004111,-0.003371,-0.008222,-0.044647,-0.004211,0.004871,-0.007926,-0.044006,exam
1991-03-27,-2,-0.004211,0.004871,-0.007926,-0.044006,-0.003482,0.009203,-0.008042,-0.043529,exam
1991-03-28,-2,-0.003482,0.009203,-0.008042,-0.043529,0.004493,0.011232,-0.008154,-0.038522,exam
1991-03-29,-2,0.004493,0.011232,-0.008154,-0.038522,0.003976,0.002982,-0.016235,-0.049532,exam
1991-04-01,-2,0.003976,0.002982,-0.016235,-0.049532,0.004125,-0.004868,-0.023678,-0.059979,exam
1991-04-02,-2,0.004125,-0.004868,-0.023678,-0.059979,8.2e-05,-0.012735,-0.031304,-0.070249,exam
1991-04-03,-2,8.2e-05,-0.012735,-0.031304,-0.070249,-0.001479,-0.017088,-0.035081,-0.076487,exam
1991-04-04,-2,-0.001479,-0.017088,-0.035081,-0.076487,-0.003702,-0.019171,-0.036696,-0.081701,exam
1991-04-05,-2,-0.003702,-0.019171,-0.036696,-0.081701,-0.003881,-0.019159,-0.036832,-0.084813,exam
1991-04-08,-2,-0.003881,-0.019159,-0.036832,-0.084813,-0.003814,-0.018902,-0.036727,-0.087796,exam
1991-04-09,-2,-0.003814,-0.018902,-0.036727,-0.087796,-0.004328,-0.018808,-0.036368,-0.090463,exam
1991-04-10,-2,-0.004328,-0.018808,-0.036368,-0.090463,-0.003594,-0.018305,-0.035774,-0.092862,exam
1991-04-11,-2,-0.003594,-0.018305,-0.035774,-0.092862,-0.003691,-0.017868,-0.030618,-0.095378,exam
1991-04-12,-2,-0.003691,-0.017868,-0.030618,-0.095378,-0.00362,-0.018018,-0.033847,-0.097499,exam
1991-04-15,-2,-0.00362,-0.018018,-0.033847,-0.097499,-0.003718,-0.018168,-0.037181,-0.099459,exam
1991-04-16,-2,-0.003718,-0.018168,-0.037181,-0.099459,-0.003817,-0.017897,-0.040204,-0.102884,exam
1991-04-17,-2,-0.003817,-0.017897,-0.040204,-0.102884,-0.00315,-0.017795,-0.042912,-0.091103,exam
1991-04-18,-2,-0.00315,-0.017795,-0.042912,-0.091103,-0.003844,-0.012983,-0.04672,-0.079091,exam
1991-04-19,-2,-0.003844,-0.012983,-0.04672,-0.079091,-0.003773,-0.016119,-0.049816,-0.06705,exam
1991-04-22,-2,-0.003773,-0.016119,-0.049816,-0.06705,-0.003443,-0.019365,-0.053017,-0.068336,exam
1991-04-23,-2,-0.003443,-0.019365,-0.053017,-0.068336,-0.003714,-0.022714,-0.056136,-0.05795,exam
1991-04-24,-2,-0.003714,-0.022714,-0.056136,-0.05795,0.001734,-0.025572,-0.059206,-0.04577,exam
1991-04-25,-2,0.001734,-0.025572,-0.059206,-0.04577,-0.007009,-0.034181,-0.066805,-0.042402,exam
1991-04-26,-2,-0.007009,-0.034181,-0.066805,-0.042402,-0.007059,-0.034248,-0.065882,-0.026754,exam
1991-04-29,-2,-0.007059,-0.034248,-0.065882,-0.026754,-0.006846,-0.034316,-0.064683,-0.010444,exam
1991-04-30,-2,-0.006846,-0.034316,-0.064683,-0.010444,-0.006628,-0.034199,-0.065306,0.005832,exam
1991-05-02,-2,-0.006628,-0.034199,-0.065306,0.005832,-0.007117,-0.034517,-0.050351,0.021528,exam
1991-05-03,-2,-0.007117,-0.034517,-0.050351,0.021528,-0.007078,-0.033778,-0.033958,0.039065,exam
1991-05-06,-2,-0.007078,-0.033778,-0.033958,0.039065,-0.007129,-0.032756,-0.018138,0.056849,exam
1991-05-07,-2,-0.007129,-0.032756,-0.018138,0.056849,-0.006725,-0.031446,-0.016177,0.07398,exam
1991-05-08,-2,-0.006725,-0.031446,-0.016177,0.07398,-0.006954,-0.032208,-0.001921,0.092049,exam
1991-05-09,-2,-0.006954,-0.032208,-0.001921,0.092049,-0.006358,-0.016401,0.014282,0.110016,exam
1991-05-10,-2,-0.006358,-0.016401,0.014282,0.110016,-0.006027,-0.000185,0.02615,0.128246,exam
1991-05-13,-2,-0.006027,-0.000185,0.02615,0.128246,-0.005784,0.015113,0.041888,0.146469,exam
1991-05-14,-2,-0.005784,0.015113,0.041888,0.146469,-0.007507,0.015764,0.05799,0.164587,exam
1991-05-15,-2,-0.007507,0.015764,0.05799,0.164587,0.009265,0.031294,0.076109,0.185024,exam
1991-05-16,-2,0.009265,0.031294,0.076109,0.185024,0.010023,0.031194,0.075691,0.166557,exam
1991-05-17,-2,0.010023,0.031194,0.075691,0.166557,0.009182,0.02634,0.075589,0.166481,exam
1991-05-20,-2,0.009182,0.02634,0.075589,0.166481,-0.005147,0.026376,0.076372,0.167448,exam
1991-05-21,-2,-0.005147,0.026376,0.076372,0.167448,0.007667,0.04157,0.09164,0.185127,exam
1991-05-22,-2,0.007667,0.04157,0.09164,0.185127,0.009168,0.043454,0.094151,0.187844,exam
1991-05-23,-2,0.009168,0.043454,0.094151,0.187844,0.005269,0.04315,0.094386,0.188772,exam
1991-05-24,-2,0.005269,0.04315,0.094386,0.188772,0.009217,0.047985,0.099494,0.194379,exam
1991-05-27,-2,0.009217,0.047985,0.099494,0.194379,0.009581,0.048711,0.100376,0.19529,exam
1991-05-28,-2,0.009581,0.048711,0.100376,0.19529,0.00949,0.048071,0.100754,0.195831,exam
1991-05-29,-2,0.00949,0.048071,0.100754,0.195831,0.008874,0.048585,0.101212,0.196538,exam
1991-05-30,-2,0.008874,0.048585,0.101212,0.196538,0.009928,0.049116,0.084473,0.197945,exam
1991-05-31,-2,0.009928,0.049116,0.084473,0.197945,0.009916,0.049151,0.084505,0.180047,exam
1991-06-03,-2,0.009916,0.049151,0.084505,0.180047,0.008965,0.049266,0.084614,0.160861,exam
1991-06-04,0,0.008965,0.049266,0.084614,0.160861,0.009986,0.050267,0.085639,0.144707,exam
1991-06-05,0,0.009986,0.050267,0.085639,0.144707,0.009384,0.050189,0.08563,0.144784,exam
1991-06-06,0,0.009384,0.050189,0.08563,0.144784,0.009961,0.033701,0.086246,0.12858,exam
1991-06-07,0,0.009961,0.033701,0.086246,0.12858,0.010027,0.033698,0.086299,0.11186,exam
1991-06-10,-1,0.010027,0.033698,0.086299,0.11186,0.009928,0.033689,0.086256,0.095614,exam
