horizon_days,lag,state,n,mean_fwd_ret
1,0,nasdaq_2pct_drop(压制),559,-0.000383
1,0,other,5878,0.000359
5,0,nasdaq_2pct_drop(压制),559,0.00018
5,0,other,5878,0.00163
10,0,nasdaq_2pct_drop(压制),559,0.001871
10,0,other,5878,0.003146
20,0,nasdaq_2pct_drop(压制),559,0.009029
20,0,other,5878,0.005998
1,1,nasdaq_2pct_drop(压制),559,0.00082
1,1,other,5878,0.000244
5,1,nasdaq_2pct_drop(压制),559,0.000325
5,1,other,5878,0.001615
10,1,nasdaq_2pct_drop(压制),559,0.001903
10,1,other,5878,0.003144
20,1,nasdaq_2pct_drop(压制),559,0.009522
20,1,other,5878,0.005951
