family,level,exec_model,symbol,status,n_days,n_trades,net_p25_bp,net_p50_bp,net_p75_bp,net_mean_bp,days_ratio_ge12bp,h1_mean_bp,h2_mean_bp,split_same_sign,field_signed_day_share,median_spread_bp,fill_rate_entry,fill_rate_exit,as_stat_bp,p_sign,q_bh,highlight
S1,1s,M1,510300,ok,247,54122,-10.5339,-6.3880,-4.2310,-6.9307,0.0000,-6.9422,-6.9043,True,0.8947,2.1570,,,,1.0000,1.0000,
S1,1s,M1,512170,ok,247,53070,-34.3992,-6.3880,-6.3880,-17.7309,0.0000,-17.3584,-18.3030,True,0.8947,29.4986,,,,1.0000,1.0000,
S1,1s,M1,512010,ok,247,52723,-32.0290,-9.7080,-6.3880,-17.1379,0.0000,-16.5254,-18.0862,True,0.8947,26.4551,,,,1.0000,1.0000,
S1,1s,M2,510300,ok,26,2987,-7.2753,-2.9739,0.4504,-3.9909,0.0000,,-4.1483,nan,0.0000,2.1570,0.6369,0.7446,0.1607,1.0000,1.0000,
S1,1s,M2,512170,ok,26,3394,-18.1442,-1.7080,9.5359,-1.0115,0.0000,,-0.9402,nan,0.0000,29.4986,0.7537,0.5250,-0.9452,0.9988,1.0000,
S1,1s,M2,512010,ok,26,3239,-9.7080,-1.7080,7.7691,-1.2744,0.0000,,-1.6202,nan,0.0000,26.4551,0.7456,0.5403,-0.6056,0.9988,1.0000,
S1,10s,M1,510300,ok,247,5724,-15.0013,-6.3880,2.2541,-6.2599,0.0000,-6.1975,-6.6143,True,0.8947,2.1570,,,,1.0000,1.0000,
S1,10s,M1,512170,ok,247,5687,-33.4150,-6.3880,18.9927,-8.4345,0.0000,-8.3787,-8.6473,True,0.8947,29.4986,,,,1.0000,1.0000,
S1,10s,M1,512010,ok,247,5670,-31.2019,-6.3880,16.1318,-8.8404,0.0081,-8.2486,-9.5939,True,0.8947,26.4551,,,,1.0000,1.0000,
S1,10s,M2,510300,ok,26,464,-13.7699,-5.1284,5.0400,-4.4244,0.0000,,-4.9058,nan,0.0000,2.1570,0.4809,0.6573,0.5272,1.0000,1.0000,
S1,10s,M2,512170,ok,26,466,-20.3868,-1.7080,10.9221,-3.1262,0.0769,,-2.4468,nan,0.0000,29.4986,0.4824,0.4506,-2.7835,0.9157,1.0000,
S1,10s,M2,512010,ok,26,466,-19.1128,-1.7080,8.5465,-6.0411,0.0000,,-5.9596,nan,0.0000,26.4551,0.4992,0.4957,-0.2587,0.9997,1.0000,
S1,60s,M1,510300,ok,247,973,-26.8003,-6.3880,15.0345,-5.4748,0.1417,-5.3093,-5.6777,True,0.8947,2.1570,,,,1.0000,1.0000,
S1,60s,M1,512170,ok,247,973,-36.5085,-6.3880,21.7019,-9.0477,0.2470,-7.6565,-12.9517,True,0.8947,29.4986,,,,0.9989,1.0000,
S1,60s,M1,512010,ok,247,973,-35.7998,-6.3880,18.6120,-9.7495,0.1943,-8.3320,-13.6839,True,0.8947,26.4551,,,,1.0000,1.0000,
S1,60s,M2,510300,ok,26,88,-17.5799,-5.7596,15.2968,-1.6960,0.2308,,-1.3318,nan,0.0000,2.1570,0.2655,0.3295,0.0716,0.9622,1.0000,
S1,60s,M2,512170,ok,26,88,-39.0551,-9.7080,21.1925,-9.9105,0.1923,,-15.7739,nan,0.0000,29.4986,0.3364,0.2500,0.0380,0.9622,1.0000,
S1,60s,M2,512010,ok,26,89,-37.6437,-1.7080,9.7261,-13.8180,0.2308,,-17.8510,nan,0.0000,26.4551,0.4464,0.2360,-0.5079,0.9855,1.0000,
S2,1s,M1,510300,ok,236,4731,-10.7161,-6.3880,-4.1692,-7.1095,0.0000,-7.9819,-7.5743,True,0.9025,2.1559,,,,1.0000,1.0000,
S2,1s,M1,512170,ok,178,15883,-35.9738,-32.6347,-6.3880,-22.4268,0.0169,-19.4360,-21.4675,True,0.8876,29.4986,,,,1.0000,1.0000,
S2,1s,M1,512010,ok,186,16965,-33.7853,-29.1670,-6.3880,-21.0935,0.0161,-18.7608,-20.6894,True,0.8871,26.4901,,,,1.0000,1.0000,
S2,1s,M2,510300,ok,23,446,-8.1251,-3.8022,0.4855,-4.1775,0.0000,,-4.2616,nan,0.0000,2.1559,0.8837,0.7758,-0.2802,1.0000,1.0000,
S2,1s,M2,512170,ok,20,1146,-18.4459,-1.7080,8.9979,-3.7038,0.1000,,-1.7603,nan,0.0000,29.4986,0.8982,0.5663,0.6861,0.9941,1.0000,
S2,1s,M2,512010,ok,21,1161,-17.7843,-1.7080,6.8846,-3.8036,0.0952,,-2.3619,nan,0.0000,26.4901,0.9077,0.5668,1.0230,0.9964,1.0000,
S2,10s,M1,510300,ok,236,1255,-17.2222,-6.3880,6.5028,-5.6514,0.0339,-6.2281,-6.1645,True,0.9068,2.1559,,,,1.0000,1.0000,
S2,10s,M1,512170,ok,198,2055,-33.9362,-6.3880,19.4465,-8.5516,0.1667,-5.9899,-5.8534,True,0.8990,29.4986,,,,1.0000,1.0000,
S2,10s,M1,512010,ok,218,2174,-32.0290,-6.3880,14.0945,-10.1493,0.1147,-9.9061,-9.6395,True,0.9037,26.4201,,,,1.0000,1.0000,
S2,10s,M2,510300,ok,22,107,-16.3583,-5.1474,6.8857,-5.1556,0.0909,,-4.4206,nan,0.0000,2.1559,0.7664,0.6916,0.6262,0.9331,1.0000,
S2,10s,M2,512170,ok,20,178,-20.6781,-1.7925,9.0849,-11.2947,0.1500,,-16.7723,nan,0.0000,29.4986,0.8134,0.4831,2.4943,0.9423,1.0000,
S2,10s,M2,512010,ok,21,163,-19.2215,-1.7769,8.6590,-2.7213,0.1905,,-2.6026,nan,0.0000,26.4201,0.8128,0.5215,-1.1573,0.8083,1.0000,
S2,60s,M1,510300,ok,189,342,-25.4664,-1.5657,21.3513,-4.4383,0.3651,-9.4045,-1.4121,True,0.9101,2.1559,,,,0.8457,1.0000,
S2,60s,M1,512170,ok,170,327,-38.8201,-6.3880,22.1427,-12.8584,0.2706,-13.0449,-9.6653,True,0.9118,29.6296,,,,1.0000,1.0000,
S2,60s,M1,512010,ok,177,350,-35.3985,-6.3880,19.3852,-7.1723,0.3333,-8.3505,-6.6281,True,0.9096,26.4901,,,,0.9748,1.0000,
S2,60s,M2,510300,ok,17,34,-10.4704,2.9277,37.5378,11.8393,0.4706,,5.9397,nan,0.0000,2.1559,0.5882,0.4118,-2.0690,0.1662,1.0000,
S2,60s,M2,512170,ok,15,28,-20.5119,-1.6271,10.8830,7.1484,0.2667,,16.9120,nan,0.0000,29.6296,0.7419,0.3571,1.2806,0.6964,1.0000,
S2,60s,M2,512010,ok,16,27,-34.9305,-1.5775,33.9142,-0.5771,0.4375,,-5.3522,nan,0.0000,26.4901,0.8889,0.4074,1.5863,0.4018,1.0000,
S3,1s,M1,510300,ok,172,172,-10.6347,-6.3880,-1.8553,-5.7219,0.0291,-6.9428,-3.9853,True,0.9128,2.1582,,,,1.0000,1.0000,
