kind,strategy_id,source_file,is_sharpe_old,is_sharpe_new,delta,attribution
FLIP,CAND-4440d07f973f,c4_4440d07f973f_ultrashort.py,0.07,-0.397,-0.467,index_universe_scd2_affected
FLIP,CAND-9c0136ec8f42,c4_9c0136ec8f42_kucoffee_trend.py,-0.105,0.176,0.281,index_universe_scd2_affected
FLIP,CAND-9ce75aa27ce5,c4_9ce75aa27ce5_bluechip_ma.py,0.091,-0.186,-0.277,index_universe_scd2_affected
FLIP,CAND-c72318f2da1c,c4_c72318f2da1c_bias_ql.py,0.16,-0.094,-0.254,index_universe_scd2_affected
FLIP,CAND-e2e7f033d97c,c4_e2e7f033d97c_kd_cross.py,0.019,-0.158,-0.177,index_universe_scd2_affected
FLIP,FACT-4228020a,c4_fact_4228020a.py,0.755,-0.218,-0.973,fact_template_universe_no_index
FLIP,FACT-4b200528,c4_fact_4b200528.py,0.353,-0.623,-0.976,fact_template_universe_no_index
FLIP,FACT-4f749668,c4_fact_4f749668.py,0.718,-0.492,-1.21,fact_template_universe_no_index
FLIP,FACT-e293e217,c4_fact_e293e217.py,0.491,-0.527,-1.018,fact_template_universe_no_index
FLIP,FACT-e831084c,c4_fact_e831084c.py,0.205,-1.038,-1.243,fact_template_universe_no_index
FLIP,VAL-DIV-STEADY-005,c4_valuation_v2_div_steady5.py,0.02,-0.052,-0.072,index_universe_scd2_affected
MOVER,CAND-091fee38cd01,c4_091fee38cd01_alpha022.py,-0.395,-1.23,-0.835,index_universe_scd2_affected
MOVER,CAND-3238a5ce80c8,c4_backlog3_novice_value5.py,-1.411,-1.722,-0.311,index_universe_scd2_affected
MOVER,CAND-79ae77fb3af7,c4_backlog3_peg_growth_tiny.py,1.005,0.201,-0.804,index_universe_scd2_affected
MOVER,CAND-8d000bf3ccc3,c4_8d000bf3ccc3_pb_poe_dual_ma.py,-0.751,-1.073,-0.322,index_universe_scd2_affected
MOVER,CAND-9519cb55d6b7,c4_backlog3_peg_ebit_tiny.py,1.187,0.444,-0.743,index_universe_scd2_affected
MOVER,CAND-99873fd0bc17,c4_99873fd0bc17_macd_single.py,-2.2359999999999998,-3.927,-1.691,index_universe_scd2_affected
MOVER,CAND-b1fb7e2246dd,c4_backlog3_peg_ebit_tiny2.py,0.825,0.445,-0.38,index_universe_scd2_affected
MOVER,CAND-fd47fa0e6401,c4_fd47fa0e6401_macd_resonance.py,-1.46,-2.22,-0.76,index_universe_scd2_affected
MOVER,FACT-4db4c41e,c4_fact_4db4c41e.py,0.901,0.138,-0.763,fact_template_universe_no_index
MOVER,VAL-DIV-HIGH-020,c4_valuation_div_high.py,-0.34,-0.856,-0.516,index_universe_scd2_affected
