strategy_id,oos_ann_turnover_1side,turnover_tier,capacity_yuan,binding_symbol,adv_pool_median_yuan,n_symbols,u_max_global
FACT-4db4c41e,0.0,low(<1x),,,2041766625.0,33,0.0
FACT-4f749668,30.88,high(>=5x),487922466.0,300394.SZ,2041766625.0,33,0.05
FACT-4228020a,32.91,high(>=5x),487922466.0,300394.SZ,2041766625.0,33,0.05
FACT-e293e217,23.55,high(>=5x),487922466.0,300394.SZ,2041766625.0,33,0.05
FACT-4b200528,59.7,high(>=5x),487922466.0,300394.SZ,2041766625.0,33,0.05
FACT-e831084c,59.21,high(>=5x),365941850.0,300394.SZ,2041766625.0,33,0.06667
CAND-8d000bf3ccc3,6.3,high(>=5x),16575491.0,605499,150865139.0,5128,1.0
CAND-c4ec6332c07f,6.36,high(>=5x),26148862812.0,000300,261488628122.0,1,1.0
CAND-e3da6fa71af1,1.82,mid(1-5x),7530191.0,000852,75301910.0,1,1.0
CAND-4440d07f973f,79.01,high(>=5x),769189.0,002569,163660799.0,3160,1.0
CAND-a4543012b464,46.19,high(>=5x),5536741.0,300442,773815040.0,279,1.0
CAND-eaddc3f9db4e,2.12,mid(1-5x),26148862812.0,000300,261488628122.0,1,1.0
CAND-29eb91dbaf60,0.61,low(<1x),26148862812.0,000300,261488628122.0,1,1.0
CAND-d06cab686cef,3.33,mid(1-5x),26148862812.0,000300,261488628122.0,1,1.0
CAND-e2e7f033d97c,20.89,high(>=5x),10383032.0,000016,103830317.0,1,1.0
CAND-6a6ec8869ddb,64.24,high(>=5x),8559324.0,600671,150865139.0,5128,0.1
CAND-bd42540f86e4,17.32,high(>=5x),68738439.0,000708,756894384.0,299,0.25
