strategy_id,source_file,status,error,window_full,n_folds,wfa_sharpe_mean,wfa_positive_ratio,stitched_sharpe_h2,stitched_sharpe_gross,stitched_mdd_h2,oos_sharpe_h2,oos_sharpe_gross,oos_mdd_h2,oos_days,oos_ann_turnover_1side,oos_cost_bps_per_day_slip,oos_cost_bps_per_day_impact,oos_cost_bps_per_day_comm,oos_ann_drag_slip,oos_ann_drag_impact,oos_ann_drag_comm,sharpe_gross_only,sharpe_net_ex_slip,sharpe_net_ex_impact,sharpe_net_ex_comm,dsr_eff,dsr_band,n_trials_used,exam_verdict,verdict_reasons,gate_overall_passed,gate_wfa_windows,gate_oos_is_ratio,adv_sources,elapsed_s
FACT-4db4c41e,scripts/backtest/translated/c4_fact_4db4c41e.py,ok,,2020-01-01..2025-08-31,8.0,1.5221,0.625,0.9172,0.9172,-0.3432,1.8826,1.8826,-0.2114,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8826,1.8826,1.8826,1.8826,0.5033,review,86.0,存疑,"各硬线全过, 仅存边际存疑项(fail-closed, 不构成放行) | DSR落中间带存疑(0.50<=DSR<0.95): fail-closed需补样本或人工复核 | WFA门控多数通过但60%稳定性边际未达(正折占比相关见overfitting reasons: ['Walk-Forward Sharpe变异系数2.13超过阈值1.50', 'Walk-Forward存在灾难fold(最低Sharpe=-1.49<-0.50)'])",False,5/8,2.0894,"{""stock"": 33, ""index"": 0, ""etf"": 0, ""proxy"": 0}",32.3
FACT-4f749668,scripts/backtest/translated/c4_fact_4f749668.py,ok,,2020-01-01..2025-08-31,8.0,1.3031,0.625,0.724,0.9912,-0.3748,1.5969,1.8395,-0.1708,403.0,30.88,1.194,0.002,1.822,0.0291,0.0001,0.0445,1.8395,1.7436,1.8393,1.6931,0.362,overfitting,86.0,存疑,"各硬线全过, 仅存边际存疑项(fail-closed, 不构成放行) | WFA门控多数通过但60%稳定性边际未达(正折占比相关见overfitting reasons: ['Walk-Forward Sharpe变异系数2.40超过阈值1.50', 'Walk-Forward存在灾难fold(最低Sharpe=-1.45<-0.50)'])",False,5/8,2.2242,"{""stock"": 33, ""index"": 0, ""etf"": 0, ""proxy"": 0}",32.7
FACT-4228020a,scripts/backtest/translated/c4_fact_4228020a.py,ok,,2020-01-01..2025-08-31,8.0,1.3844,0.625,0.7797,1.056,-0.3295,1.4754,1.7354,-0.2392,403.0,32.91,1.274,0.002,1.942,0.0311,0.0001,0.0474,1.7354,1.6325,1.7352,1.5786,0.2978,overfitting,86.0,存疑,"各硬线全过, 仅存边际存疑项(fail-closed, 不构成放行) | WFA门控多数通过但60%稳定性边际未达(正折占比相关见overfitting reasons: ['Walk-Forward Sharpe变异系数2.25超过阈值1.50', 'Walk-Forward存在灾难fold(最低Sharpe=-1.14<-0.50)'])",False,5/8,1.9542,"{""stock"": 33, ""index"": 0, ""etf"": 0, ""proxy"": 0}",31.7
FACT-e293e217,scripts/backtest/translated/c4_fact_e293e217.py,ok,,2020-01-01..2025-08-31,8.0,1.2064,0.625,0.5854,0.7882,-0.3376,1.3842,1.576,-0.196,403.0,23.55,0.912,0.002,1.39,0.0222,0.0,0.0339,1.576,1.5001,1.5758,1.4602,0.0325,overfitting,4578.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 33, ""index"": 0, ""etf"": 0, ""proxy"": 0}",29.9
FACT-4b200528,scripts/backtest/translated/c4_fact_4b200528.py,ok,,2020-01-01..2025-08-31,8.0,0.9646,0.625,0.544,1.009,-0.4171,1.2968,1.7146,-0.2427,403.0,59.7,2.311,0.004,3.523,0.0564,0.0001,0.086,1.7146,1.5492,1.7143,1.4625,0.2231,overfitting,86.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 33, ""index"": 0, ""etf"": 0, ""proxy"": 0}",30.9
FACT-e831084c,scripts/backtest/translated/c4_fact_e831084c.py,ok,,2020-01-01..2025-08-31,8.0,0.9684,0.625,0.6097,1.0765,-0.3546,1.3999,1.8311,-0.2167,403.0,59.21,2.287,0.005,3.353,0.0558,0.0001,0.0818,1.8311,1.6564,1.8307,1.5749,0.2807,overfitting,86.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 33, ""index"": 0, ""etf"": 0, ""proxy"": 0}",31.0
CAND-8d000bf3ccc3,scripts/backtest/translated/c4_8d000bf3ccc3_pb_poe.py,ok,,2020-01-01..2025-08-31,8.0,0.384,0.375,0.2285,0.0947,-0.4757,1.6184,1.724,-0.2054,403.0,6.3,0.267,0.001,0.357,0.0065,0.0,0.0087,1.724,1.6964,1.6787,1.687,0.3485,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=3/8, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,3/8,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",551.9
CAND-c4ec6332c07f,scripts/backtest/translated/c4_c4ec6332c07f_trend_score.py,ok,,2020-01-01..2025-08-31,8.0,0.6321,0.375,0.1166,0.2568,-0.2133,1.155,1.3108,-0.1093,403.0,6.36,0.244,0.0,0.36,0.006,0.0,0.0088,1.3108,1.2482,1.3108,1.2182,0.1325,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",9.7
CAND-e3da6fa71af1,scripts/backtest/translated/c4_e3da6fa71af1_panic_rebound.py,ok,,2020-01-01..2025-08-31,8.0,0.6284,0.5,0.9364,0.9766,-0.1223,1.0093,1.052,-0.1043,403.0,1.82,0.136,0.002,0.103,0.0033,0.0,0.0025,1.052,1.0279,1.0517,1.0338,0.0945,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=4/8, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,4/8,0.0,"{""stock"": 1, ""index"": 0, ""etf"": 0, ""proxy"": 0}",1.3
CAND-4440d07f973f,scripts/backtest/translated/c4_4440d07f973f_ultrashort.py,ok,,2020-01-01..2025-08-31,8.0,0.0071,0.5,0.262,1.1542,-0.5663,0.9207,1.6192,-0.3578,403.0,79.01,6.808,0.113,4.474,0.1661,0.0027,0.1092,1.6192,1.1264,1.7442,1.2969,0.0781,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 3160, ""index"": 0, ""etf"": 0, ""proxy"": 0}",136.9
CAND-a4543012b464,scripts/backtest/translated/c4_a4543012b464_trend5.py,ok,,2020-01-01..2025-08-31,8.0,-0.0319,0.375,-0.4017,-0.123,-0.8301,0.5095,0.7847,-0.4761,403.0,46.19,1.819,0.007,2.809,0.0444,0.0002,0.0685,0.7847,0.6767,0.7843,0.6179,0.0247,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 279, ""index"": 0, ""etf"": 0, ""proxy"": 0}",99.0
CAND-eaddc3f9db4e,scripts/backtest/translated/c4_eaddc3f9db4e_rsrs_r2.py,ok,,2020-01-01..2025-08-31,8.0,-0.0792,0.25,-0.0603,-0.0052,-0.3136,0.9957,1.028,-0.1296,403.0,2.12,0.081,0.0,0.12,0.002,0.0,0.0029,1.028,1.015,1.028,1.0088,0.0983,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",3.7
CAND-29eb91dbaf60,scripts/backtest/translated/c4_29eb91dbaf60_crash_dodge.py,ok,,2020-01-01..2025-08-31,8.0,0.5159,0.5,-0.1014,-0.0924,-0.2865,0.8877,0.8987,-0.109,403.0,0.61,0.023,0.0,0.034,0.0006,0.0,0.0008,0.8987,0.8943,0.8987,0.8921,0.0606,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",3.0
CAND-d06cab686cef,scripts/backtest/translated/c4_d06cab686cef_rsrs_opt.py,ok,,2020-01-01..2025-08-31,8.0,0.025,0.25,0.0093,0.0752,-0.2755,0.9161,0.968,-0.1474,403.0,3.33,0.128,0.0,0.189,0.0031,0.0,0.0046,0.968,0.9471,0.968,0.9371,0.0807,overfitting,132.0,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",2.2
CAND-dc5b80aa3614,scripts/backtest/translated/c4_dc5b80aa3614_tsmall100.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-fd47fa0e6401,scripts/backtest/translated/c4_fd47fa0e6401_macd_resonance.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-12286499cb19,scripts/backtest/translated/c4_12286499cb19_rsrs_60m.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-5efe26d1992e,scripts/backtest/translated/c4_5efe26d1992e_rsrs_timing.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-7f7e5f935dfc,scripts/backtest/translated/c4_7f7e5f935dfc_dmi_timing.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-9ce75aa27ce5,scripts/backtest/translated/c4_9ce75aa27ce5_bluechip_ma.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-c72318f2da1c,scripts/backtest/translated/c4_c72318f2da1c_bias_ql.py,error,"KeyError: ""category_id 'market_commodity_futures_main' 未在 business_data_categories.yaml 注册。请在真源 YAML 新增品类条目（禁止硬编码表名绕过真源）。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
