rule,variant,mode,net_sharpe,cagr,mdd,ann_turnover,n_days,first_rebal,excess_vs_bench_cagr,y2020,y2021,y2022,y2023,y2024,y2025,y2026
BENCH_eqw_all,uncond,raw,0.34,0.0437,-0.3465,1.5,1629,2020-01-02,0.0,0.224,0.0639,-0.174,-0.0753,0.071,0.248,0.0011
ROT_mom20_top5,uncond,raw,0.312,0.0494,-0.4089,56.3,1629,2020-01-02,0.0057,0.0865,0.022,-0.1395,0.0246,0.0229,0.1697,0.1779
ROT_mom20_top5,G_HIGH,raw,0.12,0.0026,-0.4699,55.3,1629,2020-01-02,-0.0411,-0.1054,-0.1456,-0.0895,-0.0285,0.3906,0.0075,0.0741
ROT_mom20_top5,G_MIDUP,raw,0.29,0.0429,-0.3501,56.2,1629,2020-01-02,-0.0008,0.0312,0.0906,-0.0577,-0.0217,0.2104,-0.0483,0.1084
ROT_mom20_top5,G_BDION,raw,0.216,0.0175,-0.1739,56.2,1629,2020-01-02,-0.0262,0.1155,-0.0106,-0.1142,0.069,0.0399,-0.0851,0.1291
ROT_mom20_top5,G_BDINOTOFF,raw,0.206,0.0156,-0.4007,56.5,1629,2020-01-02,-0.0281,0.0508,0.0565,-0.1423,0.0262,0.1275,0.079,-0.0672
ROT_mom20_top10,uncond,raw,0.435,0.0889,-0.4071,48.9,1629,2020-01-02,0.0452,0.1955,0.145,-0.1493,-0.0282,0.0791,0.4014,0.0316
ROT_mom20_top10,G_HIGH,raw,0.184,0.017,-0.3391,48.9,1629,2020-01-02,-0.0267,-0.0533,-0.1007,-0.0312,-0.0404,0.3821,0.0515,-0.0268
ROT_mom20_top10,G_MIDUP,raw,0.399,0.0729,-0.3391,49.7,1629,2020-01-02,0.0292,0.162,0.2167,-0.0736,-0.064,0.2552,0.0673,-0.0262
ROT_mom20_top10,G_BDION,raw,0.56,0.0529,-0.1193,48.9,1629,2020-01-02,0.0092,0.1895,-0.0096,-0.07,0.1035,0.0448,-0.0061,0.1239
ROT_mom20_top10,G_BDINOTOFF,raw,0.369,0.0659,-0.41,49.3,1629,2020-01-02,0.0222,0.2004,0.1938,-0.1151,-0.012,0.173,0.2664,-0.1775
ROT_mom60_top5,uncond,raw,0.007,-0.0498,-0.6212,35.1,1629,2020-01-02,-0.0935,0.2046,-0.1348,-0.3523,-0.0751,-0.0065,0.264,-0.0935
ROT_mom60_top5,G_HIGH,raw,-0.054,-0.0329,-0.4672,36.9,1629,2020-01-02,-0.0766,-0.0645,-0.2355,-0.053,-0.0792,0.3844,0.0019,-0.0756
ROT_mom60_top5,G_MIDUP,raw,-0.141,-0.0781,-0.5457,36.9,1629,2020-01-02,-0.1218,0.0904,-0.0355,-0.226,-0.1578,0.1839,-0.1262,-0.1806
ROT_mom60_top5,G_BDION,raw,0.281,0.0221,-0.1316,36.9,1629,2020-01-02,-0.0216,0.1079,-0.0078,-0.0335,0.0391,0.0218,-0.0599,0.0912
ROT_mom60_top5,G_BDINOTOFF,raw,-0.076,-0.0661,-0.5142,35.7,1629,2020-01-02,-0.1098,0.1053,-0.1125,-0.2222,-0.032,0.0419,0.2348,-0.3334
ROT_mom60_top10,uncond,raw,0.148,-0.001,-0.5086,30.5,1629,2020-01-02,-0.0447,0.2765,-0.0652,-0.2891,-0.0191,0.0004,0.276,-0.0648
ROT_mom60_top10,G_HIGH,raw,-0.05,-0.0292,-0.3844,32.4,1629,2020-01-02,-0.0729,-0.0491,-0.1747,-0.053,-0.0925,0.3586,-0.0535,-0.0539
ROT_mom60_top10,G_MIDUP,raw,-0.037,-0.0442,-0.4242,33.7,1629,2020-01-02,-0.0879,0.174,0.009,-0.2134,-0.0739,0.1788,-0.1412,-0.1538
ROT_mom60_top10,G_BDION,raw,0.181,0.0121,-0.1344,32.4,1629,2020-01-02,-0.0316,0.123,-0.0061,-0.0801,0.0439,0.0213,-0.0625,0.0562
ROT_mom60_top10,G_BDINOTOFF,raw,0.057,-0.0228,-0.4599,31.5,1629,2020-01-02,-0.0665,0.243,-0.0808,-0.1646,0.0252,0.0688,0.2,-0.317
BENCH_eqw_all,uncond,clean,0.358,0.0464,-0.3456,1.7,1629,2020-01-02,0.0,0.2209,0.0683,-0.1719,-0.0761,0.0813,0.2516,0.0026
ROT_mom20_top5,uncond,clean,0.343,0.0604,-0.4259,57.1,1629,2020-01-02,0.014,0.0806,0.0356,-0.1314,0.0243,0.0929,0.1585,0.1736
ROT_mom20_top5,G_HIGH,clean,0.164,0.012,-0.472,55.9,1629,2020-01-02,-0.0344,-0.1054,-0.1459,-0.0929,-0.0286,0.5064,0.0028,0.0649
