universe,symbol,name,adv_yuan,tier,slip_bp,rt_bp,threshold_bp,window,bucket,n_days,amp_p25,amp_p50,amp_p75,req_cap,grade,net_at_10pct_bp
A,589090,鹏华上证科创板人工智能ETF,288027628.0,Q4,4.0,11.708,16.742,IS,M,3,87.28,102.9,117.3,0.1627,GREEN,-1.42
A,589090,鹏华上证科创板人工智能ETF,288027628.0,Q4,4.0,11.708,16.742,IS,ALL,3,87.28,102.9,117.3,0.1627,GREEN,-1.42
A,589090,鹏华上证科创板人工智能ETF,288027628.0,Q4,4.0,11.708,16.742,OOS,L,21,34.64,48.23,50.3,0.3471,YELLOW,-6.88
A,589090,鹏华上证科创板人工智能ETF,288027628.0,Q4,4.0,11.708,16.742,OOS,M,127,39.2,47.55,60.29,0.3521,YELLOW,-6.95
A,589090,鹏华上证科创板人工智能ETF,288027628.0,Q4,4.0,11.708,16.742,OOS,H,105,44.68,61.48,85.4,0.2723,YELLOW,-5.56
A,589090,鹏华上证科创板人工智能ETF,288027628.0,Q4,4.0,11.708,16.742,OOS,ALL,253,39.72,50.23,70.61,0.3333,YELLOW,-6.69
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,IS,L,157,54.5,60.06,66.01,0.1997,GREEN,-2.38
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,IS,M,111,56.14,58.48,64.62,0.2051,GREEN,-2.54
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,IS,H,135,57.06,59.26,70.11,0.2024,GREEN,-2.46
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,IS,ALL,403,56.02,59.52,65.95,0.2015,GREEN,-2.44
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,OOS,L,21,29.41,54.27,55.94,0.221,GREEN,-2.96
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,OOS,M,126,50.99,55.95,59.06,0.2144,GREEN,-2.79
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,OOS,H,92,55.08,60.06,66.86,0.1997,GREEN,-2.38
A,512170,华宝中证医疗ETF,550115011.0,Q5,2.34,8.388,11.995,OOS,ALL,239,51.91,57.89,60.98,0.2072,GREEN,-2.6
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,IS,L,79,40.15,47.89,61.54,0.3496,YELLOW,-6.92
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,IS,M,66,59.13,69.67,78.03,0.2403,GREEN,-4.74
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,IS,H,28,44.54,53.14,66.39,0.3151,YELLOW,-6.39
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,IS,ALL,173,43.53,58.08,69.88,0.2883,YELLOW,-5.9
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,OOS,L,21,50.92,60.67,71.12,0.276,YELLOW,-5.64
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,OOS,M,127,60.06,71.44,83.64,0.2344,GREEN,-4.56
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,OOS,H,92,65.58,80.92,98.45,0.2069,GREEN,-3.62
A,159363,华宝创业板人工智能ETF,207185449.0,Q4,4.0,11.708,16.742,OOS,ALL,240,61.56,73.0,88.18,0.2293,GREEN,-4.41
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,IS,L,157,49.75,54.64,60.06,0.2195,GREEN,-2.92
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,IS,M,111,52.22,55.02,58.32,0.218,GREEN,-2.89
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,IS,H,135,53.05,55.17,70.32,0.2174,GREEN,-2.87
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,IS,ALL,403,52.49,54.79,59.44,0.2189,GREEN,-2.91
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,OOS,L,21,50.63,51.75,53.62,0.2318,GREEN,-3.21
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,OOS,M,127,49.08,52.02,54.2,0.2306,GREEN,-3.19
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,OOS,H,105,53.55,56.5,73.8,0.2123,GREEN,-2.74
A,512010,易方达沪深300医药卫生ETF,579914092.0,Q5,2.34,8.388,11.995,OOS,ALL,253,50.19,53.55,59.08,0.224,GREEN,-3.03
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,IS,L,157,39.03,45.77,53.48,0.2621,YELLOW,-3.81
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,IS,M,111,47.56,55.43,63.98,0.2164,GREEN,-2.84
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,IS,H,135,56.74,72.33,87.59,0.1658,GREEN,-1.15
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,IS,ALL,403,43.11,54.41,69.86,0.2205,GREEN,-2.95
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,OOS,L,21,36.42,37.45,46.0,0.3203,YELLOW,-4.64
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,OOS,M,127,36.24,44.9,55.04,0.2671,YELLOW,-3.9
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,OOS,H,92,39.04,47.85,58.17,0.2507,YELLOW,-3.6
A,159869,华夏中证动漫游戏ETF,483893367.0,Q5,2.34,8.388,11.995,OOS,ALL,240,37.01,45.5,55.67,0.2636,YELLOW,-3.84
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,IS,L,157,31.31,40.0,54.64,0.4186,YELLOW,-7.71
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,IS,M,111,46.24,54.05,66.52,0.3098,YELLOW,-6.3
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,IS,H,135,52.27,61.88,78.47,0.2706,YELLOW,-5.52
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,IS,ALL,403,38.0,53.19,64.6,0.3148,YELLOW,-6.39
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,OOS,L,21,45.09,55.75,65.0,0.3003,YELLOW,-6.13
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,OOS,M,127,51.24,62.38,76.39,0.2684,YELLOW,-5.47
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,OOS,H,92,56.65,74.91,99.71,0.2235,GREEN,-4.22
A,159813,鹏华国证半导体芯片ETF,259003613.0,Q4,4.0,11.708,16.742,OOS,ALL,240,52.37,65.01,83.54,0.2575,YELLOW,-5.21
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,IS,L,79,35.16,46.91,53.08,0.3569,YELLOW,-7.02
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,IS,M,54,55.31,66.31,79.29,0.2525,YELLOW,-5.08
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,IS,H,23,48.71,52.82,72.08,0.317,YELLOW,-6.43
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,IS,ALL,156,41.99,52.98,67.21,0.316,YELLOW,-6.41
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,OOS,L,21,51.09,55.06,64.69,0.3041,YELLOW,-6.2
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,OOS,M,127,52.65,62.74,75.5,0.2668,YELLOW,-5.43
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,OOS,H,105,59.84,76.48,100.11,0.2189,GREEN,-4.06
A,588790,博时上证科创板人工智能ETF,347772044.0,Q4,4.0,11.708,16.742,OOS,ALL,253,53.56,65.29,84.14,0.2564,YELLOW,-5.18
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,IS,L,157,32.67,42.6,53.08,0.2816,YELLOW,-4.13
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,IS,M,111,47.12,55.3,65.49,0.2169,GREEN,-2.86
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,IS,H,135,50.53,64.7,85.87,0.1854,GREEN,-1.92
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,IS,ALL,403,41.0,52.94,65.85,0.2266,GREEN,-3.09
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,OOS,L,21,54.93,58.18,67.29,0.2062,GREEN,-2.57
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,OOS,M,127,55.21,66.43,82.58,0.1806,GREEN,-1.74
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,OOS,H,105,61.47,89.49,122.78,0.134,GREEN,0.56
A,588200,嘉实上证科创板芯片ETF,1780845747.0,Q5,2.34,8.388,11.995,OOS,ALL,253,56.24,71.05,98.02,0.1688,GREEN,-1.28
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,IS,L,157,39.62,45.45,55.56,0.3684,YELLOW,-7.16
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,IS,M,111,43.31,52.66,63.15,0.3179,YELLOW,-6.44
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,IS,H,135,48.88,63.58,79.87,0.2633,YELLOW,-5.35
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,IS,ALL,403,41.71,52.0,65.52,0.322,YELLOW,-6.51
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,OOS,L,21,48.6,54.62,65.24,0.3065,YELLOW,-6.25
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,OOS,M,126,58.55,71.92,84.58,0.2328,GREEN,-4.52
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,OOS,H,92,69.1,85.15,108.53,0.1966,GREEN,-3.19
A,515880,国泰中证全指通信设备ETF,264006883.0,Q4,4.0,11.708,16.742,OOS,ALL,239,61.11,74.56,91.05,0.2245,GREEN,-4.25
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,IS,L,157,29.72,43.38,54.02,0.2765,YELLOW,-4.05
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,IS,M,111,44.33,53.33,66.98,0.2249,GREEN,-3.05
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,IS,H,135,45.71,61.07,76.98,0.1964,GREEN,-2.28
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,IS,ALL,403,41.01,51.52,65.18,0.2328,GREEN,-3.24
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,OOS,L,21,46.39,52.91,62.54,0.2267,GREEN,-3.1
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,OOS,M,126,49.45,60.99,77.79,0.1967,GREEN,-2.29
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,OOS,H,92,55.22,74.71,100.6,0.1606,GREEN,-0.92
A,512480,国联安中证全指半导体产品与设备ETF,1310306675.0,Q5,2.34,8.388,11.995,OOS,ALL,239,51.05,62.54,81.48,0.1918,GREEN,-2.13
B,159200,富国中证AAA科技创新公司债ETF,7815086199.0,Q5,2.34,8.388,11.995,IS,L,24,0.66,1.08,1.35,11.1065,RED,-8.28
B,159200,富国中证AAA科技创新公司债ETF,7815086199.0,Q5,2.34,8.388,11.995,IS,M,8,1.3,1.55,1.72,7.7387,RED,-8.23
B,159200,富国中证AAA科技创新公司债ETF,7815086199.0,Q5,2.34,8.388,11.995,IS,ALL,32,0.8,1.15,1.52,10.4304,RED,-8.27
B,159200,富国中证AAA科技创新公司债ETF,7815086199.0,Q5,2.34,8.388,11.995,OOS,L,21,0.35,0.5,0.75,23.99,RED,-8.34
B,159200,富国中证AAA科技创新公司债ETF,7815086199.0,Q5,2.34,8.388,11.995,OOS,M,127,0.39,0.69,1.06,17.3841,RED,-8.32
B,159200,富国中证AAA科技创新公司债ETF,7815086199.0,Q5,2.34,8.388,11.995,OOS,H,92,0.34,0.55,0.9,21.8091,RED,-8.33
B,159200,富国中证AAA科技创新公司债ETF,7815086199.0,Q5,2.34,8.388,11.995,OOS,ALL,240,0.35,0.6,0.99,19.9917,RED,-8.33
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,IS,L,74,46.18,51.79,62.81,0.2316,GREEN,-3.21
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,IS,M,8,44.71,53.81,59.97,0.2229,GREEN,-3.01
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,IS,H,20,42.96,57.78,66.23,0.2076,GREEN,-2.61
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,IS,ALL,102,44.33,52.17,64.27,0.2299,GREEN,-3.17
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,OOS,L,21,29.32,31.65,34.87,0.379,YELLOW,-5.22
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,OOS,M,127,35.84,44.35,50.68,0.2705,YELLOW,-3.95
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,OOS,H,92,46.69,53.79,66.65,0.223,GREEN,-3.01
B,159217,工银瑞信国证港股通创新药ETF,640164312.0,Q5,2.34,8.388,11.995,OOS,ALL,240,36.19,47.47,55.76,0.2527,YELLOW,-3.64
B,159262,广发恒生港股通科技主题ETF,307939506.0,Q4,4.0,11.708,16.742,IS,L,32,31.64,37.12,44.06,0.451,YELLOW,-8.0
B,159262,广发恒生港股通科技主题ETF,307939506.0,Q4,4.0,11.708,16.742,IS,M,8,38.95,45.35,56.93,0.3692,YELLOW,-7.17
B,159262,广发恒生港股通科技主题ETF,307939506.0,Q4,4.0,11.708,16.742,IS,ALL,40,33.49,37.86,45.3,0.4422,YELLOW,-7.92
B,159262,广发恒生港股通科技主题ETF,307939506.0,Q4,4.0,11.708,16.742,OOS,L,21,25.27,35.49,39.35,0.4717,YELLOW,-8.16
B,159262,广发恒生港股通科技主题ETF,307939506.0,Q4,4.0,11.708,16.742,OOS,M,127,32.08,39.02,47.8,0.4291,YELLOW,-7.81
B,159262,广发恒生港股通科技主题ETF,307939506.0,Q4,4.0,11.708,16.742,OOS,H,92,34.58,44.38,53.2,0.3772,YELLOW,-7.27
B,159262,广发恒生港股通科技主题ETF,307939506.0,Q4,4.0,11.708,16.742,OOS,ALL,240,33.63,40.68,48.38,0.4116,YELLOW,-7.64
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,IS,L,74,38.88,48.45,57.27,0.3456,YELLOW,-6.86
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,IS,M,14,34.55,48.66,63.14,0.3441,YELLOW,-6.84
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,IS,H,20,37.95,51.9,67.13,0.3226,YELLOW,-6.52
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,IS,ALL,108,37.39,48.82,60.89,0.3429,YELLOW,-6.83
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,OOS,L,21,26.38,29.84,35.37,0.5611,RED,-8.72
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,OOS,M,127,32.99,41.51,48.86,0.4033,YELLOW,-7.56
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,OOS,H,92,39.77,50.98,63.15,0.3284,YELLOW,-6.61
B,159316,易方达恒生港股通创新药ETF,300646416.0,Q4,4.0,11.708,16.742,OOS,ALL,240,34.88,43.07,53.21,0.3887,YELLOW,-7.4
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,IS,L,104,10.19,19.74,21.72,0.6076,RED,-6.41
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,IS,M,83,19.48,28.09,64.4,0.427,YELLOW,-5.58
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,IS,H,84,10.01,19.61,19.95,0.6117,RED,-6.43
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,IS,ALL,271,10.4,19.83,30.78,0.6049,RED,-6.41
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,OOS,L,21,10.85,11.15,20.82,1.0758,RED,-7.27
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,OOS,M,127,10.82,16.13,21.37,0.7436,RED,-6.78
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,OOS,H,92,10.97,11.2,20.89,1.071,RED,-7.27
B,159329,南方基金南方东英沙特阿拉伯ETF(QDII),908795054.0,Q5,2.34,8.388,11.995,OOS,ALL,240,10.87,11.27,21.29,1.0643,RED,-7.26
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,IS,L,79,0.49,0.84,1.31,14.2798,RED,-8.3
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,IS,M,45,0.3,0.5,0.85,23.99,RED,-8.34
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,IS,H,20,0.5,0.65,0.9,18.4538,RED,-8.32
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,IS,ALL,144,0.43,0.69,1.06,17.3841,RED,-8.32
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,OOS,L,21,0.1,0.58,1.24,20.681,RED,-8.33
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,OOS,M,127,0.29,0.79,1.34,15.1835,RED,-8.31
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,OOS,H,92,0.39,0.67,1.1,17.903,RED,-8.32
B,159395,大成深证基准做市信用债ETF,2435830245.0,Q5,2.34,8.388,11.995,OOS,ALL,240,0.29,0.71,1.25,16.8944,RED,-8.32
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,IS,L,79,0.6,0.89,1.26,13.4775,RED,-8.3
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,IS,M,43,0.23,0.5,0.75,23.99,RED,-8.34
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,IS,H,20,0.67,0.87,0.96,13.7874,RED,-8.3
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,IS,ALL,142,0.5,0.77,1.14,15.5779,RED,-8.31
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,OOS,L,21,0.43,0.89,1.18,13.4775,RED,-8.3
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,OOS,M,127,0.39,0.89,1.39,13.4775,RED,-8.3
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,OOS,H,92,0.39,0.76,1.27,15.7829,RED,-8.31
B,159396,博时深证基准做市信用债ETF,2870465185.0,Q5,2.34,8.388,11.995,OOS,ALL,240,0.39,0.88,1.32,13.6307,RED,-8.3
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,IS,L,79,0.57,1.04,1.44,11.5337,RED,-8.28
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,IS,M,42,0.3,0.58,0.79,20.681,RED,-8.33
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,IS,H,20,0.25,0.52,0.81,23.0673,RED,-8.34
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,IS,ALL,141,0.45,0.7,1.24,17.1357,RED,-8.32
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,OOS,L,21,0.48,0.74,1.68,16.2095,RED,-8.31
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,OOS,M,127,0.44,0.75,1.36,15.9933,RED,-8.31
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,OOS,H,92,0.53,0.79,1.46,15.1835,RED,-8.31
B,159397,广发深证基准做市信用债ETF,2273800804.0,Q5,2.34,8.388,11.995,OOS,ALL,240,0.49,0.78,1.44,15.3782,RED,-8.31
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,IS,L,79,0.89,1.24,1.76,9.6734,RED,-8.26
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,IS,M,43,0.3,0.7,1.26,17.1357,RED,-8.32
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,IS,H,20,0.54,0.7,0.88,17.1357,RED,-8.32
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,IS,ALL,142,0.65,0.99,1.53,12.1162,RED,-8.29
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,OOS,L,21,0.15,0.38,1.34,31.5658,RED,-8.35
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,OOS,M,127,0.32,0.74,1.56,16.2095,RED,-8.31
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,OOS,H,92,0.44,0.73,1.35,16.4315,RED,-8.31
B,159398,天弘深证基准做市信用债ETF,2530944962.0,Q5,2.34,8.388,11.995,OOS,ALL,240,0.34,0.73,1.45,16.4315,RED,-8.31
