eid,name,factor_key,orient,sharpe_mid,sharpe_full,uplift,sharpe_gross_full,avg_holdings,degenerate_empty,ann_turnover_1side,cost_bp_day,mid_hold_days,days,t_stat,p_one_sided,elapsed_s,p_bh
F-059,历史天量,f_te059_hist_volspike,-1,,0.661,,1.145,515.5,False,0.329,6.02,403,403,0.85,0.19769,2.8,0.39538
F-017,二进三断板,f_mom017_limit_streak,-1,,0.0,,0.0,0.0,True,0.0,0.0,403,403,0.0,0.5,2.1,0.5721
F-025,地量,f_liq025_neg_diliang,1,,0.481,,0.943,524.1,False,0.331,5.96,403,403,0.62,0.26821,2.4,0.41263
F-064,ATR14,f_te064_natr14,-1,,1.148,,1.332,524.7,False,0.085,1.47,403,403,1.47,0.070126,2.4,0.39538
F-072,布林收口,f_te072_neg_bollbw,1,,1.148,,1.394,524.7,False,0.123,2.16,403,403,1.48,0.069992,2.2,0.39538
F-078,下方缺口不回补,f_te078_unfilled_upgap20,-1,,-0.604,,-0.575,4.7,False,0.005,0.08,403,403,-0.78,0.78103,2.1,0.78103
F-073,缺口ATR分级,f_te073_gap_atr,1,,-0.266,,0.851,524.2,False,0.84,14.57,403,403,-0.34,0.63375,2.4,0.66711
F-024,底部量能节奏,f_liq024_neg_vol_dryup,1,,0.743,,0.94,524.5,False,0.157,2.73,403,403,0.96,0.16967,2.3,0.39538
F-082,Wyckoff派发UTAD,f_te082_neg_upthrust,1,,0.0,,0.0,0.0,True,0.0,0.0,403,403,0.0,0.5,2.0,0.5721
F-083,假突破统计,f_te083_neg_fakebreak10,1,,0.798,,0.839,12.3,False,0.007,0.1,403,403,1.03,0.15253,2.0,0.39538
F-067,MACD零轴位置,f_te067_macd_dif,-1,,0.824,,0.914,524.7,False,0.083,1.4,403,403,1.06,0.14489,2.3,0.39538
F-009,区间相对强弱RS,f_mom009_rs20,-1,,0.708,,0.968,524.7,False,0.238,3.91,403,403,0.91,0.18156,2.3,0.39538
F-031,立桩量,f_liq031_pillar,-1,,1.177,,1.589,96.3,False,0.179,3.0,403,403,1.51,0.065157,2.3,0.39538
F-076,高位振幅加大,f_te076_amp_expand_hi,-1,,0.513,,0.826,514.2,False,0.24,4.18,403,403,0.66,0.25498,2.2,0.41263
F-055,20日均线趋势判定,f_te055_ma20_slope,-1,,0.806,,0.953,524.7,False,0.132,2.2,403,403,1.04,0.15015,2.3,0.39538
F-062,乖离率极端±15%,f_te062_bias20,-1,,0.548,,0.8,524.7,False,0.236,3.83,403,403,0.7,0.24053,2.4,0.41263
F-061,均线排列状态,f_te061_ma_align,-1,,0.053,,0.35,287.2,False,0.171,2.88,403,403,0.07,0.47271,2.1,0.5721
F-058,月线20日均线支撑,f_te058_ma250_support,-1,,0.931,,1.017,515.5,False,0.073,1.27,403,403,1.2,0.11587,2.3,0.39538
F-057,红多绿少,f_te057_red_green,-1,,0.228,,0.72,521.1,False,0.388,6.54,403,403,0.29,0.38478,2.3,0.54969
F-056,放量突破20日线,f_te056_vol_break20,-1,,-0.029,,0.879,524.7,False,0.692,11.82,403,403,-0.04,0.51489,2.5,0.5721
