entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-FQ-004,ROE季度同比差,quality,f_fq004_roeq_yoy_chg,1,fundamental,代理=roe_q-上年同期 roe_q（原式 4*np_q/equity 近似）,5,0.02138,0.2845,7.208,642,0.5748,0.0196,0.2933,2.557,166.0,0.0227,0.3062,3.284,181.0,0.02135,0.2777,5.896,867.0
FCT-FQ-004,ROE季度同比差,quality,f_fq004_roeq_yoy_chg,1,fundamental,代理=roe_q-上年同期 roe_q（原式 4*np_q/equity 近似）,10,0.02693,0.3711,9.307,629,0.6169,0.02995,0.4746,3.999,166.0,0.02429,0.3505,3.676,181.0,0.0271,0.3621,7.664,867.0
FCT-FQ-004,ROE季度同比差,quality,f_fq004_roeq_yoy_chg,1,fundamental,代理=roe_q-上年同期 roe_q（原式 4*np_q/equity 近似）,20,0.03896,0.5327,13.253,619,0.7141,0.06648,1.0776,9.08,166.0,0.03558,0.5289,5.445,181.0,0.03536,0.4692,9.864,867.0
FCT-GR-001,营收同比,momentum,f_gr001_rev_yoy,1,fundamental,revenue_yoy（announce_date PIT）,5,0.01408,0.1801,5.953,1093,0.5919,0.01154,0.1536,1.856,166.0,0.00691,0.0837,1.046,181.0,0.01596,0.205,5.765,867.0
FCT-GR-001,营收同比,momentum,f_gr001_rev_yoy,1,fundamental,revenue_yoy（announce_date PIT）,10,0.01745,0.2244,7.417,1092,0.6016,0.03326,0.4456,5.384,166.0,0.00016,0.002,0.025,181.0,0.01795,0.2316,6.509,867.0
FCT-GR-001,营收同比,momentum,f_gr001_rev_yoy,1,fundamental,revenue_yoy（announce_date PIT）,20,0.0204,0.2593,8.568,1092,0.6163,0.05765,0.8416,10.169,166.0,-0.00637,-0.076,-0.949,181.0,0.01881,0.2444,6.87,867.0
FCT-GR-002,净利环比,momentum,f_gr002_np_yoy,1,fundamental,"代理=net_profit_yoy（原式 qoq,偏离登记）",5,0.01549,0.2055,6.796,1094,0.5777,0.0284,0.4797,5.796,166.0,0.01184,0.1314,1.641,181.0,0.01383,0.1851,5.209,867.0
FCT-GR-002,净利环比,momentum,f_gr002_np_yoy,1,fundamental,"代理=net_profit_yoy（原式 qoq,偏离登记）",10,0.02137,0.2765,9.147,1094,0.606,0.05551,1.109,13.4,166.0,0.01268,0.1329,1.659,181.0,0.01678,0.2213,6.227,867.0
FCT-GR-002,净利环比,momentum,f_gr002_np_yoy,1,fundamental,"代理=net_profit_yoy（原式 qoq,偏离登记）",20,0.02955,0.3694,12.213,1093,0.6377,0.07928,1.5484,18.709,166.0,0.00802,0.084,1.05,181.0,0.02462,0.3177,8.935,867.0
FCT-LIQ-024,底部量能节奏,liquidity,f_liq024_neg_vol_dryup,1,kline,-(5日量/60日量)（缩量代理）,5,0.04868,0.4868,16.086,1092,0.7115,0.04513,0.5331,6.442,166.0,0.06274,0.4963,6.199,181.0,0.04656,0.4821,13.551,867.0
FCT-LIQ-024,底部量能节奏,liquidity,f_liq024_neg_vol_dryup,1,kline,-(5日量/60日量)（缩量代理）,10,0.04971,0.5191,17.153,1092,0.7179,0.06124,0.6939,8.384,166.0,0.05808,0.4434,5.538,181.0,0.04593,0.5191,14.59,867.0
