pool_rank,entry_id,name,factor_class,factor_key,dir,signal_dir_mid,proxy_note,mid_ic_mean_h10,mid_ic_ir_h10,mid_ic_t_h10,mid_ndays_ic_h10,mid_pct_pos_h10,mid_ic_ir_h5,mid_ic_t_h5,mid_ic_ir_h20,mid_ic_t_h20,mid_same_sign_3h,overall_ic_ir_h10,overall_ic_t_h10,contrast_mid_vs_overall,low_ic_ir_h10,high_ic_ir_h10,high_ic_t_h10,max_abs_corr_vs_high_strong,corr_partner_high,same_source_flag,max_abs_corr_within_top10,corr_partner_top10,bdi_neutral_ic_ir_h10,bdi_neutral_ic_t_h10,mid_specific,low_power,exam_gate
1,FCT-TECH-059,历史天量,technical,f_te059_hist_volspike,-1,-1.0,"量/250日最大量（天量=顶部信号,dir=-1）",-0.07418,-0.6291,-12.613,402,0.2537,-0.62,-12.432,-0.6445,-12.922,Y,-0.7578,-23.541,0.83,-0.6133,-1.4352,-22.327,0.932,f_liq025_neg_diliang,Y,0.932,f_liq025_neg_diliang,-0.9998,-24.572,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
2,FCT-MOM-017,二进三断板,momentum,f_mom017_limit_streak,1,-1.0,"连板天数计数（pct≥9.8% 近似,登记局限）",-0.02512,-0.6124,-12.34,406,0.2537,-0.3739,-7.534,-0.8268,-16.659,Y,-0.6691,-22.131,0.915,-0.5464,-1.0522,-16.369,0.468,f_te059_hist_volspike,N,0.468,f_te059_hist_volspike,-0.5203,-14.513,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
3,FCT-LIQ-025,地量,liquidity,f_liq025_neg_diliang,1,1.0,-(量/120日最大量)（地量=低分位）,0.05754,0.5162,10.401,406,0.6995,0.4953,9.979,0.5237,10.552,Y,0.6008,19.871,0.859,0.4592,1.2606,19.61,0.932,f_te059_hist_volspike,Y,0.932,f_te059_hist_volspike,0.8067,22.673,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
4,FCT-TECH-064,ATR14,technical,f_te064_natr14,1,-1.0,ATR14/close（高波动代理）,-0.07824,-0.4696,-9.462,406,0.3276,-0.4453,-8.973,-0.5181,-10.44,Y,-0.5566,-18.41,0.844,-0.5114,-0.8076,-12.564,0.935,f_te072_neg_bollbw,Y,0.935,f_te072_neg_bollbw,-0.7309,-20.556,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
5,FCT-TECH-083,假突破统计,technical,f_te083_neg_fakebreak10,-1,1.0,10日内假突破计数（dir=-1）,0.02655,0.4223,8.51,406,0.6749,0.3367,6.785,0.4071,8.204,Y,0.3997,13.221,1.057,0.3518,0.4514,7.022,0.719,f_liq024_neg_vol_dryup,Y,0.751,f_te055_ma20_slope,0.3447,9.702,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
6,FCT-TECH-078,下方缺口不回补,technical,f_te078_unfilled_upgap20,1,-1.0,20日内未回补向上缺口数,-0.02326,-0.4204,-8.471,406,0.3227,-0.302,-6.085,-0.5504,-11.091,Y,-0.4754,-15.723,0.884,-0.4341,-0.6504,-10.118,0.716,f_te067_macd_dif,Y,0.704,f_te055_ma20_slope,-0.3752,-10.558,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
7,FCT-TECH-072,布林收口,technical,f_te072_neg_bollbw,1,1.0,-布林带宽（收口=压缩）,0.05557,0.4183,8.429,406,0.6798,0.3794,7.644,0.4813,9.698,Y,0.4889,16.171,0.856,0.476,0.631,9.816,0.935,f_te064_natr14,Y,0.935,f_te064_natr14,0.5894,16.566,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
8,FCT-TECH-073,缺口ATR分级,technical,f_te073_gap_atr,1,1.0,(开-昨收)/ATR14,0.02063,0.4147,8.355,406,0.6798,0.4056,8.173,0.4132,8.326,Y,0.4269,14.12,0.971,0.5017,0.3427,5.332,0.149,f_mom017_limit_streak,N,0.156,f_te083_neg_fakebreak10,0.4375,12.306,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
9,FCT-TECH-082,Wyckoff派发UTAD,technical,f_te082_neg_upthrust,-1,1.0,破60日高后收回下方=UT 0/1（dir=-1）,0.01672,0.3735,7.526,406,0.6872,0.362,7.293,0.4139,8.34,Y,0.424,14.025,0.881,0.3178,0.7697,11.974,0.666,f_te067_macd_dif,N,0.655,f_liq025_neg_diliang,0.2477,6.824,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
10,FCT-TECH-055,20日均线趋势判定,technical,f_te055_ma20_slope,1,-1.0,MA20 5日斜率（趋势方向代理）,-0.04413,-0.3546,-7.146,406,0.3695,-0.2617,-5.274,-0.3855,-7.767,Y,-0.3154,-10.431,1.124,-0.1871,-0.5,-7.779,0.947,f_te067_macd_dif,Y,0.751,f_te083_neg_fakebreak10,-0.2168,-6.095,N,False,G1_mid_cond_narrowest+G2_E4_W2.3+G3_DSR0.5_Neff10
