panel,signal,horizon,period,bucket,n_days,ic_mean,ic_ir,t_stat,ic_pos_rate
clean_442_main,S1_mom5,5,ALL,ALL,995,0.0313125679704057,0.0966088637717393,3.0473933445602595,0.5587939698492462
clean_442_main,S1_mom5,5,IS,ALL,583,0.0333372309668697,0.1020150682425179,2.463193908036967,0.5626072041166381
clean_442_main,S1_mom5,5,IS,LOW,239,0.0376659072513333,0.1213256516626352,1.875649057413401,0.5732217573221757
clean_442_main,S1_mom5,5,IS,MID,175,0.0566331562988813,0.1814015949593662,2.399717538464756,0.5942857142857143
clean_442_main,S1_mom5,5,IS,HIGH,169,0.0030926122385335,0.0085461741861302,0.1111002644196927,0.514792899408284
clean_442_main,S1_mom5,5,OOS,ALL,412,0.0284475715457976,0.0887117376486045,1.8006516118931928,0.5533980582524272
clean_442_main,S1_mom5,5,OOS,LOW,92,0.0071842485755164,0.0268694580107842,0.2577227874848927,0.5543478260869565
clean_442_main,S1_mom5,5,OOS,MID,194,0.0193550490365861,0.0628798657585365,0.875815185102111,0.5412371134020618
clean_442_main,S1_mom5,5,OOS,HIGH,126,0.0579727705938365,0.1558105042080804,1.7489685720214092,0.5714285714285714
clean_442_main,S1_mom5,10,ALL,ALL,990,0.0179798114867679,0.0560685417545278,1.7641554808843911,0.5222222222222223
clean_442_main,S1_mom5,10,IS,ALL,583,0.0137034644831357,0.0437775018469711,1.0570249838209074,0.5300171526586621
clean_442_main,S1_mom5,10,IS,LOW,239,0.0179991875950816,0.0633537198726406,0.9794247410529014,0.5564853556485355
clean_442_main,S1_mom5,10,IS,MID,175,0.0145512218983633,0.0465662434956411,0.6160134988997282,0.5428571428571428
clean_442_main,S1_mom5,10,IS,HIGH,169,0.0067505924628997,0.0191789205039241,0.2493259665510136,0.4792899408284023
clean_442_main,S1_mom5,10,OOS,ALL,407,0.024105389627106,0.0726897953085293,1.4664614489281087,0.5110565110565111
clean_442_main,S1_mom5,10,OOS,LOW,92,0.0249117215387478,0.0946851556753315,0.9081881087550544,0.5652173913043478
clean_442_main,S1_mom5,10,OOS,MID,189,0.0157822056493242,0.0471586227950493,0.6483238758845502,0.4973544973544973
clean_442_main,S1_mom5,10,OOS,HIGH,126,0.0360014153090879,0.0968771332795718,1.0874431240349811,0.492063492063492
clean_442_main,S1_mom5,20,ALL,ALL,980,0.0140722242903127,0.0422062429290589,1.321264395699438,0.5173469387755102
clean_442_main,S1_mom5,20,IS,ALL,583,-0.0015474632718663,-0.004836192232359,-0.1167717617609518,0.5008576329331046
clean_442_main,S1_mom5,20,IS,LOW,239,0.0131207608614956,0.043983292383678,0.6799651992043696,0.5271966527196653
clean_442_main,S1_mom5,20,IS,MID,175,-0.0114383251224204,-0.0357534959173868,-0.4729742934928437,0.5028571428571429
clean_442_main,S1_mom5,20,IS,HIGH,169,-0.0120492664909583,-0.0344835551027223,-0.448286216335391,0.4615384615384615
clean_442_main,S1_mom5,20,OOS,ALL,397,0.0370099518690291,0.1053280228284216,2.098645987297278,0.5415617128463476
clean_442_main,S1_mom5,20,OOS,LOW,92,0.0512266219861603,0.1849968071763322,1.7744270391369177,0.5869565217391305
clean_442_main,S1_mom5,20,OOS,MID,181,0.0686655507323476,0.1925301201195204,2.590227853825969,0.574585635359116
clean_442_main,S1_mom5,20,OOS,HIGH,124,-0.0197448630102993,-0.0510223368956551,-0.5681606981518725,0.4596774193548387
clean_442_main,S2_mom10,5,ALL,ALL,990,0.0177509857670776,0.0546732201486814,1.7202527114967523,0.5282828282828282
clean_442_main,S2_mom10,5,IS,ALL,578,0.0157487512332414,0.0493158956502256,1.185634543975132,0.5224913494809689
clean_442_main,S2_mom10,5,IS,LOW,237,0.0276541256663951,0.0987949912667206,1.520929558183338,0.5232067510548524
clean_442_main,S2_mom10,5,IS,MID,172,0.0073769980416268,0.0239295438282443,0.3138330251366047,0.5348837209302325
clean_442_main,S2_mom10,5,IS,HIGH,169,0.007573412820817,0.0200191642174664,0.2602491348270632,0.5088757396449705
clean_442_main,S2_mom10,5,OOS,ALL,412,0.0205599458655176,0.0618570911050144,1.2555618203136445,0.5364077669902912
clean_442_main,S2_mom10,5,OOS,LOW,92,-0.0064120115400094,-0.0247254757536261,-0.2371584320962891,0.5
clean_442_main,S2_mom10,5,OOS,MID,194,0.0249926379373105,0.0737928649028916,1.0278156744532678,0.5670103092783505
clean_442_main,S2_mom10,5,OOS,HIGH,126,0.033428817447904,0.0904999724852994,1.0158596716573778,0.5158730158730159
clean_442_main,S2_mom10,10,ALL,ALL,985,0.0145530065013721,0.0439893585673209,1.3805932464548956,0.516751269035533
clean_442_main,S2_mom10,10,IS,ALL,578,0.0069432095718046,0.021459174947181,0.5159135562098859,0.5190311418685121
clean_442_main,S2_mom10,10,IS,LOW,237,0.0029087758656946,0.0098053710345035,0.1509517683449078,0.5063291139240507
clean_442_main,S2_mom10,10,IS,MID,172,-0.0103643352488181,-0.0330937452828742,-0.4340204004627138,0.5058139534883721
clean_442_main,S2_mom10,10,IS,HIGH,169,0.0302157450599418,0.0821695308253084,1.0682039007290092,0.5502958579881657
clean_442_main,S2_mom10,10,OOS,ALL,407,0.0253600399787432,0.0743682937365466,1.5003238807361263,0.5135135135135135
clean_442_main,S2_mom10,10,OOS,LOW,92,0.0356841946875458,0.1414150523338977,1.356405531707649,0.5108695652173914
clean_442_main,S2_mom10,10,OOS,MID,189,0.0467201692808877,0.1365125424569159,1.8767371773590704,0.5502645502645502
