horizon_days,lag,tier,n,mean_fwd_ret,std_fwd_ret,rho,verdict,significance,verdict_reason
1,0,-2,4057,-0.000212,0.021241,0.8,valid,ok,rho_ge_0.8_direction_correct
1,0,-1,500,0.000674,0.015357,0.8,valid,ok,rho_ge_0.8_direction_correct
1,0,0,3386,0.001604,0.025874,0.8,valid,ok,rho_ge_0.8_direction_correct
1,0,1,485,0.001028,0.022536,0.8,valid,ok,rho_ge_0.8_direction_correct
5,0,-2,4057,4.5e-05,0.05476,0.8,valid,ok,rho_ge_0.8_direction_correct
5,0,-1,500,0.002086,0.030096,0.8,valid,ok,rho_ge_0.8_direction_correct
5,0,0,3386,0.007515,0.066075,0.8,valid,ok,rho_ge_0.8_direction_correct
5,0,1,485,0.004721,0.053101,0.8,valid,ok,rho_ge_0.8_direction_correct
10,0,-2,4057,0.000911,0.080746,0.8,valid,ok,rho_ge_0.8_direction_correct
10,0,-1,500,0.006839,0.040507,0.8,valid,ok,rho_ge_0.8_direction_correct
10,0,0,3386,0.013903,0.098947,0.8,valid,ok,rho_ge_0.8_direction_correct
10,0,1,485,0.011884,0.091496,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,-2,4057,0.003598,0.109632,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,-1,500,0.010415,0.067886,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,0,3386,0.027185,0.149254,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,1,485,0.024879,0.172642,0.8,valid,ok,rho_ge_0.8_direction_correct
1,1,-2,4057,-0.000152,0.021219,0.8,valid,ok,rho_ge_0.8_direction_correct
1,1,-1,500,0.000322,0.01867,0.8,valid,ok,rho_ge_0.8_direction_correct
1,1,0,3386,0.001664,0.0256,0.8,valid,ok,rho_ge_0.8_direction_correct
1,1,1,485,0.000472,0.022311,0.8,valid,ok,rho_ge_0.8_direction_correct
5,1,-2,4057,0.000431,0.055199,0.8,valid,ok,rho_ge_0.8_direction_correct
5,1,-1,500,0.002635,0.030153,0.8,valid,ok,rho_ge_0.8_direction_correct
5,1,0,3386,0.007023,0.065469,0.8,valid,ok,rho_ge_0.8_direction_correct
5,1,1,485,0.00442,0.054928,0.8,valid,ok,rho_ge_0.8_direction_correct
10,1,-2,4057,0.001321,0.080823,0.8,valid,ok,rho_ge_0.8_direction_correct
10,1,-1,500,0.007115,0.041702,0.8,valid,ok,rho_ge_0.8_direction_correct
10,1,0,3386,0.013572,0.098793,0.8,valid,ok,rho_ge_0.8_direction_correct
10,1,1,485,0.010565,0.09197,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,-2,4057,0.004098,0.109958,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,-1,500,0.011002,0.075032,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,0,3386,0.02641,0.148357,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,1,485,0.025679,0.173845,0.8,valid,ok,rho_ge_0.8_direction_correct
