trade_date,news_count,sentiment_index,quintile_tier,window
2010-01-04,2834,0.004926,2,exam
2010-01-05,1228,0.013681,5,exam
2010-01-06,2850,0.006765,3,exam
2010-01-07,1116,0.007957,3,exam
2010-01-08,1145,0.008769,3,exam
2010-01-11,2978,0.002149,1,exam
2010-01-12,1215,0.014815,5,exam
2010-01-13,1100,0.004291,2,exam
2010-01-14,979,0.006456,2,exam
2010-01-15,972,0.010864,4,exam
2010-01-18,2970,0.00431,2,exam
2010-01-19,938,0.012921,4,exam
2010-01-20,1075,0.008149,3,exam
2010-01-21,1255,0.001753,1,exam
2010-01-22,1240,0.004161,2,exam
2010-01-25,3090,0.001709,1,exam
2010-01-26,1064,0.003459,2,exam
2010-01-27,1214,0.006985,3,exam
2010-01-28,1142,0.002102,1,exam
2010-01-29,1194,0.001139,1,exam
2010-02-01,3241,0.002999,1,exam
2010-02-02,1149,0.007937,3,exam
2010-02-03,1054,-0.002049,1,exam
2010-02-04,921,0.008252,3,exam
2010-02-05,1001,0.004316,2,exam
2010-02-08,4718,0.001272,1,exam
2010-02-09,1009,0.004718,2,exam
2010-02-10,1020,0.006,2,exam
2010-02-11,879,0.011923,4,exam
2010-02-12,747,0.005248,2,exam
2010-02-22,2836,0.003258,2,exam
2010-02-23,736,0.008152,3,exam
2010-02-24,883,0.006569,2,exam
2010-02-25,1033,0.009255,3,exam
2010-02-26,1039,0.008431,3,exam
2010-03-01,3018,0.003048,1,exam
2010-03-02,1214,0.004646,2,exam
2010-03-03,1107,0.005059,2,exam
2010-03-04,1047,0.008596,3,exam
2010-03-05,1100,0.003345,2,exam
2010-03-08,4818,0.002217,1,exam
2010-03-09,928,0.016681,5,exam
2010-03-10,1030,0.012699,4,exam
2010-03-11,928,0.007888,3,exam
2010-03-12,862,0.001021,1,exam
2010-03-15,3002,0.001919,1,exam
2010-03-16,979,0.006292,2,exam
2010-03-17,917,0.011734,4,exam
2010-03-18,1080,0.005481,2,exam
2010-03-19,968,0.008802,3,exam
2010-03-22,2938,0.00113,1,exam
2010-03-23,1061,0.002413,1,exam
2010-03-24,995,0.008643,3,exam
2010-03-25,1021,0.008541,3,exam
2010-03-26,1052,0.006008,2,exam
2010-03-29,3305,0.002808,1,exam
2010-03-30,1022,0.00908,3,exam
2010-03-31,984,0.007805,3,exam
2010-04-01,1055,0.005498,2,exam
2010-04-02,1052,0.012662,4,exam
2010-04-06,4675,0.002036,1,exam
2010-04-07,993,0.010916,4,exam
2010-04-08,1021,0.008071,3,exam
2010-04-09,1079,0.00456,2,exam
2010-04-12,3133,0.003677,2,exam
2010-04-13,1128,0.006809,3,exam
2010-04-14,1056,0.009394,3,exam
2010-04-15,1094,0.004863,2,exam
2010-04-16,1798,0.005406,2,exam
2010-04-19,3295,0.000971,1,exam
2010-04-20,1279,-0.001658,1,exam
2010-04-21,1222,0.006481,2,exam
2010-04-22,1278,0.007512,3,exam
2010-04-23,1286,0.002706,1,exam
2010-04-26,3561,0.001651,1,exam
2010-04-27,1257,0.004041,2,exam
2010-04-28,1250,-0.00176,1,exam
2010-04-29,1257,0.003628,2,exam
2010-04-30,1236,0.00521,2,exam
2010-05-04,2725,0.000646,1,exam
2010-05-05,920,0.003522,2,exam
2010-05-06,973,0.006249,2,exam
2010-05-07,945,-0.003048,1,exam
2010-05-10,5024,0.00051,1,exam
2010-05-11,1135,0.009903,4,exam
2010-05-12,1055,0.002047,1,exam
2010-05-13,1117,0.013071,4,exam
2010-05-14,1059,0.011822,4,exam
2010-05-17,3186,0.00118,1,exam
2010-05-18,1178,0.005365,2,exam
2010-05-19,1112,0.008273,3,exam
2010-05-20,1158,0.006701,2,exam
2010-05-21,1280,0.00275,1,exam
2010-05-24,3023,0.003136,1,exam
2010-05-25,1127,0.017178,5,exam
2010-05-26,1054,0.008425,3,exam
2010-05-27,981,0.014108,5,exam
2010-05-28,1111,0.014725,5,exam
2010-05-31,3228,0.003594,2,exam
2010-06-01,1141,0.003821,2,exam
2010-06-02,1209,0.010984,4,exam
2010-06-03,1187,0.004886,2,exam
2010-06-04,1179,0.005971,2,exam
2010-06-07,5052,-9.5e-05,1,exam
2010-06-08,1297,0.00074,1,exam
2010-06-09,1180,0.010475,4,exam
2010-06-10,1169,0.013516,4,exam
2010-06-11,1061,0.007691,3,exam
2010-06-17,3192,0.003609,2,exam
2010-06-18,1386,0.005512,2,exam
2010-06-21,3135,0.003547,2,exam
2010-06-22,1156,0.017612,5,exam
2010-06-23,1115,0.006422,2,exam
2010-06-24,1005,0.007443,3,exam
2010-06-25,1027,0.00631,2,exam
2010-06-28,3204,0.00216,1,exam
2010-06-29,1175,0.002689,1,exam
2010-06-30,1233,-0.000746,1,exam
2010-07-01,1201,0.004963,2,exam
2010-07-02,1078,0.009239,3,exam
