horizon_days,lag,tier,n,mean_fwd_ret,std_fwd_ret,rho,verdict,significance,verdict_reason
1,0,1,704,-0.000104,0.015638,0.5,pending,ok,0.5<=rho<0.8
1,0,2,703,-0.000254,0.013669,0.5,pending,ok,0.5<=rho<0.8
1,0,3,704,0.000379,0.011313,0.5,pending,ok,0.5<=rho<0.8
1,0,4,703,-0.000216,0.011172,0.5,pending,ok,0.5<=rho<0.8
1,0,5,704,0.000442,0.010549,0.5,pending,ok,0.5<=rho<0.8
5,0,1,704,0.000378,0.036617,0.6,pending,ok,0.5<=rho<0.8
5,0,2,703,-0.002191,0.02864,0.6,pending,ok,0.5<=rho<0.8
5,0,3,704,0.001849,0.025648,0.6,pending,ok,0.5<=rho<0.8
5,0,4,703,0.000393,0.026453,0.6,pending,ok,0.5<=rho<0.8
5,0,5,704,0.000987,0.024356,0.6,pending,ok,0.5<=rho<0.8
10,0,1,704,-0.000401,0.048846,0.5,pending,ok,0.5<=rho<0.8
10,0,2,703,-0.003026,0.041666,0.5,pending,ok,0.5<=rho<0.8
10,0,3,704,0.002785,0.037924,0.5,pending,ok,0.5<=rho<0.8
10,0,4,703,0.002692,0.037334,0.5,pending,ok,0.5<=rho<0.8
10,0,5,704,0.001112,0.036422,0.5,pending,ok,0.5<=rho<0.8
20,0,1,704,-0.001534,0.067785,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,2,703,-0.003949,0.057026,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,3,704,0.001514,0.058516,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,4,703,0.005789,0.057175,0.8,valid,ok,rho_ge_0.8_direction_correct
20,0,5,704,0.004974,0.051007,0.8,valid,ok,rho_ge_0.8_direction_correct
1,1,1,704,-0.000171,0.015244,0.6,pending,ok,0.5<=rho<0.8
1,1,2,703,-0.00069,0.012815,0.6,pending,ok,0.5<=rho<0.8
1,1,3,704,0.00059,0.012091,0.6,pending,ok,0.5<=rho<0.8
1,1,4,703,0.000202,0.011776,0.6,pending,ok,0.5<=rho<0.8
1,1,5,704,0.000289,0.010646,0.6,pending,ok,0.5<=rho<0.8
5,1,1,704,-0.000125,0.03484,0.5,pending,ok,0.5<=rho<0.8
5,1,2,703,-0.002372,0.029948,0.5,pending,ok,0.5<=rho<0.8
5,1,3,704,0.001992,0.025977,0.5,pending,ok,0.5<=rho<0.8
5,1,4,703,0.00151,0.026713,0.5,pending,ok,0.5<=rho<0.8
5,1,5,704,0.000497,0.024698,0.5,pending,ok,0.5<=rho<0.8
10,1,1,704,-0.000356,0.048083,0.6,pending,ok,0.5<=rho<0.8
10,1,2,703,-0.002558,0.040738,0.6,pending,ok,0.5<=rho<0.8
10,1,3,704,0.001959,0.039982,0.6,pending,ok,0.5<=rho<0.8
10,1,4,703,0.003137,0.038291,0.6,pending,ok,0.5<=rho<0.8
10,1,5,704,0.000981,0.03533,0.6,pending,ok,0.5<=rho<0.8
20,1,1,704,-0.001367,0.06656,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,2,703,-0.00398,0.057037,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,3,704,0.001044,0.05858,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,4,703,0.006725,0.058365,0.8,valid,ok,rho_ge_0.8_direction_correct
20,1,5,704,0.004448,0.051041,0.8,valid,ok,rho_ge_0.8_direction_correct
