sym,model,window,n_rt,n_days,threshold_bp,headline_net_p50,pass_day_ratio,daily_p25,daily_p75,rt_move_p50,rt_gross_p50,efficiency_p50,sens_impact_x2,bucket_L_net_p50,bucket_M_net_p50,bucket_H_net_p50,verdict
510300,M1,full_2025-01-02..2026-09-18,1560,365,12.0,-18.581,0.1178,-26.23,-6.39,-8.703,-17.78,1.3236,-23.261,-16.444,-19.158,-18.971,FAIL
510300,M2,quote_era_per_card(>=2026-07-01/07-10),1560,365,12.0,-18.442,0.1205,-26.22,-6.39,-8.703,-17.608,1.3215,-23.122,-16.687,-18.987,-18.708,FAIL
510300,M3,"depth5_days(4-8d, disclosure only)",223,8,12.0,-8.545,0.0,-8.58,-8.54,2.156,-6.842,-0.3904,-13.225,-8.592,-8.541,,DISCLOSURE_ONLY
300561,M1,full_2025-01-02..2026-09-18,1524,403,17.0,-41.615,0.2382,-74.16,10.08,-26.98,-45.195,1.0996,-46.295,-25.455,-48.655,-45.75,FAIL
300561,M2,quote_era_per_card(>=2026-07-01/07-10),1524,403,17.0,-42.014,0.2357,-75.85,10.08,-26.98,-45.019,1.0938,-46.694,-23.752,-49.033,-47.289,FAIL
300561,M3,"depth5_days(4-8d, disclosure only)",85,4,17.0,-11.389,0.0,-12.96,-5.69,12.698,-4.681,0.4517,-16.069,-11.389,11.389,,DISCLOSURE_ONLY
300469,M1,full_2025-01-02..2026-09-18,1710,414,17.0,-40.733,0.2512,-70.39,17.5,-30.524,-39.834,1.0794,-45.413,-32.912,-43.507,-35.598,FAIL
300469,M2,quote_era_per_card(>=2026-07-01/07-10),1710,414,17.0,-40.683,0.256,-69.05,18.54,-30.524,-39.501,1.0759,-45.363,-31.477,-42.503,-39.911,FAIL
300469,M3,"depth5_days(4-8d, disclosure only)",117,4,17.0,-15.435,0.0,-18.71,-14.92,0.0,-8.749,0.8388,-20.115,-15.417,-28.492,,DISCLOSURE_ONLY
510300,M2qe,quote_era_official(>=2026-07-01/07-10),89,27,12.0,-16.643,0.2222,-25.78,-6.28,-8.667,-15.48,1.0092,-21.323,-11.778,-19.075,-15.033,FAIL
300561,M2qe,quote_era_official(>=2026-07-01/07-10),230,56,17.0,-58.549,0.1786,-99.58,-14.94,-48.951,-72.513,1.0996,-63.229,-23.534,-57.022,-78.383,FAIL
300469,M2qe,quote_era_official(>=2026-07-01/07-10),215,55,17.0,-41.07,0.2545,-64.95,13.72,-25.58,-33.203,1.0,-45.75,-28.612,-41.338,-41.07,FAIL
