cid,entry_id,name,family,column,direction,is_rep,dup_of,n_eff,is_gross_excess_bp_day,oos_gross_excess_bp_day,oos_gross_abs_bp_day,reversed_direction_ref_bp_day,dsr_oos_net,dsr_error,oos_net_sharpe,is_net_sharpe,avg_turnover_1side,oos_days,gate_margin,gate_dsr,gate_days,verdict,error,precheck_ic_mean,precheck_incr_ic_mean
P3-B2-IND-STAT-001,IND-STAT-001,CORREL,statistics,correl_30,long_low,True,,3,-2.998,9.884,16.541,-9.884,0.6223,,0.718,-0.606,0.1719,655,True,True,True,PASS,,-0.03514,-0.01053
P3-B2-IND-STAT-002,IND-STAT-002,BETA,statistics,beta_30,long_low,True,,3,-5.319,8.401,15.059,-8.401,0.6348,,0.73,-0.507,0.1148,655,True,True,True,PASS,,-0.01911,0.01985
P3-B2-IND-STAT-004,IND-STAT-004,ROLLVAR,statistics,var_20,long_low,True,,3,4.97,2.412,9.07,-2.412,0.7092,,0.859,0.672,0.1014,655,False,True,True,RED,,-0.07374,0.03937
P3-B2-IND-VOLUME-001,IND-VOLUME-001,OBV,volume,obv,long_low,True,,12,-2.419,-1.55,5.107,1.55,0.181,,0.462,-0.081,0.0488,655,False,False,True,RED,,-0.01859,-0.01013
P3-B2-IND-VOLUME-002,IND-VOLUME-002,MFI,volume,mfi_14,long_low,True,,12,-3.108,0.28,6.938,-0.28,0.0073,,-0.473,-1.244,0.401,655,False,False,True,RED,,-0.02721,-0.00066
P3-B2-IND-VOLUME-004,IND-VOLUME-004,VR,volume,vr_26,long_low,True,,12,0.464,3.032,9.69,-3.032,0.0415,,-0.042,-0.645,0.3416,655,True,False,True,RED,,-0.0328,-0.00485
P3-B2-IND-VOLUME-005,IND-VOLUME-005,AD,volume,ad,long_low,True,,12,-2.379,-2.53,4.127,2.53,0.1435,,0.366,0.009,0.0243,655,False,False,True,RED,,-0.01323,0.0098
P3-B2-IND-VOLUME-006,IND-VOLUME-006,PVT,volume,pvt,long_low,True,,12,0.359,-4.41,2.247,4.41,0.0753,,0.139,0.365,0.0361,655,False,False,True,RED,,-0.03036,-0.01132
P3-B2-IND-VOLUME-007,IND-VOLUME-007,WVAD,volume,wvad_24,long_low,True,,12,-4.569,-2.358,4.299,2.358,0.0179,,-0.264,-0.904,0.2104,655,False,False,True,RED,,-0.03702,0.01338
P3-B2-IND-VOLUME-009,IND-VOLUME-009,ADOSC,volume,adosc,long_low,True,,12,22.96,11.608,18.265,-11.608,0.1152,,0.287,2.324,0.1095,655,True,False,True,RED,,-0.1058,0.00055
P3-B2-IND-VOLUME-010,IND-VOLUME-010,EOM,volume,eom_14,long_low,True,,12,-3.319,3.345,10.002,-3.345,0.1248,,0.314,-0.402,0.1754,655,True,False,True,RED,,-0.03472,0.02308
P3-B2-IND-VOLUME-011,IND-VOLUME-011,KVO,volume,kvo,long_low,True,,12,-8.885,-6.709,-0.051,6.709,0.0091,,-0.424,-1.146,0.1532,655,False,False,True,RED,,-0.01027,0.01286
P3-B2-IND-VOLUME-012,IND-VOLUME-012,NVI,volume,nvi,long_high,True,,12,2.597,-13.675,-7.017,13.675,0.0006,,-1.005,-0.902,0.0408,655,False,False,True,RED,,0.01593,0.01445
P3-B2-IND-VOLUME-013,IND-VOLUME-013,PVI,volume,pvi,long_low,True,,12,0.212,-6.648,0.009,6.648,0.0385,,-0.063,0.236,0.0437,655,False,False,True,RED,,-0.04367,-0.00582
P3-B2-IND-VOLUME-014,IND-VOLUME-014,FORCE_INDEX,volume,fi_13,long_low,True,,12,-19.467,-16.816,-10.158,16.816,0.0001,,-1.309,-2.084,0.2382,655,False,False,True,RED,,-0.04781,0.01489
P3-B2-IND-VOLUME-003,IND-VOLUME-003,VWAP,volume,vwap,long_low,False,P3-B2-IND-STAT-004,3,4.97,2.412,9.07,-2.412,0.7092,,0.859,0.672,0.1014,655,False,True,True,RED,,-0.04693,-0.00705
P3-B2-IND-VOLUME-008,IND-VOLUME-008,VWMA,volume,vwma_20,long_low,False,P3-B2-IND-STAT-004,3,4.97,2.412,9.07,-2.412,0.7092,,0.859,0.672,0.1014,655,False,True,True,RED,,-0.0568,-0.00745
P3-B2-IND-STAT-003,IND-STAT-003,LINEARREG,statistics,linearreg_14,long_low,False,P3-B2-IND-STAT-004,3,4.97,2.412,9.07,-2.412,0.7092,,0.859,0.672,0.1014,655,False,True,True,RED,,-0.05895,-0.00542
