子类,路径/标识,大小字节,mtime,层①安全,层②无人用,层③无价值,判决,证据摘要
2-CAS-tmp,data/telemetry/.watchdog_heartbeat_wd-asset-inventory.tmp,103,2026-09-06 09:18:05,"是-看门狗只读正本(.watchdog_heartbeat_{id}),tmp 从不进协议",是-写者 watchdog.py:53 固定名写正本;tmp 为 09-06 09:18 一次未落盘的崩溃写,"是-临时态心跳(时间戳数据),正本同日09:01且已停跳12天,对端过期阈值1800s,零回放价值",可删(临时态),md5_equal=False; 正本mtime=2026-09-06 09:01:47; tmp较正本新16分钟但为心跳临时态
2-CAS-tmp,config/.trading_decision_map.yaml_4fo9pjcz.tmp,233757,2026-09-16 21:14:41,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:19:45>2026-09-16 21:14:41),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=config/trading_decision_map.yaml; md5_equal=False
2-CAS-tmp,config/.trading_decision_map.yaml_63t60igr.tmp,236117,2026-09-16 21:53:02,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:19:45>2026-09-16 21:53:02),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=config/trading_decision_map.yaml; md5_equal=False
2-CAS-tmp,config/.trading_decision_map.yaml_7pgmmej1.tmp,233454,2026-09-16 21:00:46,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:19:45>2026-09-16 21:00:46),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=config/trading_decision_map.yaml; md5_equal=False
2-CAS-tmp,config/.trading_decision_map.yaml_lk9xz_60.tmp,236117,2026-09-16 21:41:25,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:19:45>2026-09-16 21:41:25),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=config/trading_decision_map.yaml; md5_equal=False
2-CAS-tmp,config/.trading_decision_map.yaml_q_fcghbb.tmp,233003,2026-09-16 19:08:11,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:19:45>2026-09-16 19:08:11),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=config/trading_decision_map.yaml; md5_equal=False
2-CAS-tmp,config/.trading_decision_map.yaml_u2ljta3y.tmp,236117,2026-09-16 21:41:16,"是-gitignore:*.tmp未追踪,mkstemp CAS随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:19:45>2026-09-16 21:41:16),该次写已被后续成功写取代",可删,mkstemp CAS; 正本=config/trading_decision_map.yaml; md5_equal=False
2-CAS-tmp,config/crisis_gate.yaml.24676.tmp,289,2026-09-18 02:17:33,"是-gitignore:*.tmp未追踪,pid风格随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 02:54:01>2026-09-18 02:17:33),该次写已被后续成功写取代",可删,pid风格; 正本=config/crisis_gate.yaml; md5_equal=False
2-CAS-tmp,data/.metrics_prom_2yq2l90o.tmp,33704,2026-09-04 10:12:43,"是-gitignore:*.tmp未追踪,特殊映射随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:35>2026-09-04 10:12:43),该次写已被后续成功写取代",可删,特殊映射; 正本=data/metrics.prom; md5_equal=False
2-CAS-tmp,data/.metrics_prom_uqsqo1qb.tmp,2243,2026-08-19 10:35:56,"是-gitignore:*.tmp未追踪,特殊映射随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-18 03:24:35>2026-08-19 10:35:56),该次写已被后续成功写取代",可删,特殊映射; 正本=data/metrics.prom; md5_equal=False
2-CAS-tmp,data/governance/watchdog_state.json.64804.tmp,0,2026-06-23 13:53:10,"是-gitignore:*.tmp未追踪,pid风格随机名无代码引用,目录加载glob(*.yaml)不匹配点前缀",是-全仓无固定名引用(随机名不可引用);特殊写者(metrics.prom/watchdog/crisis_gate)逐一核验只读正本,"是-正本更新(2026-09-17 00:21:26>2026-06-23 13:53:10),该次写已被后续成功写取代",可删,pid风格; 正本=data/governance/watchdog_state.json; md5_equal=False
