strategy_id,source_file,status,error,window_full,n_folds,wfa_sharpe_mean,wfa_positive_ratio,stitched_sharpe_h2,stitched_sharpe_gross,stitched_mdd_h2,oos_sharpe_h2,oos_sharpe_gross,oos_mdd_h2,oos_days,oos_ann_turnover_1side,oos_cost_bps_per_day_slip,oos_cost_bps_per_day_impact,oos_cost_bps_per_day_comm,oos_ann_drag_slip,oos_ann_drag_impact,oos_ann_drag_comm,sharpe_gross_only,sharpe_net_ex_slip,sharpe_net_ex_impact,sharpe_net_ex_comm,dsr_eff,dsr_band,n_trials_used,exam_verdict,verdict_reasons,gate_overall_passed,gate_wfa_windows,gate_oos_is_ratio,adv_sources,elapsed_s
CAND-12286499cb19,scripts/backtest/translated/c4_12286499cb19_rsrs_60m.py,ok,,2020-01-01..2025-08-31,8,-0.1231,0.25,-0.1146,-0.0595,-0.3306,0.9506,0.9834,-0.1296,403,2.12,0.081,0.0,0.12,0.002,0.0,0.0029,0.9834,0.9702,0.9833,0.9639,0.133,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",2.7
CAND-dc5b80aa3614,scripts/backtest/translated/c4_dc5b80aa3614_tsmall100.py,ok,,2020-01-01..2025-08-31,8,1.2723,0.625,0.7571,0.9193,-0.4274,0.767,0.9171,-0.4224,403,9.79,1.005,0.003,1.22,0.0245,0.0001,0.0298,0.9171,0.8521,0.909,0.8382,0.0747,overfitting,67,存疑,"各硬线全过, 仅存边际存疑项(fail-closed, 不构成放行) | WFA门控多数通过但60%稳定性边际未达(正折占比相关见overfitting reasons: ['Walk-Forward Sharpe变异系数1.51超过阈值1.50', 'Walk-Forward存在灾难fold(最低Sharpe=-0.94<-0.50)'])",False,5/8,0.7195,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",1359.9
CAND-fd47fa0e6401,scripts/backtest/translated/c4_fd47fa0e6401_macd_resonance.py,ok,,2020-01-01..2025-08-31,8,-0.3789,0.375,-0.314,1.0135,-0.6278,0.5311,1.771,-0.3118,403,123.7,10.123,0.095,7.247,0.247,0.0022,0.1768,1.771,1.0981,1.6792,1.2895,0.0434,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 4540, ""index"": 0, ""etf"": 0, ""proxy"": 0}",819.4
CAND-5efe26d1992e,scripts/backtest/translated/c4_5efe26d1992e_rsrs_timing.py,ok,,2020-01-01..2025-08-31,8,-0.0276,0.375,-0.0424,0.013,-0.29,0.8624,0.9058,-0.1511,403,2.72,0.105,0.0,0.154,0.0026,0.0,0.0038,0.9058,0.8883,0.9058,0.88,0.1087,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",1.5
CAND-7f7e5f935dfc,scripts/backtest/translated/c4_7f7e5f935dfc_dmi_timing.py,ok,,2020-01-01..2025-08-31,8,0.5785,0.625,0.4283,0.497,-0.1879,0.6968,0.7702,-0.1879,403,4.54,0.174,0.0,0.257,0.0043,0.0,0.0063,0.7702,0.7406,0.7702,0.7265,0.0717,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",0.9
CAND-9ce75aa27ce5,scripts/backtest/translated/c4_9ce75aa27ce5_bluechip_ma.py,ok,,2020-01-01..2025-08-31,8,-0.0619,0.375,-0.1734,0.2959,-0.4315,0.5685,0.9906,-0.2457,403,34.63,1.784,0.009,1.961,0.0435,0.0002,0.0478,0.9906,0.7902,0.9896,0.7703,0.049,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 493, ""index"": 0, ""etf"": 0, ""proxy"": 0}",83.2
CAND-c72318f2da1c,scripts/backtest/translated/c4_c72318f2da1c_bias_ql.py,ok,,2020-01-01..2025-08-31,8,-0.6061,0.25,-0.9523,-0.0576,-0.5892,0.08,0.8654,-0.2188,403,41.71,2.199,0.005,4.046,0.0536,0.0001,0.0987,0.8654,0.5893,0.8648,0.3568,0.0112,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 493, ""index"": 0, ""etf"": 0, ""proxy"": 0}",93.6
CAND-6485e4cd0844,scripts/backtest/translated/c4_6485e4cd0844_kdj_timing.py,ok,,2020-01-01..2025-08-31,8,-0.444,0.25,-0.0156,0.0837,-0.2486,0.3803,0.4543,-0.1178,403,4.24,0.163,0.0,0.24,0.004,0.0,0.0059,0.4543,0.4245,0.4543,0.4102,0.0299,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",2.1
CAND-f284270f0ef0,scripts/backtest/translated/c4_f284270f0ef0_macd_timing.py,ok,,2020-01-01..2025-08-31,8,0.2134,0.5,0.055,0.2346,-0.2059,0.5234,0.6731,-0.1772,403,9.69,0.372,0.0,0.549,0.0091,0.0,0.0134,0.6731,0.6127,0.673,0.5839,0.0449,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 0, ""index"": 1, ""etf"": 0, ""proxy"": 0}",0.3
CAND-311220235636,scripts/backtest/translated/c4_311220235636_slater_value.py,ok,,2020-01-01..2025-08-31,8,0.7042,0.25,0.0433,0.0562,-0.2954,0.5055,0.7551,-0.2037,403,4.83,0.286,0.001,1.65,0.007,0.0,0.0402,0.7551,0.7221,0.7298,0.5651,0.041,overfitting,67,不通过,"WFA阶段未通过(通过折数=0/0, 灾难回撤=False); 按IS→WFA→OOS不可跳级语义判不通过",False,0/0,0.0,"{""stock"": 5128, ""index"": 0, ""etf"": 0, ""proxy"": 0}",3536.6
