kind,signal_time_bj,direction,limit_price,filled,entry_time_bj,exit_time_bj,holding_bars,gross_margin_bp,month,rsi14_self,new_low20,vol_ratio,prev_day_index_rsi,confirm_rsi
resonance,2023-08-23 14:45:00+08:00,long,3.772,1,2023-08-23 15:00:00+08:00,2023-08-23 15:00:00+08:00,0.0,-10.604,2023-08,35.16,True,2.16,34.98,33.84
resonance,2023-10-20 09:45:00+08:00,long,3.594,1,2023-10-20 10:00:00+08:00,2023-10-20 13:30:00+08:00,8.0,-47.301,2023-10,15.25,True,1.78,28.34,28.16
resonance,2023-10-23 14:30:00+08:00,long,3.513,1,2023-10-23 14:45:00+08:00,2023-10-23 15:00:00+08:00,1.0,88.244,2023-10,18.89,True,1.63,26.68,11.89
resonance,2023-12-05 09:45:00+08:00,long,3.501,1,2023-12-05 10:00:00+08:00,2023-12-05 13:30:00+08:00,8.0,-2.856,2023-12,28.11,True,3.21,31.08,32.41
resonance,2023-12-05 14:30:00+08:00,long,3.475,1,2023-12-05 14:45:00+08:00,2023-12-05 15:00:00+08:00,1.0,-48.921,2023-12,21.33,True,2.3,31.08,31.53
resonance,2023-12-06 09:45:00+08:00,long,3.457,1,2023-12-06 10:00:00+08:00,2023-12-06 13:30:00+08:00,8.0,57.854,2023-12,16.21,False,2.69,24.52,30.13
resonance,2023-12-11 09:45:00+08:00,long,3.422,1,2023-12-11 10:00:00+08:00,2023-12-11 13:30:00+08:00,8.0,67.212,2023-12,23.4,True,4.14,27.39,32.7
resonance,2023-12-19 09:45:00+08:00,long,3.389,1,2023-12-19 10:00:00+08:00,2023-12-19 13:30:00+08:00,8.0,26.557,2023-12,34.76,True,3.14,24.23,25.58
resonance,2024-01-18 09:45:00+08:00,long,3.206,1,2024-01-18 10:00:00+08:00,2024-01-18 13:30:00+08:00,8.0,-62.383,2024-01,13.88,True,2.81,31.55,17.74
resonance,2024-07-08 14:45:00+08:00,long,3.426,1,2024-07-08 15:00:00+08:00,2024-07-08 15:00:00+08:00,0.0,23.351,2024-07,29.55,True,3.8,30.91,30.03
resonance,2024-08-12 09:45:00+08:00,long,3.387,0,,,,,2024-08,35.82,True,2.23,33.64,32.07
resonance,2024-09-09 09:45:00+08:00,long,3.285,1,2024-09-09 10:00:00+08:00,2024-09-09 13:30:00+08:00,8.0,-57.839,2024-09,20.11,True,2.85,32.3,30.87
resonance,2024-09-09 13:45:00+08:00,long,3.261,1,2024-09-09 14:00:00+08:00,2024-09-09 15:00:00+08:00,4.0,0.0,2024-09,19.35,True,0.93,32.3,33.58
resonance,2025-01-06 09:45:00+08:00,long,3.84,1,2025-01-06 10:00:00+08:00,2025-01-06 13:30:00+08:00,8.0,0.0,2025-01,26.46,True,2.32,32.63,25.26
resonance,2025-01-13 09:45:00+08:00,long,3.811,1,2025-01-13 10:00:00+08:00,2025-01-13 13:30:00+08:00,8.0,-20.992,2025-01,26.3,True,3.08,30.95,27.89
control,2023-01-03 09:45:00+08:00,long,3.898,1,2023-01-03 10:00:00+08:00,2023-01-03 13:30:00+08:00,8.0,112.878,2023-01,,,,,
control,2023-01-04 09:45:00+08:00,long,3.942,1,2023-01-04 10:00:00+08:00,2023-01-04 13:30:00+08:00,8.0,-17.757,2023-01,,,,,
control,2023-01-05 09:45:00+08:00,long,3.999,1,2023-01-05 10:00:00+08:00,2023-01-05 13:30:00+08:00,8.0,60.015,2023-01,,,,,
control,2023-01-06 09:45:00+08:00,long,4.037,1,2023-01-06 10:00:00+08:00,2023-01-06 13:30:00+08:00,8.0,4.954,2023-01,,,,,
control,2023-01-09 09:45:00+08:00,long,4.056,1,2023-01-09 10:00:00+08:00,2023-01-09 13:30:00+08:00,8.0,22.189,2023-01,,,,,
control,2023-01-10 09:45:00+08:00,long,4.066,1,2023-01-10 10:00:00+08:00,2023-01-10 13:30:00+08:00,8.0,22.135,2023-01,,,,,
control,2023-01-11 09:45:00+08:00,long,4.07,0,,,,,2023-01,,,,,
control,2023-01-12 09:45:00+08:00,long,4.084,1,2023-01-12 10:00:00+08:00,2023-01-12 13:30:00+08:00,8.0,-26.934,2023-01,,,,,
control,2023-01-13 09:45:00+08:00,long,4.101,1,2023-01-13 10:00:00+08:00,2023-01-13 13:30:00+08:00,8.0,17.069,2023-01,,,,,
control,2023-01-16 09:45:00+08:00,long,4.099,1,2023-01-16 10:00:00+08:00,2023-01-16 13:30:00+08:00,8.0,158.575,2023-01,,,,,
control,2023-01-17 09:45:00+08:00,long,4.146,1,2023-01-17 10:00:00+08:00,2023-01-17 13:30:00+08:00,8.0,-53.063,2023-01,,,,,
control,2023-01-18 09:45:00+08:00,long,4.133,1,2023-01-18 10:00:00+08:00,2023-01-18 13:30:00+08:00,8.0,4.839,2023-01,,,,,
control,2023-01-19 09:45:00+08:00,long,4.115,1,2023-01-19 10:00:00+08:00,2023-01-19 13:30:00+08:00,8.0,68.044,2023-01,,,,,
control,2023-01-20 09:45:00+08:00,long,4.183,1,2023-01-20 10:00:00+08:00,2023-01-20 13:30:00+08:00,8.0,-7.172,2023-01,,,,,
control,2023-01-30 09:45:00+08:00,long,4.241,1,2023-01-30 10:00:00+08:00,2023-01-30 13:30:00+08:00,8.0,-58.948,2023-01,,,,,
control,2023-01-31 09:45:00+08:00,long,4.212,1,2023-01-31 10:00:00+08:00,2023-01-31 13:30:00+08:00,8.0,-92.593,2023-01,,,,,
control,2023-02-01 09:45:00+08:00,long,4.178,1,2023-02-01 10:00:00+08:00,2023-02-01 13:30:00+08:00,8.0,-21.541,2023-02,,,,,
control,2023-02-02 09:45:00+08:00,long,4.165,1,2023-02-02 10:00:00+08:00,2023-02-02 13:30:00+08:00,8.0,55.222,2023-02,,,,,
control,2023-02-03 09:45:00+08:00,long,4.136,1,2023-02-03 10:00:00+08:00,2023-02-03 13:30:00+08:00,8.0,-53.191,2023-02,,,,,
control,2023-02-06 09:45:00+08:00,long,4.078,1,2023-02-06 10:00:00+08:00,2023-02-06 13:30:00+08:00,8.0,-29.426,2023-02,,,,,
control,2023-02-07 09:45:00+08:00,long,4.084,0,,,,,2023-02,,,,,
control,2023-02-08 09:45:00+08:00,long,4.09,1,2023-02-08 10:00:00+08:00,2023-02-08 13:30:00+08:00,8.0,-29.34,2023-02,,,,,
control,2023-02-09 09:45:00+08:00,long,4.085,0,,,,,2023-02,,,,,
control,2023-02-10 09:45:00+08:00,long,4.11,1,2023-02-10 10:00:00+08:00,2023-02-10 13:30:00+08:00,8.0,-51.095,2023-02,,,,,
control,2023-02-13 09:45:00+08:00,long,4.119,1,2023-02-13 10:00:00+08:00,2023-02-13 13:30:00+08:00,8.0,29.133,2023-02,,,,,
control,2023-02-14 09:45:00+08:00,long,4.139,1,2023-02-14 10:00:00+08:00,2023-02-14 13:30:00+08:00,8.0,-43.489,2023-02,,,,,
control,2023-02-15 09:45:00+08:00,long,4.137,1,2023-02-15 10:00:00+08:00,2023-02-15 13:30:00+08:00,8.0,-50.761,2023-02,,,,,
control,2023-02-16 09:45:00+08:00,long,4.123,1,2023-02-16 10:00:00+08:00,2023-02-16 13:30:00+08:00,8.0,97.017,2023-02,,,,,
