strategy_id,dsr_eff,dsr_band,oos_sharpe_h2,n_trials_used,exam_verdict,turnover_tier
FACT-4db4c41e,0.5033,review,1.8826,86.0,存疑,low(<1x)
FACT-4f749668,0.362,overfitting,1.5969,86.0,存疑,high(>=5x)
CAND-8d000bf3ccc3,0.3485,overfitting,1.6184,132.0,不通过,high(>=5x)
FACT-4228020a,0.2978,overfitting,1.4754,86.0,存疑,high(>=5x)
FACT-e831084c,0.2807,overfitting,1.3999,86.0,不通过,high(>=5x)
FACT-4b200528,0.2231,overfitting,1.2968,86.0,不通过,high(>=5x)
CAND-c4ec6332c07f,0.1325,overfitting,1.155,132.0,不通过,high(>=5x)
CAND-eaddc3f9db4e,0.0983,overfitting,0.9957,132.0,不通过,mid(1-5x)
CAND-e3da6fa71af1,0.0945,overfitting,1.0093,132.0,不通过,mid(1-5x)
CAND-d06cab686cef,0.0807,overfitting,0.9161,132.0,不通过,mid(1-5x)
CAND-4440d07f973f,0.0781,overfitting,0.9207,132.0,不通过,high(>=5x)
CAND-29eb91dbaf60,0.0606,overfitting,0.8877,132.0,不通过,low(<1x)
FACT-e293e217,0.0325,overfitting,1.3842,4578.0,不通过,high(>=5x)
CAND-a4543012b464,0.0247,overfitting,0.5095,132.0,不通过,high(>=5x)
CAND-e2e7f033d97c,0.0158,overfitting,0.3683,132.0,不通过,high(>=5x)
CAND-bd42540f86e4,0.0087,overfitting,0.1945,132.0,不通过,high(>=5x)
CAND-6a6ec8869ddb,0.0074,overfitting,0.1499,132.0,不通过,high(>=5x)
CAND-9c0424f53fe4,0.0031,overfitting,-0.0836,132.0,不通过,high(>=5x)
CAND-a5ac9cc45ab3,0.001,overfitting,-0.4522,95.0,不通过,high(>=5x)
CAND-9c0136ec8f42,0.0007,overfitting,-0.4423,132.0,不通过,high(>=5x)
