strategy_id,source_file,file_exists,is_sharpe,deflated_sharpe,max_drawdown,turnover,num_trials,is_sharpe_for_gate,is_sharpe_is,is_ref_from_notes,screen_batch,screened_at,n_oos_rows,oos_batches,first_oos_at,last_oos_at
FACT-4db4c41e,scripts/backtest/translated/c4_fact_4db4c41e.py,True,1.599,0.1448,-0.2528,0.0,5,0.901,0.901,0.901,C4-OOS-2024-2026,2026-09-15 11:September:44,1,C4-OOS-2024-2026,2026-09-15 11:September:44,2026-09-15 11:September:44
FACT-4f749668,scripts/backtest/translated/c4_fact_4f749668.py,True,1.377,0.0781,-0.2371,0.1443,5,0.718,0.718,0.718,C4-OOS-2024-2026,2026-09-15 11:September:44,1,C4-OOS-2024-2026,2026-09-15 11:September:44,2026-09-15 11:September:44
FACT-4228020a,scripts/backtest/translated/c4_fact_4228020a.py,True,1.314,0.0628,-0.2417,0.1451,5,0.755,0.755,0.755,C4-OOS-2024-2026,2026-09-15 11:September:44,1,C4-OOS-2024-2026,2026-09-15 11:September:44,2026-09-15 11:September:44
FACT-e293e217,scripts/backtest/translated/c4_fact_e293e217.py,True,1.297,0.0592,-0.2418,0.1101,4497,0.491,0.491,0.491,C4-OOS-2024-2026,2026-09-16 12:September:34,1,C4-OOS-2024-2026,2026-09-16 12:September:34,2026-09-16 12:September:34
FACT-4b200528,scripts/backtest/translated/c4_fact_4b200528.py,True,1.274,0.0571,-0.2985,0.2609,5,0.353,0.353,0.353,C4-OOS-2024-2026,2026-09-15 11:September:44,1,C4-OOS-2024-2026,2026-09-15 11:September:44,2026-09-15 11:September:44
FACT-e831084c,scripts/backtest/translated/c4_fact_e831084c.py,True,1.261,0.0556,-0.2558,0.2517,5,0.205,0.205,0.205,C4-OOS-2024-2026,2026-09-15 11:September:44,1,C4-OOS-2024-2026,2026-09-15 11:September:44,2026-09-15 11:September:44
CAND-8d000bf3ccc3,scripts/backtest/translated/c4_8d000bf3ccc3_pb_poe.py,True,1.173,0.0,-0.3469,0.0246,51,0.563,0.563,-0.751,C4-OOS2-20260914,2026-09-14 05:September:09,2,C4-OOS2-20260914,2026-09-14 05:September:09,2026-09-14 05:September:09
CAND-c4ec6332c07f,scripts/backtest/translated/c4_c4ec6332c07f_trend_score.py,True,1.005,0.0197,-0.1096,0.0241,51,-0.118,-0.118,-0.118,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-e3da6fa71af1,scripts/backtest/translated/c4_e3da6fa71af1_panic_rebound.py,True,0.834,0.0103,-0.1039,0.005,51,1.15,1.15,1.15,C4-OOS2-20260914,2026-09-14 05:September:09,4,C4-2016-2019-sample3|C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-4440d07f973f,scripts/backtest/translated/c4_4440d07f973f_ultrashort.py,True,0.795,0.0094,-0.3165,0.3394,51,0.07,0.07,0.07,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-a4543012b464,scripts/backtest/translated/c4_a4543012b464_trend5.py,True,0.795,0.0086,-0.4784,0.2164,51,-0.308,-0.308,-0.308,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-eaddc3f9db4e,scripts/backtest/translated/c4_eaddc3f9db4e_rsrs_r2.py,True,0.793,0.009,-0.1299,0.0108,51,-0.471,-0.471,-0.471,C4-OOS2-20260914,2026-09-14 05:September:09,4,C4-2016-2019-sample3|C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-29eb91dbaf60,scripts/backtest/translated/c4_29eb91dbaf60_crash_dodge.py,True,0.767,0.0066,-0.109,0.0008,51,0.037,0.037,0.037,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-d06cab686cef,scripts/backtest/translated/c4_d06cab686cef_rsrs_opt.py,True,0.713,0.0063,-0.1478,0.0141,51,-0.292,-0.292,-0.292,C4-OOS2-20260914,2026-09-14 05:September:09,4,C4-2016-2019-sample3|C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-dc5b80aa3614,scripts/backtest/translated/c4_dc5b80aa3614_tsmall100.py,True,0.694,0.005,-0.4239,0.039,51,1.066,1.066,1.066,C4-OOS2-20260914,2026-09-14 05:September:09,1,C4-OOS2-20260914,2026-09-14 05:September:09,2026-09-14 05:September:09
CAND-fd47fa0e6401,scripts/backtest/translated/c4_fd47fa0e6401_macd_resonance.py,True,0.67,0.0049,-0.2533,0.5335,51,-1.46,-1.46,-1.46,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-12286499cb19,scripts/backtest/translated/c4_12286499cb19_rsrs_60m.py,True,0.657,0.0048,-0.1299,0.0108,51,-0.364,-0.364,-0.364,C4-OOS2-20260914,2026-09-14 05:September:09,4,C4-2016-2019-sample3|C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-5efe26d1992e,scripts/backtest/translated/c4_5efe26d1992e_rsrs_timing.py,True,0.635,0.0044,-0.1514,0.0108,51,-0.523,-0.523,-0.523,C4-OOS2-20260914,2026-09-14 05:September:09,4,C4-2016-2019-sample3|C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-7f7e5f935dfc,scripts/backtest/translated/c4_7f7e5f935dfc_dmi_timing.py,True,0.552,0.0029,-0.1888,0.0175,51,0.204,0.204,0.204,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-9ce75aa27ce5,scripts/backtest/translated/c4_9ce75aa27ce5_bluechip_ma.py,True,0.537,0.0025,-0.1801,0.1324,51,0.091,0.091,0.091,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-c72318f2da1c,scripts/backtest/translated/c4_c72318f2da1c_bias_ql.py,True,0.526,0.0024,-0.1832,0.1837,51,0.16,0.16,0.16,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-6485e4cd0844,scripts/backtest/translated/c4_6485e4cd0844_kdj_timing.py,True,0.511,0.0025,-0.1223,0.0166,51,-0.058,-0.058,-0.058,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-f284270f0ef0,scripts/backtest/translated/c4_f284270f0ef0_macd_timing.py,True,0.427,0.0015,-0.1778,0.0416,51,-0.357,-0.357,-0.357,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-311220235636,scripts/backtest/translated/c4_311220235636_slater_value.py,True,0.426,0.0,-0.2404,0.0245,51,-0.03,-0.03,-0.485,C4-OOS2-20260914,2026-09-14 05:September:09,2,C4-OOS2-20260914,2026-09-14 05:September:09,2026-09-14 05:September:09
CAND-8664521af1a0,scripts/backtest/translated/c4_8664521af1a0_snake_cap.py,True,0.404,0.0012,-0.4078,0.0307,4487,0.397,0.397,0.397,C4-OOS-2024-2026,2026-09-15 18:September:14,1,C4-OOS-2024-2026,2026-09-15 18:September:14,2026-09-15 18:September:14
CAND-c7a8ddbab748,scripts/backtest/translated/c4_c7a8ddbab748_ma10_ma5.py,True,0.314,0.0008,-0.1762,0.0283,51,-0.25,-0.25,-0.25,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-06d4cf3d7dcc,scripts/backtest/translated/c4_06d4cf3d7dcc_pairs_zscore.py,True,0.281,0.0007,-0.1204,0.0092,51,-0.061,-0.061,-0.061,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-ea8b60272c03,scripts/backtest/translated/c4_ea8b60272c03_300etf_1060.py,True,0.225,0.0005,-0.2029,0.0108,51,-0.314,-0.314,-0.314,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-b37f550ba2af,scripts/backtest/translated/c4_b37f550ba2af_gftd.py,True,0.171,0.0004,-0.1611,0.0042,51,-0.125,-0.125,-0.125,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-5301c5d9d7c8,scripts/backtest/translated/c4_5301c5d9d7c8_small_cap_hl.py,True,0.156,0.0003,-0.4524,0.1112,4487,0.518,0.518,0.518,C4-OOS-2024-2026,2026-09-15 18:September:14,1,C4-OOS-2024-2026,2026-09-15 18:September:14,2026-09-15 18:September:14
CAND-9c0424f53fe4,scripts/backtest/translated/c4_9c0424f53fe4_zscore_meanrev5.py,True,0.149,0.0003,-0.1464,0.0484,51,-0.405,-0.405,-0.405,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-14d3e787ea4b,scripts/backtest/translated/c4_14d3e787ea4b_cgo_factor.py,True,0.0,0.0001,0.0,0.0,51,0.0,0.0,0.0,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-1970782c2adb,scripts/backtest/translated/c4_1970782c2adb_ma_pullback.py,True,0.0,0.0001,0.0,0.0,51,0.0,0.0,0.0,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-fdbc279fba99,scripts/backtest/translated/c4_fdbc279fba99_rps_oinl.py,True,0.0,0.0001,0.0,0.0,51,0.0,0.0,0.0,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
