file,suggested_domain
order_manager.py,D-EX_CORE
order_state_escalator.py,D-EX_CORE
position_reconciler.py,D-EX_CORE
audit_schema.py,D-GOV-AUDIT
audit_write_failure_protector.py,D-GOV-AUDIT
auditor.py,D-GOV-AUDIT
decision_auditor.py,D-GOV-AUDIT
external_merkle_proof.py,D-GOV-AUDIT
false_negative_auditor.py,D-GOV-AUDIT
feedback_self_audit.py,D-GOV-AUDIT
fifteen_dimension_auditor.py,D-GOV-AUDIT
memory_provenance.py,D-GOV-AUDIT
merkle_audit.py,D-GOV-AUDIT
merkle_hourly.py,D-GOV-AUDIT
provenance_tracker.py,D-GOV-AUDIT
rule_debt_auditor.py,D-GOV-AUDIT
simplicity_auditor.py,D-GOV-AUDIT
spec_auditor.py,D-GOV-AUDIT
tamper_evident_log.py,D-GOV-AUDIT
kb_gate.py,D-GOV-DOCS
knowledge_engine.py,D-GOV-DOCS
drift_detector.py,D-GOV-DRIFT
drift_fix.py,D-GOV-DRIFT
temporal_drift_tracker.py,D-GOV-DRIFT
policy_sandbox.py,D-GOV-ENFORCEMENT
policy_tree_validator.py,D-GOV-ENFORCEMENT
rule_canary_manager.py,D-GOV-ENFORCEMENT
rule_engine.py,D-GOV-ENFORCEMENT
rule_shadow_runner.py,D-GOV-ENFORCEMENT
rule_watcher.py,D-GOV-ENFORCEMENT
_fix_and_lifecycle.py,D-GOVERNANCE
anti_automation_bias.py,D-GOVERNANCE
api_lifecycle.py,D-GOVERNANCE
artifact_scanner.py,D-GOVERNANCE
bare_repo_scanner.py,D-GOVERNANCE
blueprint_reconciler.py,D-GOVERNANCE
commit_quality_gate.py,D-GOVERNANCE
config_scanner.py,D-GOVERNANCE
construction_verifier.py,D-GOVERNANCE
data_lifecycle.py,D-GOVERNANCE
default_quality_gate.py,D-GOVERNANCE
escalation_models.py,D-GOVERNANCE
fix_prioritizer.py,D-GOVERNANCE
formal_verifier.py,D-GOVERNANCE
fsm_verifier.py,D-GOVERNANCE
git_hook_pre_scanner.py,D-GOVERNANCE
git_infra_snapshot.py,D-GOVERNANCE
identity_verifier.py,D-GOVERNANCE
