00001.HK	长和
00002.HK	中电控股
00003.HK	香港中华煤气
00004.HK	九龙仓集团
00005.HK	汇丰控股
00006.HK	电能实业
00007.HK	智富资源投资
00008.HK	电讯盈科
00009.HK	金奥国际
00010.HK	恒隆集团
00011.HK	恒生银行
00012.HK	恒基地产
00013.HK	和黄医药
00014.HK	希慎兴业
00016.HK	新鸿基地产
00017.HK	新世界发展
00018.HK	东方传媒集团
00019.HK	太古股份公司A
00020.HK	商汤-W
00021.HK	大中华控股
00022.HK	茂盛控股
00023.HK	东亚银行
00025.HK	CHEVALIER INT'L
00026.HK	中华汽车
00027.HK	银河娱乐
00028.HK	天安
00029.HK	达力集团
00030.HK	云白国际
00031.HK	航天控股
00032.HK	港通控股
00033.HK	INTL GENIUS
00034.HK	九龙建业
00035.HK	远东发展
00036.HK	远东控股国际
00037.HK	远东酒店实业
00038.HK	第一拖拉机股份
00039.HK	中国北大荒
00040.HK	金山科技工业
00041.HK	鹰君
00042.HK	东北电气
00045.HK	大酒店
00046.HK	科联系统
00048.HK	中国汽车内饰
00050.HK	香港小轮(集团)
00051.HK	海港企业
00052.HK	大快活集团
00053.HK	国浩集团
00055.HK	中星集团控股
00057.HK	震雄集团
00058.HK	新威国际
00059.HK	天誉置业
00060.HK	香港食品投资
00061.HK	绿领控股
00062.HK	载通
00063.HK	中亚烯谷集团
00064.HK	结好控股
00065.HK	弘海高新资源
00066.HK	港铁公司
00068.HK	群核科技
00069.HK	香格里拉(亚洲)
00070.HK	金粤控股
00071.HK	美丽华酒店
00072.HK	超媒体控股
00073.HK	亚洲果业
00075.HK	渝太地产
00076.HK	谊砾控股
00077.HK	进智公共交通
00078.HK	REGAL INT'L
00079.HK	世纪建业
00080.HK	CAI控股
00081.HK	中国海外宏洋集团
00082.HK	疯狂体育
00083.HK	信和置业
00084.HK	宝光实业
00085.HK	中电华大科技
00086.HK	新鸿基公司
00087.HK	太古股份公司B
00088.HK	TAI CHEUNG HOLD
00089.HK	大生地产
00090.HK	普星能量
00091.HK	金禧国际控股
00092.HK	冠军科技集团
00093.HK	零在科技金融
00094.HK	绿心集团
00095.HK	绿景中国地产
00096.HK	YUSEI
00097.HK	恒基发展
00098.HK	兴发铝业
00099.HK	王氏国际
00100.HK	MINIMAX-W
00101.HK	恒隆地产
00102.HK	凯升控股
00103.HK	首佳科技
00104.HK	ASIA COMM HOLD
00105.HK	凯联国际酒店
00106.HK	朗诗绿色管理
00107.HK	四川成渝高速公路
00108.HK	国锐生活
00110.HK	中国长远
00111.HK	信达国际控股
00113.HK	迪生创建
00114.HK	HERALD HOLD
00115.HK	钧濠集团
00116.HK	周生生
00117.HK	天利控股集团
00118.HK	大同机械
00119.HK	保利置业集团
00120.HK	COSMOPOL INT'L
00122.HK	鳄鱼恤
00123.HK	越秀地产
00124.HK	粤海置地
00125.HK	新兴光学
00126.HK	佳宁娜
00127.HK	华人置业
00128.HK	安宁控股
00129.HK	泛海集团
00130.HK	慕诗国际
00131.HK	卓能(集团)
00132.HK	兴业控股
00133.HK	招商局中国基金
00135.HK	昆仑能源
00136.HK	中国儒意
00137.HK	金辉集团
00138.HK	中建富通
00139.HK	小鱼盈通
00142.HK	第一太平
00144.HK	招商局港口
00145.HK	信能低碳
00146.HK	TAI PING CARPET
00147.HK	国际商业结算
00148.HK	建滔集团
00149.HK	中国农产品交易
00150.HK	HYPEBEAST
00151.HK	中国旺旺
00152.HK	深圳国际
00154.HK	北京控股环境集团
00156.HK	力宝华润
00157.HK	自然美
00158.HK	万邦投资
00159.HK	布莱克万矿业
00160.HK	汉国置业
00162.HK	世纪金花
00163.HK	英皇国际
00164.HK	中国宝力科技
00165.HK	中国光大控股
00166.HK	新时代集团控股
00167.HK	IDT INT'L
00168.HK	青岛啤酒股份
00169.HK	万达酒店发展
00171.HK	银建国际
00173.HK	嘉华国际
00174.HK	盛洋投资
00175.HK	吉利汽车
00176.HK	先机企业集团
00177.HK	江苏宁沪高速公路
00178.HK	莎莎国际
00179.HK	德昌电机控股
00180.HK	开达集团
00181.HK	闽港控股
00182.HK	协合新能源
00183.HK	宏辉集团
