880001.TDX	总市值
880002.TDX	流通市值
880003.TDX	平均股价
880004.TDX	成交均价
880005.TDX	涨跌家数
880006.TDX	停板家数
880007.TDX	活筹市值
880008.TDX	全A等权
880009.TDX	全A中位
880011.TDX	主板总值
880012.TDX	主板流通
880013.TDX	主板平均
880014.TDX	主板均价
880015.TDX	主板涨跌
880016.TDX	主板停板
880017.TDX	主板活筹
880018.TDX	主板等权
880019.TDX	主板中位
880031.TDX	创业总值
880032.TDX	创业流通
880033.TDX	创业平均
880034.TDX	创业均价
880035.TDX	创业涨跌
880036.TDX	创业停板
880037.TDX	创业活筹
880038.TDX	创业等权
880039.TDX	创业中位
880041.TDX	科创总值
880042.TDX	科创流通
880043.TDX	科创平均
880044.TDX	科创均价
880045.TDX	科创涨跌
880046.TDX	科创停板
880047.TDX	科创活筹
880048.TDX	科创等权
880049.TDX	科创中位
880071.TDX	北证总值
880073.TDX	北证平均
880074.TDX	北证均价
880075.TDX	北证涨跌
880076.TDX	北证停板
880077.TDX	北证活筹
880078.TDX	北证等权
880079.TDX	北证中位
880081.TDX	轮动趋势
880082.TDX	板块趋势
880096.TDX	ETF等权
880097.TDX	REITs
880098.TDX	可转债
880099.TDX	通用回购
