# 百度云9类分笔成交Tick数据月份范围（bdpan ls 探查结果，2026-07-04）
# 格式：编号 | market_type | 网盘路径 | 最早月份~最新月份 | 月份文件夹数
# 注意：正常顺序下载（从最早到最新），空间不足时停止

1 | stock | 量化交易数据/A股数据_分笔数据/分笔成交_按月归档_沪深/ | 2000-06 ~ 2026-07 | 314个月
2 | stock_bj | 量化交易数据/A股数据_分笔数据/分笔成交_按月归档_京市/ | 2020-07 ~ 2026-07 | 73个月
3 | index | 量化交易数据/A股数据_分笔成交_指数/指数分笔成交_沪深京_按月归档/ | 2000-07 ~ 2026-07 | 313个月
4 | hk | 量化交易数据/港股_分笔成交/港股_分笔成交_按月归档/ | 2025-01 ~ 2026-07 | 19个月
5 | etf | 量化交易数据/基金_分笔成交/ETF分笔成交_按月归档/ | 2005-02 ~ 2026-07 | 258个月
6 | lof | 量化交易数据/基金_分笔成交/LOF分笔成交_按月归档/ | 2008-06 ~ 2026-07 | 193个月（首月2008-06后跳至2010-08，存在间断）
7 | cb | 量化交易数据/可转债_分笔成交/可转债_分笔成交_按月归档/ | 2018-09 ~ 2026-07 | 95个月
8 | sector | 量化交易数据/通达信板块_分笔成交/通达信板块_分笔成交_按月归档/ | 2011-11 ~ 2026-07 | 177个月
9 | mkt_index | 量化交易数据/通达信板块_分笔成交/通达信_市场统计指数_分笔成交_按月归档/ | 2011-11 ~ 2026-07 | 177个月

# 合计约 1619 个月份文件夹
# 下载优先级（按文档§1.9）：先小数据(指数/港股/ETF/LOF/可转债/板块/京市)，再A股沪深（空间受限时停止）
